"View Credit Memo","Visa kreditnota"
"That order does not belong to your account. Please select one of your own orders.","Den ordern tillhör inte ditt konto. Välj en av dina egna ordrar."
"Select items to return","Välj artiklar att returnera"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Välj alla artiklar eller endast några. Ange returkvantitet för varje artikel du vill ångra."
"You have 14 days from the day you received your order to withdraw from the contract without giving a reason.","Du har 14 dagar från den dag du tog emot din order att frånträda avtalet utan att ange några skäl."
"Back to order search","Tillbaka till ordersökning"
"Cancel","Avbryt"
"Continue to review","Fortsätt till granskning"
"Review and confirm","Granska och bekräfta"
"Order #%1","Beställning #%1"
"Placed on %1","Lagd den %1"
"Awaiting delivery","Väntar på leverans"
"Delivered on %1","Levererad den %1"
"Total","Totalt"
"Return shipping","Returfrakt"
"View return policy","Se returpolicy"
"Refund method","Återbetalningsmetod"
"Refund will be issued to your original payment method.","Återbetalningen kommer att göras till din ursprungliga betalningsmetod."
"Return summary","Returöversikt"
"Shipping & Handling","Frakt och hantering"
"Tax","Skatt"
"Back to items","Tillbaka till artiklar"
"Submit return request","Skicka returbegäran"
"Your return request has been submitted!","Din returbegäran har skickats in!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","Vi har mejlat dig ett meddelande med dina returdetaljer och en förbetald returetikett (om tillämpligt). Du har 14 dagar från leveransdatumet på dig att skicka tillbaka dina artiklar."
"Return request number","Returbegärans nummer"
"Copy request number","Kopiera begärannummer"
"Copied!","Kopierad!"
"Confirmation email sent","Bekräftelsemejl skickat"
"We've sent the details to","Vi har skickat detaljerna till"
"What happens next?","Vad händer nu?"
"Pack your items securely","Packa dina artiklar säkert"
"Send them back using the provided instructions","Skicka tillbaka dem enligt de angivna instruktionerna"
"We'll inspect your return","Vi inspekterar din retur"
"Your refund will be issued to your original payment method","Din återbetalning görs till din ursprungliga betalningsmetod"
"Need more help?","Behöver du mer hjälp?"
"View my returns","Visa mina returer"
"Contact support","Kontakta support"
"Purchased","Köpta"
"Returned","Returnerade"
"Decrease quantity","Minska antal"
"Increase quantity","Öka antal"
"Has the hygiene seal been broken after delivery?","Har hygienförseglingen brutits efter leverans?"
"Has the original software / media seal been broken after delivery?","Har den ursprungliga programvaru-/mediaförseglingen brutits efter leverans?"
"No, the seal is intact","Nej, förseglingen är intakt"
"Refund possible — return the unopened package.","Återbetalning möjlig — returnera det oöppnade paketet."
"Yes, the seal is broken","Ja, förseglingen är bruten"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Denna artikel kan inte returneras (art. 16(e) direktiv 2011/83/EU)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Denna artikel kan inte returneras (art. 16(i) direktiv 2011/83/EU)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","När du bekräftar att förseglingen är bruten utesluts denna artikel från ångerbegäran och antalet återställs till noll."
"Reason for return (optional)","Returskäl (valfritt)"
"Tell us more (optional, max 500 chars)","Berätta mer (valfritt, max 500 tecken)"
"Already returned.","Redan returnerat."
"awaiting admin review","väntar på administratörsgranskning"
"awaiting confirmation","väntar på bekräftelse"
"Request %1 %2 (%3 item%4).","Begäran %1 %2 (%3 artikel%4)."
"Return request awaiting review.","Returbegäran väntar på granskning."
"Cancel request","Avbryt begäran"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","Enligt EU:s konsumentlagstiftning får du frånträda de flesta avtal inom 14 dagar utan att ange något skäl."
"Read your full pre-contract rights (Art. 6)","Läs alla dina rättigheter före avtalsslut (art. 6)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","Enligt art. 6 i direktiv 2011/83/EU (i dess lydelse enligt direktiv (EU) 2023/2673) informerade säljaren dig om — eller gjorde tillgänglig — följande information innan du lade ordern:"
"The main characteristics of the goods or services.","Varornas eller tjänsternas huvudsakliga egenskaper."
"The identity and contact details of the trader.","Näringsidkarens identitet och kontaktuppgifter."
"The total price including all taxes and any delivery costs.","Det totala priset inklusive alla skatter och eventuella leveranskostnader."
"The arrangements for payment, delivery and performance, and complaint-handling.","Villkor för betalning, leverans och utförande samt klagomålshantering."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Din ångerrätt: enligt art. 9 har du 14 dagar att frånträda detta distansavtal utan att ange något skäl. För fysiska varor börjar 14-dagarsfristen löpa den dag du (eller en tredje part som du har utsett) tar varorna i fysisk besittning. För tjänster och digitalt innehåll gäller andra startdatum (art. 9(2)(a)/(c))."
"Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right).","Undantag: rätten gäller inte för vissa varor och tjänster som anges i art. 16 (t.ex. specialtillverkade varor, förseglade hygienvaror när förseglingen brutits, digitalt innehåll vars leverans har påbörjats efter ditt på förhand uttryckliga samtycke och din bekräftelse av att du förlorar ångerrätten)."
"The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal.","Den lagstadgade garantin för avtalsenlighet för varor gäller enligt art. 5 i direktiv 2019/771, utöver ångerrätten."
"Delivery: %1","Leverans: %1"
"Total paid","Totalt betalt"
"Pick an order to withdraw from","Välj en order att frånträda"
"Select a recent order to start your withdrawal.","Välj en av dina senaste ordrar för att starta ditt ångerärende."
"Select","Välj"
"Withdrawal progress","Ångerrättens framsteg"
"title","rubrik"
"subtitle","underrubrik"
"Items to return","Artiklar att returnera"
"0 items","0 artiklar"
"Refund summary","Återbetalningsöversikt"
"No items in this order are currently eligible for withdrawal.","Inga artiklar i denna order är för närvarande berättigade till ångerrätt."
"Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel.","Varje rad är antingen redan under behandling, väntar på bekräftelse eller har återkallats helt. Se avsnittet med befintliga begäranden ovan för status eller för att avbryta."
"No items selected yet. Use the + button next to an item to add it to your return.","Inga artiklar valda ännu. Använd + knappen bredvid en artikel för att lägga till den i din retur."
"Find your order","Hitta din order"
"Enter the details you used during checkout to start a return or withdrawal.","Ange uppgifterna du använde vid kassan för att starta en retur eller ångerrätt."
"We could not find an order matching that email. Double-check your order number and email address.","Vi kunde inte hitta någon order som matchar den e-postadressen. Kontrollera ordernummer och e-postadress."
"e.g. 12345","t.ex. 12345"
"You can find this in your order confirmation email.","Du hittar detta i ditt orderbekräftelsemejl."
"Email address","E-postadress"
"you@example.com","you@example.com"
"Must match the email used for the order.","Måste matcha e-postadressen som användes för ordern."
"Find my order","Hitta min order"
"You have the right to withdraw from your purchase within 14 days of receiving your order, without giving any reason.","Du har rätt att ångra ditt köp inom 14 dagar från mottagandet av din order, utan att ange några skäl."
"Need help finding your order?","Behöver du hjälp att hitta din order?"
"Select an order","Välj en order"
"Choose an order from your history to start a return or withdrawal.","Välj en order från din historik för att starta en retur eller ångerrätt."
"You don't have any orders eligible for withdrawal. The 14-day withdrawal window runs from the day you received your order.","Du har inga ordrar som är berättigade till ångerrätt. 14-dagars ångerfrist löper från den dag du tog emot din order."
"View all my orders","Visa alla mina ordrar"
"items","artiklar"
"Select order","Välj order"
"No recent withdrawal","Inget aktuellt ångerärende"
"We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email.","Vi kunde inte hitta något aktuellt ångerärende i denna session. Om du nyss skickat in ett ärende, kontrollera din inkorg efter bekräftelsemejlet."
"Start a new withdrawal","Starta ett nytt ångerärende"
"Withdrawal #%1 submitted","Ångerärende #%1 inskickat"
"Related order:","Relaterad order:"
"Items","Artiklar"
"Items included in this withdrawal","Artiklar i detta ångerärende"
"Line Total","Radsumma"
"What happens next","Vad händer nu"
"You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes.","Du får ett kvittensmejl med fullständig ångerförklaring och integritetshash inom några minuter."
"The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","14-dagarsfristen enligt art. 9 CRD låses till den tidpunkt då du bekräftade ångerärendet — du behöver inte göra något mer för att bevara rätten."
"The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt.","Den slutliga återbetalningen fastställs efter att vi mottagit de returnerade artiklarna (art. 14(2)) och betalas ut till den ursprungliga betalningsmetoden. Räkna med pengarna inom 14 dagar efter mottagandet."
"Back to Withdrawals","Tillbaka till ångerärenden"
"Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id","Bekräftelse av avstående för digitalt innehåll — Beställning %increment_id"
"Sehr geehrte/r %name,","Hej %name,"
"Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL).","Detta är bekräftelsen på ett varaktigt medium av ditt uttryckliga samtycke till att leveransen av följande digitala innehåll påbörjas samt din bekräftelse av att du därigenom förlorar din ångerrätt (art. 16(m) konsumenträttighetsdirektivet)."
"Durch den Verzicht abgedeckte digitale Inhalte","Digitalt innehåll som omfattas av avståendet"
"Ihre ausdrückliche Einwilligung","Ditt uttryckliga samtycke"
"Eingewilligt am:","Samtyckt den:"
"Ihre Bestätigung zum Verlust des Widerrufsrechts","Din bekräftelse av förlorad ångerrätt"
"Bestätigt am:","Bekräftat den:"
"Verzichtsreferenz:","Referens för avstående:"
"Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU.","Rättslig grund: art. 16(m) konsumenträttighetsdirektivet 2011/83/EU."
"Digital content waiver confirmation — Order %1","Bekräftelse av avstående för digitalt innehåll — Order %1"
"Dear %name,","Hej %name,"
"This is the durable-medium confirmation of your express consent to begin performance of the following digital items, and your acknowledgment that by doing so you lose your right of withdrawal (Art. 16(m) CRD).","Detta är bekräftelsen i varaktig form av ditt uttryckliga samtycke till att leveransen av följande digitala artiklar påbörjas samt din bekräftelse av att du därigenom förlorar din ångerrätt (art. 16(m) CRD)."
"Digital items covered by this waiver","Digitala artiklar som omfattas av avståendet"
"Your express consent","Ditt uttryckliga samtycke"
"Consented at:","Samtyckt den:"
"Your acknowledgment of loss of withdrawal right","Din bekräftelse av förlorad ångerrätt"
"Acknowledged at:","Bekräftat den:"
"Waiver reference:","Referens för avstående:"
"Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU.","Rättslig grund: Art. 16(m) konsumenträttighetsdirektivet 2011/83/EU."
"Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id","Bekräftelse av avstående för digitalt innehåll — Beställning %increment_id"
"Hyvä %name,","Hej %name,"
"Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16).","Detta är en bekräftelse på ett varaktigt medium av ditt uttryckliga samtycke till att leveransen av följande digitala innehåll påbörjas samt din bekräftelse av att du förlorar din ångerrätt (KSL 6:16)."
"Luopumisen kattamat digitaaliset sisällöt","Digitalt innehåll som omfattas av avståendet"
"Nimenomainen suostumuksesi","Ditt uttryckliga samtycke"
"Suostuttu:","Samtyckt:"
"Vahvistuksesi peruuttamisoikeuden menettämisestä","Din bekräftelse av förlorad ångerrätt"
"Vahvistettu:","Bekräftat:"
"Luopumisen viite:","Referens för avstående:"
"Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU.","Rättslig grund: KSL 6:16 / art. 16(m) konsumenträttighetsdirektivet 2011/83/EU."
"Confirmation de renonciation au contenu numérique — Commande %increment_id","Bekräftelse av avstående för digitalt innehåll — Beställning %increment_id"
"Cher/Chère %name,","Hej %name,"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","Detta är bekräftelsen på ett varaktigt medium av ditt uttryckliga samtycke till att leveransen av följande digitala innehåll påbörjas samt din bekräftelse av att du därigenom förlorar din ångerrätt (art. L. 221-28 i den franska konsumentlagen)."
"Contenus numériques couverts par la présente renonciation","Digitalt innehåll som omfattas av detta avstående"
"Votre consentement exprès","Ditt uttryckliga samtycke"
"Consenti le :","Samtyckt den:"
"Votre reconnaissance de la perte du droit de rétractation","Din bekräftelse av förlorad ångerrätt"
"Reconnu le :","Bekräftat den:"
"Référence de renonciation :","Referens för avstående:"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Rättslig grund: art. L. 221-28 i den franska konsumentlagen / art. 16(m) direktiv 2011/83/EU."
"Bevestiging afstand digitale inhoud — Bestelling %increment_id","Bekräftelse av avstående för digitalt innehåll — Beställning %increment_id"
"Beste %name,","Hej %name,"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","Detta är bekräftelsen på ett varaktigt medium av ditt uttryckliga samtycke till att leveransen av följande digitala innehåll påbörjas samt din bekräftelse av att du därigenom förlorar din ångerrätt (art. 6:230s i den nederländska civillagen)."
