"View Credit Memo","Vis kreditnota"
"View return policy","Se returpolitik"
"Refund method","Refunderingsmetode"
"Refund will be issued to your original payment method.","Refunderingen vil blive udstedt til din oprindelige betalingsmetode."
"Return summary","Returoversigt"
"Shipping & Handling","Forsendelse og håndtering"
"Tax","Moms"
"Back to items","Tilbage til varer"
"Submit return request","Send returanmodning"
"Your return request has been submitted!","Din returanmodning er indsendt!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","Vi har sendt dig en e-mail med dine returoplysninger og en forudbetalt returetiket (hvis relevant). Du har 14 dage fra leveringsdatoen til at sende dine varer tilbage."
"Return request number","Returanmodningsnummer"
"Copy request number","Kopiér anmodningsnummer"
"Copied!","Kopieret!"
"Confirmation email sent","Bekræftelsesmail sendt"
"We've sent the details to","Vi har sendt detaljerne til"
"What happens next?","Hvad sker der nu?"
"Pack your items securely","Pak dine varer sikkert"
"Send them back using the provided instructions","Send dem tilbage efter de medfølgende instruktioner"
"We'll inspect your return","Vi inspicerer din returnering"
"Your refund will be issued to your original payment method","Din refundering sendes til din oprindelige betalingsmetode"
"Need more help?","Brug for mere hjælp?"
"View my returns","Se mine returneringer"
"Contact support","Kontakt support"
"Purchased","Købt"
"Returned","Returneret"
"Decrease quantity","Reducer antal"
"Increase quantity","Øg antal"
"Is the hygiene seal still intact?","Er hygiejneforseglingen stadig intakt?"
"Is the original software / media seal still intact?","Er den originale software-/medieforsegling stadig intakt?"
"Yes — it's still sealed","Ja — den er stadig forseglet"
"Refund possible — return the unopened package.","Refundering er mulig — returnér den uåbnede pakke."
"No — I've opened it","Nej — jeg har åbnet den"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Denne vare kan ikke returneres (art. 16, litra e, i direktiv 2011/83/EU)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Denne vare kan ikke returneres (art. 16, litra i, i direktiv 2011/83/EU)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Når du bekræfter, at forseglingen er brudt, udelukkes denne vare fra fortrydelsesanmodningen, og mængden nulstilles."
"Reason for return (optional)","Returbegrundelse (valgfri)"
"Tell us more (optional, max 500 chars)","Fortæl os mere (valgfri, maks. 500 tegn)"
"Already returned.","Allerede returneret."
"awaiting admin review","afventer administrativ gennemgang"
"awaiting confirmation","afventer bekræftelse"
"Request %1 %2 (%3 item%4).","Anmodning %1 %2 (%3 vare%4)."
"Return request awaiting review.","Returanmodning afventer gennemgang."
"Cancel request","Annullér anmodning"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","I henhold til EU's forbrugerret kan du fortryde de fleste aftaler inden for 14 dage uden at angive nogen grund."
"Read your full pre-contract rights (Art. 6)","Læs dine fulde rettigheder før aftaleindgåelse (art. 6)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","I henhold til art. 6 i direktiv 2011/83/EU (som ændret ved direktiv (EU) 2023/2673) har sælgeren, inden du afgav denne ordre, oplyst dig om — eller stillet til rådighed — følgende oplysninger:"
"The main characteristics of the goods or services.","Varernes eller tjenesteydelsernes vigtigste egenskaber."
"The identity and contact details of the trader.","Den erhvervsdrivendes identitet og kontaktoplysninger."
"The total price including all taxes and any delivery costs.","Den samlede pris inklusive alle skatter og afgifter samt eventuelle leveringsomkostninger."
"The arrangements for payment, delivery and performance, and complaint-handling.","Vilkårene for betaling, levering og opfyldelse samt klagebehandling."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Din fortrydelsesret: I henhold til art. 9 har du 14 dage til at fortryde denne aftale om fjernsalg uden at angive nogen grund. For fysiske varer løber 14-dages fristen fra den dag, du (eller en af dig udpeget tredjepart) får varerne i fysisk besiddelse. For tjenesteydelser og digitalt indhold gælder andre starttidspunkter (art. 9, stk. 2, litra a/c)."
"Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right).","Undtagelser: Retten gælder ikke for visse varer og tjenesteydelser nævnt i art. 16 (f.eks. specialfremstillede varer, forseglede hygiejnevarer, hvor forseglingen er brudt, samt digitalt indhold, hvis levering er påbegyndt med dit forudgående udtrykkelige samtykke og din anerkendelse af, at du dermed mister fortrydelsesretten)."
"The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal.","Den lovbestemte garanti for varers overensstemmelse i henhold til art. 5 i direktiv 2019/771 gælder ud over fortrydelsesretten."
"Delivery: %1","Levering: %1"
"Total paid","Betalt i alt"
"Pick an order to withdraw from","Vælg en ordre, du vil fortryde"
"Select a recent order to start your withdrawal.","Vælg en nylig ordre for at starte din fortrydelse."
"Select","Vælg"
"Withdrawal progress","Fortrydelsesforløb"
"title","titel"
"subtitle","undertitel"
"Items to return","Varer til returnering"
"0 items","0 varer"
"Refund summary","Refusionsoversigt"
"No items in this order are currently eligible for withdrawal.","Ingen varer i denne ordre er på nuværende tidspunkt berettigede til fortrydelse."
"Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel.","Hver linje er enten allerede under behandling, afventer bekræftelse eller er fuldt fortrudt. Se afsnittet med eksisterende anmodninger ovenfor for status eller for at annullere."
"No items selected yet. Use the + button next to an item to add it to your return.","Der er endnu ikke valgt nogen varer. Brug + knappen ved siden af en vare for at føje den til din returnering."
"Find your order","Find din ordre"
"Enter the details you used during checkout to start a return or withdrawal.","Indtast de oplysninger, du brugte ved betalingen, for at starte en returnering eller fortrydelse."
"We could not find an order matching that email. Double-check your order number and email address.","Vi kunne ikke finde en ordre, der matcher denne e-mailadresse. Tjek dit ordrenummer og din e-mailadresse igen."
"e.g. 12345","f.eks. 12345"
"You can find this in your order confirmation email.","Du kan finde dette i din ordrebekræftelses-e-mail."
"Email address","E-mailadresse"
"you@example.com","you@example.com"
"Must match the email used for the order.","Skal matche den e-mail, der blev brugt til ordren."
"Find my order","Find min ordre"
"You have the right to withdraw from your purchase within 14 days of receiving your order, without giving any reason.","Du har ret til at fortryde dit køb inden for 14 dage efter modtagelsen af din ordre uden at angive nogen grund."
"Need help finding your order?","Brug for hjælp til at finde din ordre?"
"Select an order","Vælg en ordre"
"Choose an order from your history to start a return or withdrawal.","Vælg en ordre fra din historik for at starte en returnering eller fortrydelse."
"You don't have any orders eligible for withdrawal. The 14-day withdrawal window runs from the day you received your order.","Du har ingen ordrer, der er berettigede til fortrydelse. 14-dages fortrydelsesfristen løber fra den dag, du modtog din ordre."
"View all my orders","Se alle mine ordrer"
"items","varer"
"Select order","Vælg ordre"
"No recent withdrawal","Ingen nylige fortrydelser"
"We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email.","Vi kunne ikke finde en nylig fortrydelse i denne session. Hvis du lige har indsendt en, så tjek din indbakke for bekræftelsesmailen."
"Start a new withdrawal","Start en ny fortrydelse"
"Withdrawal #%1 submitted","Fortrydelse #%1 indsendt"
"Related order:","Relateret ordre:"
"Items","Varer"
"Items included in this withdrawal","Varer i denne fortrydelse"
"Line Total","Linjesum"
"What happens next","Hvad sker der nu"
"You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes.","Du modtager en kvitteringsmail med den fulde fortrydelseserklæring og integritetshashen inden for få minutter."
"The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","14-dages fristen i henhold til art. 9 i forbrugerrettighedsdirektivet er fastlåst til det tidspunkt, hvor du bekræftede fortrydelsen — der kræves ikke yderligere af dig for at bevare retten."
"The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt.","Den endelige refundering opgøres, når vi har modtaget de returnerede varer (art. 14, stk. 2), og udbetales til den oprindelige betalingsmetode. Forvent beløbet inden for 14 dage efter modtagelsen."
"Back to Withdrawals","Tilbage til fortrydelser"
"Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id","Bekræftelse på samtykke til digitalt indhold — Ordre %increment_id"
"Sehr geehrte/r %name,","Kære %name,"
"Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL).","Dette er bekræftelsen på et varigt medium af dit udtrykkelige samtykke til, at leveringen af følgende digitale indhold påbegyndes, samt af din anerkendelse af, at du derved mister din fortrydelsesret (art. 16, litra m, i forbrugerrettighedsdirektivet)."
"Durch den Verzicht abgedeckte digitale Inhalte","Digitalt indhold omfattet af samtykket"
"Ihre ausdrückliche Einwilligung","Dit udtrykkelige samtykke"
"Eingewilligt am:","Samtykket den:"
"Ihre Bestätigung zum Verlust des Widerrufsrechts","Din anerkendelse af mistet fortrydelsesret"
"Bestätigt am:","Bekræftet den:"
"Verzichtsreferenz:","Samtykkereference:"
"Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU.","Retsgrundlag: art. 16, litra m, i forbrugerrettighedsdirektivet 2011/83/EU."
"Digital content waiver confirmation — Order %1","Bekræftelse på samtykke til digitalt indhold — Ordre %1"
"Dear %name,","Kære %name,"
"This is the durable-medium confirmation of your express consent to begin performance of the following digital items, and your acknowledgment that by doing so you lose your right of withdrawal (Art. 16(m) CRD).","Dette er bekræftelsen på et varigt medium af dit udtrykkelige samtykke til, at leveringen af følgende digitale produkter påbegyndes, samt af din anerkendelse af, at du derved mister din fortrydelsesret (art. 16, litra m, i forbrugerrettighedsdirektivet)."
"Digital items covered by this waiver","Digitale produkter omfattet af dette samtykke"
"Your express consent","Dit udtrykkelige samtykke"
"Consented at:","Samtykket den:"
"Your acknowledgment of loss of withdrawal right","Din anerkendelse af mistet fortrydelsesret"
"Acknowledged at:","Anerkendt den:"
"Waiver reference:","Samtykkereference:"
"Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU.","Retsgrundlag: Art. 16(m) forbrugerrettighedsdirektivet 2011/83/EU."
"Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id","Bekræftelse på samtykke til digitalt indhold — Ordre %increment_id"
"Hyvä %name,","Kære %name,"
"Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16).","Dette er bekræftelsen på et varigt medium af dit udtrykkelige samtykke til, at leveringen af følgende digitale indhold påbegyndes, samt af din anerkendelse af, at du derved mister din fortrydelsesret (art. 16, litra m, i forbrugerrettighedsdirektivet)."
"Luopumisen kattamat digitaaliset sisällöt","Digitalt indhold omfattet af samtykket"
"Nimenomainen suostumuksesi","Dit udtrykkelige samtykke"
"Suostuttu:","Samtykket den:"
"Vahvistuksesi peruuttamisoikeuden menettämisestä","Din anerkendelse af mistet fortrydelsesret"
"Vahvistettu:","Bekræftet den:"
"Luopumisen viite:","Samtykkereference:"
"Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU.","Retsgrundlag: art. 16, litra m, i forbrugerrettighedsdirektivet 2011/83/EU."
"Confirmation de renonciation au contenu numérique — Commande %increment_id","Bekræftelse på samtykke til digitalt indhold — Ordre %increment_id"
"Cher/Chère %name,","Kære %name,"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","Dette er bekræftelsen på et varigt medium af dit udtrykkelige samtykke til, at leveringen af følgende digitale indhold påbegyndes, samt af din anerkendelse af, at du derved mister din fortrydelsesret (art. 16, litra m, i forbrugerrettighedsdirektivet)."
"Contenus numériques couverts par la présente renonciation","Digitalt indhold omfattet af samtykket"
"Votre consentement exprès","Dit udtrykkelige samtykke"
"Consenti le :","Samtykket den:"
"Votre reconnaissance de la perte du droit de rétractation","Din anerkendelse af mistet fortrydelsesret"
"Reconnu le :","Anerkendt den:"
"Référence de renonciation :","Samtykkereference:"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Retsgrundlag: art. 16, litra m, i forbrugerrettighedsdirektivet 2011/83/EU."
