"View Credit Memo","Creditnota bekijken"
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","Bestelling #%1 heeft nog geen factuur — Magento vereist een factuur voordat een creditnota kan worden aangemaakt. Open eerst een factuur (Verkoop → Bestellingen → #%1 → knop Factuur) en kom hier terug om terug te betalen."
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","Geen artikelen geregistreerd op dit herroepingsverzoek — de creditnota wordt geopend met de standaard factuuraantallen; pas deze handmatig aan."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Vooraf ingevulde creditnota voor herroeping #%1 — controleer de aantallen en de terugbetaling van de verzendkosten hieronder en klik vervolgens op Online terugbetalen of Offline terugbetalen."
"Some items are no longer eligible. Please reload and try again.","Sommige artikelen komen niet meer in aanmerking. Vernieuw de pagina en probeer het opnieuw."
"We could not process your request. Please try again.","We konden uw verzoek niet verwerken. Probeer het opnieuw."
"Item","Artikel"
"We could not find a matching order for that email.","We konden geen bijbehorende bestelling vinden bij dat e-mailadres."
"Withdraw from a contract","Een overeenkomst herroepen"
"Withdrawal not found.","Herroeping niet gevonden."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","Deze herroeping kan niet langer online worden geannuleerd. Neem contact met ons op als u hulp nodig heeft."
"Withdrawal #%1 cancelled.","Herroeping #%1 geannuleerd."
"Please fill in all required fields.","Vul alle verplichte velden in."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","%1 artikel(en) zijn van de herroeping uitgesloten omdat de verzegeling is verbroken (Art. 16(e)/(i) Richtlijn 2011/83/EU)."
"Please select at least one item to withdraw.","Selecteer minstens één artikel om te herroepen."
"One or more items are no longer available for withdrawal. Please refresh and try again.","Een of meer artikelen zijn niet meer beschikbaar voor herroeping. Vernieuw de pagina en probeer het opnieuw."
"None of the selected items are eligible for withdrawal.","Geen van de geselecteerde artikelen komt in aanmerking voor herroeping."
"Hash mismatch for quote item %1","Hashverschil voor offerte-artikel %1"
"Requested qty %1 exceeds remaining %2 for order item %3","Aangevraagd aantal %1 overschrijdt het resterende aantal %2 voor besteldeel %3"
"No delivery confirmation recorded for this order yet.","Nog geen leveringsbevestiging geregistreerd voor deze bestelling."
"No eligible items selected for withdrawal","Geen in aanmerking komende artikelen geselecteerd voor herroeping"
"Physical goods","Fysieke goederen"
"Digital content (non-tangible)","Digitale inhoud (niet-tastbaar)"
"Digital service (SaaS / subscription)","Digitale dienst (SaaS / abonnement)"
"Financial services (not supported)","Financiële diensten (niet ondersteund)"
"Downloadable products","Downloadbare producten"
"Virtual products","Virtuele producten"
"Bundles containing digital children","Bundels met digitale onderdelen"
"Custom attribute flag","Aangepaste attribuutvlag"
"locale_inheritance.xml missing at %1","locale_inheritance.xml ontbreekt op %1"
"locale_inheritance.xml unreadable at %1","locale_inheritance.xml onleesbaar op %1"
"locale_inheritance.xml failed XSD validation: %1","locale_inheritance.xml heeft de XSD-validatie niet doorstaan: %1"
"Original payment method","Oorspronkelijke betaalmethode"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","Dit is uw bewijs van herroeping op een duurzame gegevensdrager (Art. 11a(4) Richtlijn 2011/83/EU)."
"This email is a notification about your withdrawal request.","Deze e-mail is een melding over uw herroepingsverzoek."
"5–7 business days","5–7 werkdagen"
"This is a confirmation that your withdrawal request has been recorded.","Dit is een bevestiging dat uw herroepingsverzoek is geregistreerd."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","MageMe EU Withdrawal is geïnstalleerd maar niet ingeschakeld. Bekijk de compliancechecklist en configureer de module voordat u deze inschakelt: <a href=""%1"">Winkels → Configuratie → MageMe-extensies → EU-herroeping</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","De status voor leveringsbevestiging is niet geconfigureerd. Stel deze in via Winkels → Configuratie → MageMe-extensies → EU-herroeping → Herroepingstermijn → Statussen voor leveringsbevestiging."
"No Annex I source found for locale %1 along chain %2","Geen Bijlage I-bron gevonden voor taal %1 in keten %2"
"Annex I source for locale %1 is malformed","Bijlage I-bron voor taal %1 is onjuist opgemaakt"
"Missing merchant variables for Annex I rendering: %1","Ontbrekende verkopersvariabelen voor weergave van Bijlage I: %1"
"Receipt hash mismatch for request %1","Hashverschil van bewijs voor verzoek %1"
"Request %1 not found.","Verzoek %1 niet gevonden."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","Voor het weigeren van een herroepingsverzoek is een juridische grondslag van ten minste 10 tekens vereist."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","Herroepingsverzoek kan niet overgaan van ""%1"" naar ""%2""."
"Request %1 is not in pending_confirm state.","Verzoek %1 bevindt zich niet in de status pending_confirm."
"Withdrawal request #%1 does not exist.","Herroepingsverzoek #%1 bestaat niet."
"No digital items on order %1","Geen digitale artikelen op bestelling %1"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","Dit is uw kopie op een duurzame gegevensdrager van de afstandsverklaring die u bij het afrekenen heeft ondertekend (Art. 11a(4) Richtlijn 2011/83/EU)."
"Waived","Afgezien"
"Waiver email render failed: %1","Weergave van afstandsverklaringsmail mislukt: %1"
"Digital content waiver text has changed — please reload checkout.","De tekst van de afstandsverklaring voor digitale inhoud is gewijzigd — laad het afrekenproces opnieuw."
"Digital content waiver is incomplete for item %1.","Afstandsverklaring voor digitale inhoud is onvolledig voor artikel %1."
"bad","slecht"
"smtp down","smtp down"
"smtp","smtp"
"down","uitgevallen"
"No shipment found for order 42.","Geen zending gevonden voor bestelling 42."
"View","Bekijken"
"Withdrawal & Customer Information","Herroepings- en klantgegevens"
"Request # %1","Verzoek # %1"
"Request Status","Status van het verzoek"
"Submitted At","Ingediend op"
"Related Order","Gerelateerde bestelling"
"Jurisdiction","Jurisdictie"
"Contract Type","Contracttype"
"Receipt Status","Status bewijs"
"%1 attempt(s)","%1 poging(en)"
"Receipt Error","Fout bij bewijs"
"Customer Information","Klantgegevens"
"Customer Name","Klantnaam"
"Email","E-mail"
"Locale","Taal"
"Items Selected for Withdrawal","Voor herroeping geselecteerde artikelen"
"Product","Product"
"Price","Prijs"
"Qty","Aantal"
"Subtotal","Subtotaal"
"Refund","Terugbetaling"
"Reason","Reden"
"Eligibility","Recht op herroeping"
"No items associated with this request.","Geen artikelen gekoppeld aan dit verzoek."
"SKU","SKU"
"Ordered","Besteld"
"Withdrawing","Wordt herroepen"
"Refund Total","Totaal te restitueren"
"Notes for this Request","Notities bij dit verzoek"
"Internal notes — visible to admin staff only. Not sent to the customer.","Interne notities — alleen zichtbaar voor beheerders. Worden niet naar de klant verzonden."
"Comment","Opmerking"
"Add internal note (max 2000 chars)","Interne notitie toevoegen (max. 2000 tekens)"
"Submit Comment","Opmerking indienen"
"No comments added yet.","Nog geen opmerkingen toegevoegd."
" by %1"," door %1"
"Refund Totals","Totalen terugbetaling"
"Items Subtotal","Subtotaal artikelen"
"Shipping Refund","Terugbetaling verzending"
"Total Refund","Totale terugbetaling"
"Changes have been made to this section that have not been saved.","Er zijn wijzigingen aangebracht in dit gedeelte die nog niet zijn opgeslagen."
"This tab contains invalid data. Please resolve this before saving.","Dit tabblad bevat ongeldige gegevens. Los dit op voordat u opslaat."
"Contact us","Contact"
"Returns","Retouren"
"FAQs","Veelgestelde vragen"
"All rights reserved.","Alle rechten voorbehouden."
"Returned items","Geretourneerde artikelen"
"No image","Geen afbeelding"
"Item status","Artikelstatus"
"Withdrawal options for this order","Herroepingsopties voor deze bestelling"
"You can return this order until %1.","U kunt deze bestelling retourneren tot %1."
"(Art. 11a Directive 2011/83/EU)","(Art. 11a Richtlijn 2011/83/EU)"
"Submit a withdrawal request to start the refund process.","Dien een herroepingsverzoek in om het terugbetalingsproces te starten."
"(Art. 9(2)(b) Directive 2011/83/EU)","(Art. 9(2)(b) Richtlijn 2011/83/EU)"
"Start withdrawal","Herroeping starten"
"Your withdrawal requests","Uw herroepingsverzoeken"
"Submitted %1","Ingediend %1"
"Show items","Artikelen tonen"
"Cancel withdrawal","Herroeping annuleren"
"Qty %1","Aantal %1"
"Receipt details","Details van het bewijs"
"Receipt number","Bewijsnummer"
"Order number","Bestelnummer"
"Consumer","Consument"
"Refund total","Totale terugbetaling"
"Merchant","Verkoper"
"Legal basis","Juridische grondslag"
"SKU %1","SKU %1"
"Shipping refund","Terugbetaling verzending"
"Tax refund","Belastingteruggave"
"Total refund","Totale terugbetaling"
"Digital content — Art. 16(m) notice","Digitale inhoud — kennisgeving Art. 16(m)"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","Door de bestelling te plaatsen heeft u ingestemd met de aanvang van de uitvoering van de digitale inhoud vóór het verstrijken van de herroepingstermijn en heeft u erkend dat het herroepingsrecht vervalt zodra de uitvoering is begonnen. Deze kennisgeving wordt voor uw administratie getoond."
"Existing withdrawals for this order","Bestaande herroepingen voor deze bestelling"
"You can cancel a withdrawal here until it is approved.","U kunt een herroeping hier annuleren tot deze is goedgekeurd."
"Request #%1","Verzoek #%1"
"SKU: %1","SKU: %1"
"Estimated refund: %1 %2","Geschatte terugbetaling: %1 %2"
"Cancel this withdrawal","Deze herroeping annuleren"
"Are you sure? This cannot be undone.","Weet u het zeker? Dit kan niet ongedaan worden gemaakt."
"Yes, cancel","Ja, annuleren"
"Keep it","Behouden"
"Select items to return","Selecteer artikelen om te retourneren"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Kies alle artikelen of slechts enkele. Stel de retourhoeveelheid in voor elk artikel dat u wilt herroepen."
"You have %1 days from the day you received your order to withdraw from the contract without giving a reason.","U heeft %1 dagen vanaf de dag van ontvangst van uw bestelling om de overeenkomst te herroepen zonder opgave van redenen."
"Back to order search","Terug naar bestelling zoeken"
"Cancel","Annuleren"
"Continue to review","Doorgaan naar controle"
"Review and confirm","Controleren en bevestigen"
"Order #%1","Bestelling #%1"
"Placed on %1","Geplaatst op %1"
"Awaiting delivery","In afwachting van levering"
"Delivered on %1","Geleverd op %1"
"Total","Totaal"
"Return shipping","Retourverzending"
"View return policy","Bekijk retourbeleid"
"Refund method","Terugbetalingsmethode"
"Refund will be issued to your original payment method.","De terugbetaling wordt verwerkt via uw oorspronkelijke betaalmethode."
"Return summary","Retouroverzicht"
"Shipping & Handling","Verzending en verwerking"
"Tax","Belasting"
"Back to items","Terug naar artikelen"
"Submit return request","Retourverzoek indienen"
"Your return request has been submitted!","Uw retourverzoek is ingediend!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","We hebben u een melding gemaild met uw retourgegevens en een vooruitbetaald retouretiket (indien van toepassing). U heeft 14 dagen vanaf de leverdatum om uw artikelen terug te sturen."
"Return request number","Retourverzoeknummer"
"Copy request number","Verzoeknummer kopiëren"
"Copied!","Gekopieerd!"
"Confirmation email sent","Bevestigingsmail verzonden"
"We've sent the details to","We hebben de details verzonden naar"
"What happens next?","Wat gebeurt er nu?"
"Pack your items securely","Verpak uw artikelen zorgvuldig"
"Send them back using the provided instructions","Stuur ze terug volgens de bijgevoegde instructies"
"We'll inspect your return","Wij inspecteren uw retour"
"Your refund will be issued to your original payment method","Uw terugbetaling wordt verwerkt via uw oorspronkelijke betaalmethode"
"Need more help?","Meer hulp nodig?"
"View my returns","Mijn retouren bekijken"
"Contact support","Contact opnemen met support"
"Purchased","Gekocht"
"Returned","Geretourneerd"
"Decrease quantity","Aantal verlagen"
"Increase quantity","Aantal verhogen"
"Is the hygiene seal still intact?","Is de hygiëneverzegeling nog intact?"
"Is the original software / media seal still intact?","Is de originele software-/mediaverzegeling nog intact?"
"Yes — it's still sealed","Ja — de verzegeling is nog intact"
"Refund possible — return the unopened package.","Terugbetaling mogelijk — stuur het ongeopende pakket terug."
"No — I've opened it","Nee — ik heb het geopend"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Dit artikel kan niet worden geretourneerd (Art. 16(e) Richtlijn 2011/83/EU)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Dit artikel kan niet worden geretourneerd (Art. 16(i) Richtlijn 2011/83/EU)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Zodra u bevestigt dat de verzegeling is verbroken, wordt dit artikel uitgesloten van het herroepingsverzoek en wordt het aantal op nul gezet."
"Reason for return (optional)","Reden voor retour (optioneel)"
"Tell us more (optional, max 500 chars)","Vertel ons meer (optioneel, max. 500 tekens)"
"Already returned.","Al geretourneerd."
"awaiting admin review","in afwachting van beoordeling"
"awaiting confirmation","in afwachting van bevestiging"
"Request %1 %2 (%3 item%4).","Verzoek %1 %2 (%3 artikel%4)."
"Return request awaiting review.","Retourverzoek in afwachting van beoordeling."
"Cancel request","Verzoek annuleren"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","Volgens het EU-consumentenrecht kunt u de meeste overeenkomsten binnen 14 dagen herroepen zonder opgave van redenen."
"Read your full pre-contract rights (Art. 6)","Lees uw volledige precontractuele rechten (Art. 6)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","Op grond van Art. 6 van Richtlijn 2011/83/EU (zoals gewijzigd bij Richtlijn (EU) 2023/2673) heeft de verkoper u, voordat u deze bestelling plaatste, de volgende informatie verstrekt — of beschikbaar gesteld:"
"The main characteristics of the goods or services.","De voornaamste kenmerken van de goederen of diensten."
"The identity and contact details of the trader.","De identiteit en contactgegevens van de handelaar."
"The total price including all taxes and any delivery costs.","De totale prijs inclusief alle belastingen en eventuele bezorgkosten."
"The arrangements for payment, delivery and performance, and complaint-handling.","De regelingen voor betaling, levering en uitvoering, alsmede de klachtenafhandeling."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Uw herroepingsrecht: op grond van Art. 9 heeft u 14 dagen om deze overeenkomst op afstand te herroepen zonder opgave van redenen. Voor fysieke goederen begint de termijn van 14 dagen op de dag waarop u (of een door u aangewezen derde) de goederen fysiek in bezit krijgt. Voor diensten en digitale inhoud gelden andere aanvangsdata (Art. 9(2)(a)/(c))."
"Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right).","Uitzonderingen: het recht geldt niet voor bepaalde goederen en diensten genoemd in Art. 16 (bijv. op maat gemaakte goederen, verzegelde hygiëneartikelen waarvan de verzegeling is verbroken, digitale inhoud waarvan de uitvoering is begonnen met uw voorafgaande uitdrukkelijke toestemming en uw erkenning dat u daardoor het herroepingsrecht verliest)."
"The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal.","De wettelijke conformiteitsgarantie voor goederen geldt op grond van Art. 5 van Richtlijn 2019/771, naast het herroepingsrecht."
"Delivery: %1","Levering: %1"
"Total paid","Totaal betaald"
"Pick an order to withdraw from","Kies een bestelling om te herroepen"
"Select a recent order to start your withdrawal.","Selecteer een recente bestelling om uw herroeping te starten."
"Select","Selecteren"
"Withdrawal progress","Voortgang herroeping"
"title","titel"
"subtitle","ondertitel"
"Items to return","Te retourneren artikelen"
"0 items","0 artikelen"
"Refund summary","Samenvatting terugbetaling"
"No items in this order are currently eligible for withdrawal.","Geen enkel artikel in deze bestelling komt momenteel in aanmerking voor herroeping."
"Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel.","Elke regel wordt al verwerkt, wacht op bevestiging of is volledig herroepen. Controleer het gedeelte met bestaande verzoeken hierboven voor de status of om te annuleren."
"No items selected yet. Use the + button next to an item to add it to your return.","Nog geen artikelen geselecteerd. Gebruik de + knop naast een artikel om het aan uw retour toe te voegen."
"Find your order","Vind uw bestelling"
"Enter the details you used during checkout to start a return or withdrawal.","Voer de gegevens in die u tijdens het afrekenen heeft gebruikt om een retour of herroeping te starten."
"We could not find an order matching that email. Double-check your order number and email address.","We konden geen bestelling vinden die overeenkomt met dat e-mailadres. Controleer uw bestelnummer en e-mailadres."
"e.g. 12345","bv. 12345"
"You can find this in your order confirmation email.","U kunt dit vinden in uw bestelbevestigingse-mail."
"Email address","E-mailadres"
"you@example.com","you@example.com"
"Must match the email used for the order.","Moet overeenkomen met het e-mailadres dat voor de bestelling is gebruikt."
"Find my order","Mijn bestelling vinden"
"You have the right to withdraw from your purchase within %1 days of receiving your order, without giving any reason.","U heeft het recht om binnen %1 dagen na ontvangst van uw bestelling uw aankoop te herroepen, zonder opgave van redenen."
"Need help finding your order?","Hulp nodig bij het vinden van uw bestelling?"
"Select an order","Bestelling selecteren"
"Choose an order from your history to start a return or withdrawal.","Kies een bestelling uit uw geschiedenis om een retour of herroeping te starten."
"You don't have any orders eligible for withdrawal. The %1-day withdrawal window runs from the day you received your order.","U heeft geen bestellingen die voor herroeping in aanmerking komen. De herroepingstermijn van %1 dagen gaat in op de dag dat u uw bestelling heeft ontvangen."
"View all my orders","Al mijn bestellingen bekijken"
"items","artikelen"
"Select order","Bestelling kiezen"
"No recent withdrawal","Geen recente herroeping"
"We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email.","We konden geen recente herroeping in deze sessie vinden. Als u er zojuist een heeft ingediend, controleer dan uw inbox op de bevestigingsmail."
"Start a new withdrawal","Nieuwe herroeping starten"
"Withdrawal #%1 submitted","Herroeping #%1 ingediend"
"Related order:","Gerelateerde bestelling:"
"Items","Artikelen"
"Items included in this withdrawal","Artikelen inbegrepen in deze herroeping"
"Line Total","Regeltotaal"
"What happens next","Hoe nu verder"
"You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes.","Binnen enkele minuten ontvangt u een bewijsmail met de volledige herroepingsverklaring en de integriteitshash."
"The %1-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","De termijn van %1 dagen op grond van Art. 9 Richtlijn consumentenrechten is vastgelegd op het moment waarop u de herroeping heeft bevestigd — er is verder niets meer van u vereist om het recht te behouden."
"The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt.","De definitieve terugbetaling wordt vastgesteld nadat wij de geretourneerde artikelen hebben ontvangen (Art. 14(2)) en wordt verwerkt via de oorspronkelijke betaalmethode. Verwacht het bedrag binnen 14 dagen na ontvangst."
"Back to Withdrawals","Terug naar herroepingen"
"Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id","Bevestiging afstand digitale inhoud — Bestelling %increment_id"
"Sehr geehrte/r %name,","Beste %name,"
"Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL).","Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de uitvoering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 16(m) Richtlijn consumentenrechten)."
"Durch den Verzicht abgedeckte digitale Inhalte","Onder deze afstand vallende digitale inhoud"
"Ihre ausdrückliche Einwilligung","Uw uitdrukkelijke toestemming"
"Eingewilligt am:","Toestemming verleend op:"
"Ihre Bestätigung zum Verlust des Widerrufsrechts","Uw erkenning van verlies van het herroepingsrecht"
"Bestätigt am:","Bevestigd op:"
"Verzichtsreferenz:","Afstandreferentie:"
"Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU.","Rechtsgrondslag: Art. 16(m) Richtlijn 2011/83/EU consumentenrechten."
"Digital content waiver confirmation — Order %1","Bevestiging afstandsverklaring digitale inhoud — Bestelling %1"
"Dear %name,","Beste %name,"
"This is the durable-medium confirmation of your express consent to begin performance of the following digital items, and your acknowledgment that by doing so you lose your right of withdrawal (Art. 16(m) CRD).","Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de uitvoering van de volgende digitale items, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 16(m) Richtlijn consumentenrechten)."
"Digital items covered by this waiver","Digitale items waarop deze afstandsverklaring betrekking heeft"
"Your express consent","Je uitdrukkelijke toestemming"
"Consented at:","Toestemming verleend op:"
"Your acknowledgment of loss of withdrawal right","Je erkenning van het verlies van het herroepingsrecht"
"Acknowledged at:","Erkend op:"
"Waiver reference:","Referentie afstandsverklaring:"
"Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU.","Juridische grondslag: Art. 16(m) Richtlijn 2011/83/EU consumentenrechten."
"Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id","Bevestiging afstand digitale inhoud — Bestelling %increment_id"
"Hyvä %name,","Beste %name,"
"Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16).","Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw bevestiging dat u daardoor uw herroepingsrecht verliest (KSL 6:16)."
"Luopumisen kattamat digitaaliset sisällöt","Onder deze afstand vallende digitale inhoud"
"Nimenomainen suostumuksesi","Uw uitdrukkelijke toestemming"
"Suostuttu:","Toestemming verleend op:"
"Vahvistuksesi peruuttamisoikeuden menettämisestä","Uw bevestiging van verlies van het herroepingsrecht"
"Vahvistettu:","Bevestigd op:"
"Luopumisen viite:","Afstandreferentie:"
