"View Credit Memo","Skatīt kredītrēķinu"
"%1 requests queued for acceptance.","%1 pieprasījumi pievienoti rindai apstiprināšanai."
"%1 request(s) approved.","Apstiprināts(-i) %1 pieprasījums(-i)."
"%1 request(s) failed. First errors: %2","Neizdevās %1 pieprasījums(-i). Pirmās kļūdas: %2"
"Note added to %1 request(s).","Piezīme pievienota %1 pieprasījumam(-iem)."
"Underlying order #%1 not found.","Saistītais pasūtījums #%1 nav atrasts."
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","Pasūtījumam #%1 vēl nav rēķina — Magento pirms kredītrēķina izveides nepieciešams rēķins. Vispirms izveidojiet rēķinu (Pārdošana → Pasūtījumi → #%1 → poga „Rēķins“), tad atgriezieties šeit, lai veiktu atmaksu."
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","Šajā atteikuma pieprasījumā nav reģistrētu preču — kredītrēķins atvērsies ar rēķina noklusētajiem daudzumiem; lūdzu, manuāli pielāgojiet."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Iepriekš aizpildīts kredītrēķins atteikumam #%1 — pārbaudiet daudzumus un piegādes atmaksu zemāk, tad noklikšķiniet uz „Atmaksāt tiešsaistē“ vai „Atmaksāt bezsaistē“."
"Some items are no longer eligible. Please reload and try again.","Dažām precēm vairs nav atteikuma tiesību. Lūdzu, pārlādējiet lapu un mēģiniet vēlreiz."
"We could not process your request. Please try again.","Mēs nevarējām apstrādāt jūsu pieprasījumu. Lūdzu, mēģiniet vēlreiz."
"Item","Prece"
"We could not find a matching order for that email.","Šim e-pastam neizdevās atrast atbilstošu pasūtījumu."
"Withdraw from a contract","Atteikties no līguma"
"Withdrawal not found.","Atteikums nav atrasts."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","Šo atteikumu vairs nevar atcelt tiešsaistē. Sazinieties ar mums, ja nepieciešama palīdzība."
"Withdrawal #%1 cancelled.","Atteikums #%1 atcelts."
"Please fill in all required fields.","Lūdzu, aizpildiet visus obligātos laukus."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","No atteikuma tika izslēgta(-s) %1 prece(-s), jo aizzīmogojums ir bojāts (Direktīvas 2011/83/ES 16. panta e)/i) apakšpunkts)."
"Please select at least one item to withdraw.","Lūdzu, atzīmējiet vismaz vienu preci atteikumam."
"One or more items are no longer available for withdrawal. Please refresh and try again.","Viena vai vairākas preces vairs nav pieejamas atteikumam. Lūdzu, atjauniniet lapu un mēģiniet vēlreiz."
"None of the selected items are eligible for withdrawal.","Nevienai no atzīmētajām precēm nav tiesību uz atteikumu."
"Hash mismatch for quote item %1","Jaucējkoda neatbilstība groza precei %1"
"Requested qty %1 exceeds remaining %2 for order item %3","Pieprasītais daudzums %1 pārsniedz atlikušo %2 pasūtījuma precei %3"
"No delivery confirmation recorded for this order yet.","Šim pasūtījumam vēl nav reģistrēts piegādes apstiprinājums."
"No eligible items selected for withdrawal","Nav atzīmēta neviena atteikumam atbilstoša prece"
"Physical goods","Fiziskās preces"
"Digital content (non-tangible)","Digitālais saturs (nemateriāls)"
"Digital service (SaaS / subscription)","Digitālais pakalpojums (SaaS / abonements)"
"Financial services (Enterprise tier)","Finanšu pakalpojumi (Enterprise līmenis)"
"Downloadable products","Lejupielādējami produkti"
"Virtual products","Virtuāli produkti"
"Bundles containing digital children","Komplekti, kas satur digitālas apakšvienības"
"Custom attribute flag","Pielāgota atribūta karodziņš"
"locale_inheritance.xml missing at %1","locale_inheritance.xml trūkst vietā %1"
"locale_inheritance.xml unreadable at %1","locale_inheritance.xml nav nolasāms vietā %1"
"locale_inheritance.xml failed XSD validation: %1","locale_inheritance.xml neizturēja XSD validāciju: %1"
"Original payment method","Sākotnējā maksāšanas metode"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","Šis ir jūsu atteikuma apliecinājums pastāvīgā informācijas nesējā (Direktīvas 2011/83/ES 11.a panta 4. punkts)."
"This email is a notification about your withdrawal request.","Šis e-pasts ir paziņojums par jūsu atteikuma pieprasījumu."
"5–7 business days","5–7 darba dienas"
"This is a confirmation that your withdrawal request has been recorded.","Šis ir apstiprinājums, ka jūsu atteikuma pieprasījums ir reģistrēts."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","MageMe ES atteikuma modulis ir uzstādīts, bet nav iespējots. Pirms iespējošanas pārskatiet atbilstības kontrolsarakstu un konfigurējiet moduli: <a href=""%1"">Veikali → Konfigurācija → MageMe paplašinājumi → ES atteikuma tiesības</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","Piegādes apstiprinājuma statuss nav konfigurēts. Iestatiet: Veikali → Konfigurācija → MageMe paplašinājumi → ES atteikuma tiesības → Atteikuma periods → Piegādes apstiprinājuma statusi."
"No Annex I source found for locale %1 along chain %2","Lokālei %1 ķēdē %2 netika atrasts I pielikuma avots"
"Annex I source for locale %1 is malformed","Lokāles %1 I pielikuma avots ir nepareizi formēts"
"Missing merchant variables for Annex I rendering: %1","Trūkst tirgotāja mainīgo I pielikuma renderēšanai: %1"
"Receipt hash mismatch for request %1","Apliecinājuma jaucējkoda neatbilstība pieprasījumam %1"
"Request %1 not found.","Pieprasījums %1 nav atrasts."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","Atteikuma pieprasījuma noraidīšanai nepieciešams juridisks pamats vismaz 10 rakstzīmju garumā."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","Atteikuma pieprasījums nevar pāriet no „%1“ uz „%2“."
"Request %1 is not in pending_confirm state.","Pieprasījums %1 nav stāvoklī pending_confirm."
"Withdrawal request #%1 does not exist.","Atteikuma pieprasījums #%1 neeksistē."
"No digital items on order %1","Pasūtījumā %1 nav digitālo preču"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","Šī ir jūsu pastāvīgā informācijas nesējā saglabātā kopija atteikšanās dokumentam, kuru parakstījāt norēķinos (Direktīvas 2011/83/ES 11.a panta 4. punkts)."
"Waived","Atsacīts"
"Waiver email render failed: %1","Atteikšanās e-pasta renderēšana neizdevās: %1"
"Digital content waiver text has changed — please reload checkout.","Digitālā satura atteikšanās teksts ir mainījies — lūdzu, pārlādējiet norēķinu lapu."
"Digital content waiver is incomplete for item %1.","Digitālā satura atteikšanās precei %1 nav pilnībā aizpildīta."
"bad","bad"
"smtp down","smtp down"
"smtp","smtp"
"down","nepieejams"
"No shipment found for order 42.","Pasūtījumam 42 nav atrasts sūtījums."
"View","Skatīt"
"Withdrawal & Customer Information","Atteikuma un klienta informācija"
"Request # %1","Pieprasījums Nr. %1"
"Request Status","Pieprasījuma statuss"
"Submitted At","Iesniegšanas laiks"
"Confirmed At","Apstiprināšanas laiks"
"Related Order","Saistītais pasūtījums"
"Jurisdiction","Jurisdikcija"
"Contract Type","Līguma veids"
"Receipt Status","Apliecinājuma statuss"
"%1 attempt(s)","%1 mēģinājums(-i)"
"Receipt Error","Apliecinājuma kļūda"
"Customer Information","Klienta informācija"
"Customer Name","Klienta vārds"
"Email","E-pasts"
"Locale","Valoda"
"Items Selected for Withdrawal","Atteikumam izvēlētās preces"
"Product","Produkts"
"Price","Cena"
"Qty","Daudz."
"Subtotal","Starpsumma"
"Refund","Atmaksa"
"Reason","Iemesls"
"Eligibility","Atbilstība"
"No items associated with this request.","Ar šo pieprasījumu nav saistītu preču."
"SKU","SKU"
"Ordered","Pasūtīts"
"Withdrawing","Tiek atteikts"
"Refund Total","Atmaksa kopā"
"Notes for this Request","Piezīmes šim pieprasījumam"
"Internal notes — visible to admin staff only. Not sent to the customer.","Iekšējās piezīmes — redzamas tikai administratoriem. Klientam netiek nosūtītas."
"Comment","Komentārs"
"Add internal note (max 2000 chars)","Pievienot iekšēju piezīmi (maks. 2000 rakstzīmes)"
"Submit Comment","Iesniegt komentāru"
"No comments added yet.","Vēl nav pievienots neviens komentārs."
" by %1"," no %1"
"Refund Totals","Atmaksas kopsumma"
"Items Subtotal","Preču starpsumma"
"Shipping Refund","Piegādes atmaksa"
"Total Refund","Kopējā atmaksa"
"Changes have been made to this section that have not been saved.","Šajā sadaļā ir veiktas izmaiņas, kuras nav saglabātas."
"This tab contains invalid data. Please resolve this before saving.","Šī cilne satur nederīgus datus. Lūdzu, novērsiet to pirms saglabāšanas."
"Contact us","Sazinieties ar mums"
"Returns","Atgriešana"
"FAQs","BUJ"
"All rights reserved.","Visas tiesības rezervētas."
"Returned items","Atgrieztās preces"
"No image","Nav attēla"
"Item status","Preces statuss"
"Withdrawal options for this order","Atteikuma iespējas šim pasūtījumam"
"You can return this order until %1.","Šo pasūtījumu varat atgriezt līdz %1."
"(Art. 11a Directive 2011/83/EU)","(Direktīvas 2011/83/ES 11.a pants)"
"Submit a withdrawal request to start the refund process.","Iesniedziet atteikuma pieprasījumu, lai sāktu atmaksas procesu."
"(Art. 9(2)(b) Directive 2011/83/EU)","(Direktīvas 2011/83/ES 9. panta 2. punkta b) apakšpunkts)"
"Start withdrawal","Sākt atteikumu"
"Your withdrawal requests","Jūsu atteikuma pieprasījumi"
"Submitted %1","Iesniegts %1"
"Show items","Rādīt preces"
"Cancel withdrawal","Atcelt atteikumu"
"Qty %1","Skaits %1"
"Receipt details","Apliecinājuma informācija"
"Receipt number","Kvīts numurs"
"Order number","Pasūtījuma numurs"
"Confirmed","Apstiprināts"
"Consumer","Patērētājs"
"Refund total","Kopējā atmaksas summa"
"Merchant","Tirgotājs"
"Legal basis","Juridiskais pamats"
"SKU %1","SKU %1"
"Shipping refund","Piegādes atmaksa"
"Tax refund","Nodokļa atmaksa"
"Total refund","Kopējā atmaksa"
"Digital content — Art. 16(m) notice","Digitālais saturs — 16. panta m) apakšpunkta paziņojums"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","Veicot pasūtījumu, jūs piekritāt sākt digitālā satura izpildi pirms atteikuma termiņa beigām un apliecinājāt, ka pēc izpildes uzsākšanas atteikuma tiesības vairs neattiecas. Šis paziņojums parādīts jūsu uzziņai."
"Existing withdrawals for this order","Esošie atteikumi šim pasūtījumam"
"You can cancel a withdrawal here until it is approved.","Atteikumu šeit varat atcelt, kamēr tas nav apstiprināts."
"Request #%1","Pieprasījums #%1"
"SKU: %1","SKU: %1"
"Estimated refund: %1 %2","Aptuvenā atmaksa: %1 %2"
"Cancel this withdrawal","Atcelt šo atteikumu"
"Are you sure? This cannot be undone.","Vai esat pārliecināti? To nevar atsaukt."
"Yes, cancel","Jā, atcelt"
"Keep it","Saglabāt"
"That order does not belong to your account. Please select one of your own orders.","Šis pasūtījums nepieder jūsu kontam. Lūdzu, izvēlieties kādu no saviem pasūtījumiem."
"Select items to return","Izvēlieties atgriežamās preces"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Izvēlieties visas preces vai tikai dažas no tām. Iestatiet atgriešanas daudzumu katrai precei, no kuras vēlaties atteikties."
"You have 14 days from the day you received your order to withdraw from the contract without giving a reason.","Jums ir 14 dienas no pasūtījuma saņemšanas dienas, lai atteiktos no līguma, nenorādot iemeslu."
"Back to order search","Atpakaļ uz pasūtījumu meklēšanu"
"Cancel","Atcelt"
"Continue to review","Turpināt uz pārbaudi"
"Review and confirm","Pārskatīt un apstiprināt"
"Order #%1","Pasūtījums #%1"
"Placed on %1","Veikts %1"
"Awaiting delivery","Gaida piegādi"
"Delivered on %1","Piegādāts %1"
"Total","Kopā"
"Return shipping","Atgriešanas piegāde"
"View return policy","Skatīt atgriešanas politiku"
"Refund method","Atmaksas veids"
"Refund will be issued to your original payment method.","Atmaksa tiks veikta uz jūsu sākotnējo maksāšanas veidu."
"Return summary","Atgriešanas kopsavilkums"
"Shipping & Handling","Piegāde un apstrāde"
"Tax","Nodoklis"
"Back to items","Atpakaļ uz precēm"
"Submit return request","Iesniegt atgriešanas pieprasījumu"
"Your return request has been submitted!","Jūsu atgriešanas pieprasījums ir iesniegts!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","Esam nosūtījuši jums paziņojumu ar atgriešanas datiem un priekšapmaksas atgriešanas etiķeti (ja attiecināms). Lai nosūtītu preces atpakaļ, jums ir 14 dienas no piegādes datuma."
"Return request number","Atgriešanas pieprasījuma numurs"
"Copy request number","Kopēt pieprasījuma numuru"
"Copied!","Nokopēts!"
"Confirmation email sent","Apstiprinājuma e-pasts nosūtīts"
"We've sent the details to","Esam nosūtījuši informāciju uz"
"What happens next?","Kas notiks tālāk?"
"Pack your items securely","Droši iesaiņojiet savas preces"
"Send them back using the provided instructions","Nosūtiet tās atpakaļ saskaņā ar sniegtajiem norādījumiem"
"We'll inspect your return","Mēs pārbaudīsim jūsu atgriešanu"
"Your refund will be issued to your original payment method","Atmaksa tiks veikta uz jūsu sākotnējo maksāšanas veidu"
"Need more help?","Nepieciešama papildu palīdzība?"
"View my returns","Skatīt manas atgriešanas"
"Contact support","Sazināties ar atbalstu"
"Purchased","Iegādāts"
"Returned","Atgriezts"
"Decrease quantity","Samazināt daudzumu"
"Increase quantity","Palielināt daudzumu"
"Has the hygiene seal been broken after delivery?","Vai higiēnas aizzīmogojums ir bojāts pēc piegādes?"
"Has the original software / media seal been broken after delivery?","Vai oriģinālais programmatūras / datu nesēja aizzīmogojums ir bojāts pēc piegādes?"
"No, the seal is intact","Nē, aizzīmogojums ir vesels"
"Refund possible — return the unopened package.","Atmaksa iespējama — atgrieziet neatvērto iepakojumu."
"Yes, the seal is broken","Jā, aizzīmogojums ir bojāts"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Šo preci nevar atgriezt (Direktīvas 2011/83/ES 16. panta e) apakšpunkts)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Šo preci nevar atgriezt (Direktīvas 2011/83/ES 16. panta i) apakšpunkts)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Tiklīdz apstiprināsiet, ka aizzīmogojums ir bojāts, šī prece tiek izslēgta no atteikuma pieprasījuma un daudzums tiks atiestatīts uz nulli."
"Reason for return (optional)","Atgriešanas iemesls (pēc izvēles)"
"Tell us more (optional, max 500 chars)","Pastāstiet vairāk (pēc izvēles, maks. 500 rakstzīmes)"
"Already returned.","Jau atgriezts."
"awaiting admin review","gaida administratora pārbaudi"
"awaiting confirmation","gaida apstiprinājumu"
"Request %1 %2 (%3 item%4).","Pieprasījums %1 %2 (%3 prece%4)."
"Return request awaiting review.","Atgriešanas pieprasījums gaida pārbaudi."
"Cancel request","Atcelt pieprasījumu"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","Saskaņā ar ES patērētāju tiesību aktiem jūs varat atteikties no vairuma līgumu 14 dienu laikā, nenorādot iemeslu."
"Read your full pre-contract rights (Art. 6)","Lasīt visas pirmslīguma tiesības (6. pants)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","Saskaņā ar Direktīvas 2011/83/ES 6. pantu (kas grozīts ar Direktīvu (ES) 2023/2673) pirms šī pasūtījuma veikšanas pārdevējs jūs informēja vai darīja jums pieejamu šādu informāciju:"
"The main characteristics of the goods or services.","Preču vai pakalpojumu galvenās īpašības."
"The identity and contact details of the trader.","Tirgotāja identitāte un kontaktinformācija."
"The total price including all taxes and any delivery costs.","Kopējā cena, ieskaitot visus nodokļus un piegādes izmaksas."
"The arrangements for payment, delivery and performance, and complaint-handling.","Maksāšanas, piegādes un izpildes kārtība, kā arī sūdzību izskatīšanas kārtība."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Jūsu atteikuma tiesības: saskaņā ar 9. pantu jums ir 14 dienas, lai atteiktos no šī distances līguma, nenorādot iemeslu. Fiziskām precēm 14 dienu termiņš sākas dienā, kad jūs (vai trešā persona, kuru jūs nozīmējāt) iegūstat preces fiziskā valdījumā. Pakalpojumiem un digitālajam saturam piemērojami atšķirīgi sākuma datumi (9. panta 2. punkta a)/c) apakšpunkts)."
"Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right).","Izņēmumi: tiesības neattiecas uz noteiktām precēm un pakalpojumiem, kas uzskaitīti 16. pantā (piemēram, pēc pasūtījuma izgatavotas preces, aizzīmogotas higiēnas preces pēc to atvēršanas, digitālais saturs, kura izpilde uzsākta ar jūsu iepriekšēju skaidri izteiktu piekrišanu un apliecinājumu, ka jūs zaudējat atteikuma tiesības)."
"The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal.","Papildus atteikuma tiesībām precēm tiek piemērota juridiskā atbilstības garantija saskaņā ar Direktīvas 2019/771 5. pantu."
"Delivery: %1","Piegāde: %1"
"Total paid","Kopā samaksāts"
"Pick an order to withdraw from","Izvēlieties pasūtījumu, no kura atteikties"
"Select a recent order to start your withdrawal.","Izvēlieties nesenu pasūtījumu, lai sāktu atteikumu."
"Select","Izvēlēties"
"Withdrawal progress","Atteikuma gaita"
"title","virsraksts"
"subtitle","apakšvirsraksts"
"Items to return","Atgriežamās preces"
"0 items","0 preces"
"Refund summary","Atmaksas kopsavilkums"
"No items in this order are currently eligible for withdrawal.","Pašlaik nevienai šī pasūtījuma precei nav tiesību uz atteikumu."
"Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel.","Katra rinda jau tiek apstrādāta, gaida apstiprinājumu vai jau ir pilnībā atsaukta. Pārbaudiet esošo pieprasījumu sadaļu augšpusē, lai uzzinātu statusu vai atceltu."
"No items selected yet. Use the + button next to an item to add it to your return.","Vēl nav izvēlētas preces. Izmantojiet pogu + blakus precei, lai to pievienotu atgriešanai."
"Find your order","Atrodiet savu pasūtījumu"
"Enter the details you used during checkout to start a return or withdrawal.","Ievadiet datus, ko izmantojāt, veicot pasūtījumu, lai uzsāktu atgriešanu vai atteikumu."
"We could not find an order matching that email. Double-check your order number and email address.","Šim e-pastam neizdevās atrast atbilstošu pasūtījumu. Lūdzu, vēlreiz pārbaudiet pasūtījuma numuru un e-pasta adresi."
"e.g. 12345","piem. 12345"
"You can find this in your order confirmation email.","To varat atrast pasūtījuma apstiprinājuma e-pastā."
"Email address","E-pasta adrese"
"you@example.com","you@example.com"
"Must match the email used for the order.","Jāatbilst pasūtījumam izmantotajam e-pastam."
"Find my order","Atrast manu pasūtījumu"
"You have the right to withdraw from your purchase within 14 days of receiving your order, without giving any reason.","Jums ir tiesības atteikties no pirkuma 14 dienu laikā pēc pasūtījuma saņemšanas, nenorādot iemeslu."
"Need help finding your order?","Vajadzīga palīdzība pasūtījuma atrašanā?"
"Select an order","Izvēlieties pasūtījumu"
"Choose an order from your history to start a return or withdrawal.","Izvēlieties pasūtījumu no vēstures, lai uzsāktu atgriešanu vai atteikumu."
"You don't have any orders eligible for withdrawal. The 14-day withdrawal window runs from the day you received your order.","Jums nav neviena atteikumam atbilstoša pasūtījuma. 14 dienu atteikuma termiņš sākas dienā, kad saņēmāt savu pasūtījumu."
"View all my orders","Skatīt visus manus pasūtījumus"
"items","preces"
"Select order","Izvēlēties pasūtījumu"
"No recent withdrawal","Nav nesena atteikuma"
"We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email.","Šajā sesijā neizdevās atrast nesenu atteikumu. Ja tikko to iesniedzāt, lūdzu, pārbaudiet savu iesūtni, vai nav saņemts apstiprinājuma e-pasts."
"Start a new withdrawal","Sākt jaunu atteikumu"
"Withdrawal #%1 submitted","Atteikums #%1 iesniegts"
"Related order:","Saistītais pasūtījums:"
"Items","Preces"
"Items included in this withdrawal","Šajā atteikumā iekļautās preces"
"Line Total","Rindas kopsumma"
"What happens next","Kas notiks tālāk"
"You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes.","Dažu minūšu laikā saņemsiet apliecinājuma e-pastu ar pilnu atteikuma paziņojumu un integritātes jaucējkodu."
"The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","14 dienu termiņš saskaņā ar Direktīvas 2011/83/ES 9. pantu ir piesaistīts brīdim, kad apstiprinājāt atteikumu — nekas vairs no jums netiek prasīts, lai saglabātu šīs tiesības."
"The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt.","Galīgā atmaksas summa tiek noteikta pēc atgriezto preču saņemšanas (14. panta 2. punkts) un tiek pārskaitīta uz sākotnējo maksāšanas veidu. Naudas līdzekļus var sagaidīt 14 dienu laikā pēc saņemšanas."
"Back to Withdrawals","Atpakaļ uz atteikumiem"
"Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id","Digitālā satura atteikšanās apstiprinājums — Pasūtījums %increment_id"
"Sehr geehrte/r %name,","Cienījamais(-ā) %name,"
"Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL).","Šis ir pastāvīgā informācijas nesējā saglabāts apstiprinājums jūsu skaidri izteiktajai piekrišanai sākt turpmāk minētā digitālā satura izpildi, kā arī jūsu apliecinājumam, ka tādējādi zaudējat atteikuma tiesības (Direktīvas 2011/83/ES 16. panta m) apakšpunkts)."
"Durch den Verzicht abgedeckte digitale Inhalte","Atteikšanās aptvertie digitālie saturi"
"Ihre ausdrückliche Einwilligung","Jūsu skaidri izteiktā piekrišana"
"Eingewilligt am:","Piekrišanas datums:"
