"View Credit Memo","Преглед на кредитното известие"
"You have 14 days from the day you received your order to withdraw from the contract without giving a reason.","Имате 14 дни от деня на получаване на поръчката, за да се откажете от договора без да посочвате причина."
"Back to order search","Обратно към търсенето"
"Cancel","Отказ"
"Continue to review","Продължете към преглед"
"Review and confirm","Преглед и потвърждение"
"Order #%1","Поръчка #%1"
"Placed on %1","Поръчано на %1"
"Awaiting delivery","Изчаква доставка"
"Delivered on %1","Доставено на %1"
"Total","Общо"
"Return shipping","Доставка при връщане"
"View return policy","Преглед на политиката за връщане"
"Refund method","Метод на възстановяване"
"Refund will be issued to your original payment method.","Възстановяването ще бъде извършено по първоначалния ви метод на плащане."
"Return summary","Обобщение на връщането"
"Shipping & Handling","Доставка и обработка"
"Tax","Данък"
"Back to items","Обратно към артикулите"
"Submit return request","Изпрати заявка за връщане"
"Your return request has been submitted!","Заявката ви за връщане беше изпратена!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","Изпратихме ви имейл с известие, съдържащо детайлите на връщането и предплатен етикет за връщане (ако е приложимо). Имате 14 дни от датата на доставка да изпратите артикулите обратно."
"Return request number","Номер на заявката за връщане"
"Copy request number","Копиране на номера на заявката"
"Copied!","Копирано!"
"Confirmation email sent","Изпратен е потвърдителен имейл"
"We've sent the details to","Изпратихме детайлите на"
"What happens next?","Какво следва?"
"Pack your items securely","Опаковайте артикулите си надеждно"
"Send them back using the provided instructions","Върнете ги, като следвате предоставените инструкции"
"We'll inspect your return","Ще прегледаме връщането ви"
"Your refund will be issued to your original payment method","Възстановяването ще бъде извършено по първоначалния ви метод на плащане"
"Need more help?","Нужна ли е допълнителна помощ?"
"View my returns","Виж моите връщания"
"Contact support","Свържи се с поддръжката"
"Purchased","Купени"
"Returned","Върнати"
"Decrease quantity","Намали количеството"
"Increase quantity","Увеличи количеството"
"Has the hygiene seal been broken after delivery?","Нарушена ли е хигиенната пломба след доставката?"
"Has the original software / media seal been broken after delivery?","Нарушена ли е оригиналната пломба на софтуера / носителя след доставката?"
"No, the seal is intact","Не, пломбата е цяла"
"Refund possible — return the unopened package.","Възможно е възстановяване — върнете неотворения пакет."
"Yes, the seal is broken","Да, пломбата е нарушена"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Този артикул не може да бъде върнат (чл. 16(д) от Директива 2011/83/ЕС)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Този артикул не може да бъде върнат (чл. 16(и) от Директива 2011/83/ЕС)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","След като потвърдите, че пломбата е нарушена, този артикул се изключва от заявката за отказ и количеството се нулира."
"Reason for return (optional)","Причина за връщане (по избор)"
"Tell us more (optional, max 500 chars)","Споделете повече (по избор, макс. 500 знака)"
"Already returned.","Вече върнато."
"awaiting admin review","очаква преглед от администратор"
"awaiting confirmation","очаква потвърждение"
"Request %1 %2 (%3 item%4).","Заявка %1 %2 (%3 артикул%4)."
"Return request awaiting review.","Заявката за връщане очаква преглед."
"Cancel request","Отказ на заявка"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","Съгласно потребителското право на ЕС можете да се откажете от повечето договори в рамките на 14 дни без посочване на причина."
"Read your full pre-contract rights (Art. 6)","Прочетете пълните си преддоговорни права (чл. 6)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","Съгласно чл. 6 от Директива 2011/83/ЕС (изменена с Директива (ЕС) 2023/2673), преди да направите тази поръчка, продавачът ви е предоставил — или е направил достъпна — следната информация:"
"The main characteristics of the goods or services.","Основните характеристики на стоките или услугите."
"The identity and contact details of the trader.","Самоличността и данните за контакт на търговеца."
"The total price including all taxes and any delivery costs.","Общата цена, включваща всички данъци и евентуални разходи за доставка."
"The arrangements for payment, delivery and performance, and complaint-handling.","Условията за плащане, доставка и изпълнение, както и за разглеждане на жалби."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Вашето право на отказ: съгласно чл. 9 разполагате с 14 дни да се откажете от този договор от разстояние, без да посочвате причина. За физически стоки 14-дневният срок започва да тече от деня, в който вие (или посочено от вас трето лице) получите физическо владение на стоките. За услуги и цифрово съдържание се прилагат различни начални дати (чл. 9(2)(а)/(в))."
"Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right).","Изключения: правото не се прилага за определени стоки и услуги, изброени в чл. 16 (напр. стоки по индивидуална поръчка, запечатани хигиенни артикули след нарушаване на пломбата, цифрово съдържание, чието изпълнение е започнало с вашето предварително изрично съгласие и потвърждение, че губите правото на отказ)."
"The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal.","Законовата гаранция за съответствие на стоките се прилага съгласно чл. 5 от Директива 2019/771, в допълнение към правото на отказ."
"Delivery: %1","Доставка: %1"
"Total paid","Платено общо"
"Pick an order to withdraw from","Изберете поръчка, от която да се откажете"
"Select a recent order to start your withdrawal.","Изберете скорошна поръчка, за да започнете отказа."
"Select","Избор"
"Withdrawal progress","Прогрес на отказа"
"title","заглавие"
"subtitle","подзаглавие"
"Items to return","Артикули за връщане"
"0 items","0 артикула"
"Refund summary","Обобщение на възстановяването"
"No items in this order are currently eligible for withdrawal.","В тази поръчка в момента няма артикули, които подлежат на отказ."
"Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel.","Всеки ред или вече се обработва, или очаква потвърждение, или е напълно отказан. Вижте раздела със съществуващи заявки по-горе за статус или анулиране."
"No items selected yet. Use the + button next to an item to add it to your return.","Все още няма избрани артикули. Използвайте бутона + до даден артикул, за да го добавите към връщането."
"Find your order","Намерете вашата поръчка"
"Enter the details you used during checkout to start a return or withdrawal.","Въведете данните, използвани при плащането, за да започнете връщане или отказ."
"We could not find an order matching that email. Double-check your order number and email address.","Не намерихме поръчка, отговаряща на този имейл. Моля, проверете отново номера на поръчката и имейл адреса."
"e.g. 12345","напр. 12345"
"You can find this in your order confirmation email.","Можете да го намерите в имейла за потвърждение на поръчката."
"Email address","Имейл адрес"
"you@example.com","you@example.com"
"Must match the email used for the order.","Трябва да съвпада с имейла, използван за поръчката."
"Find my order","Намери моята поръчка"
"You have the right to withdraw from your purchase within 14 days of receiving your order, without giving any reason.","Имате право да се откажете от покупката си в рамките на 14 дни от получаване на поръчката, без да посочвате причина."
"Need help finding your order?","Нуждаете се от помощ за намиране на поръчката?"
"Select an order","Избор на поръчка"
"Choose an order from your history to start a return or withdrawal.","Изберете поръчка от вашата история, за да започнете връщане или отказ."
"You don't have any orders eligible for withdrawal. The 14-day withdrawal window runs from the day you received your order.","Нямате поръчки, които подлежат на отказ. 14-дневният срок за отказ започва да тече от деня, в който сте получили поръчката си."
"View all my orders","Преглед на всички мои поръчки"
"items","артикули"
"Select order","Избери поръчка"
"No recent withdrawal","Няма скорошен отказ"
"We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email.","Не намерихме скорошен отказ в тази сесия. Ако току-що сте подали заявка, моля, проверете входящата си кутия за имейла за потвърждение."
"Start a new withdrawal","Започване на нов отказ"
"Withdrawal #%1 submitted","Отказ #%1 е подаден"
"Related order:","Свързана поръчка:"
"Items","Артикули"
"Items included in this withdrawal","Артикули, включени в този отказ"
"Line Total","Общо за реда"
"What happens next","Какво следва"
"You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes.","В рамките на няколко минути ще получите имейл с разписка, съдържаща пълното изявление за отказ и хеш за цялост."
"The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","14-дневният срок съгласно чл. 9 от ДПП се фиксира към момента на потвърждаване на отказа — не е необходимо нищо повече от ваша страна, за да запазите правото."
"The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt.","Окончателната сума за възстановяване се определя, след като получим върнатите артикули (чл. 14(2)), и се изплаща по първоначалния метод на плащане. Очаквайте средствата в рамките на 14 дни от получаването."
"Back to Withdrawals","Обратно към откази"
"Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id","Потвърждение за отказ от право при цифрово съдържание — Поръчка %increment_id"
"Sehr geehrte/r %name,","Уважаеми/а %name,"
"Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL).","Това е потвърждение на траен носител на вашето изрично съгласие за започване на изпълнението на следните цифрови съдържания, както и на потвърждението ви, че по този начин губите правото си на отказ (чл. 16(м) от ДПП)."
"Durch den Verzicht abgedeckte digitale Inhalte","Цифрови съдържания, обхванати от съгласието"
"Ihre ausdrückliche Einwilligung","Вашето изрично съгласие"
"Eingewilligt am:","Съгласие дадено на:"
"Ihre Bestätigung zum Verlust des Widerrufsrechts","Вашето потвърждение за загуба на правото на отказ"
"Bestätigt am:","Потвърдено на:"
"Verzichtsreferenz:","Референция на съгласието:"
"Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU.","Правно основание: чл. 16(м) от Директивата за правата на потребителите 2011/83/ЕС."
"Digital content waiver confirmation — Order %1","Потвърждение за отказ от право при цифрово съдържание — Поръчка %1"
"Dear %name,","Уважаеми/а %name,"
"This is the durable-medium confirmation of your express consent to begin performance of the following digital items, and your acknowledgment that by doing so you lose your right of withdrawal (Art. 16(m) CRD).","Това е потвърждение на траен носител на вашето изрично съгласие за започване на изпълнението на следните цифрови артикули, както и на потвърждението ви, че по този начин губите правото си на отказ (чл. 16(м) от ДПП)."
"Digital items covered by this waiver","Цифрови артикули, обхванати от това съгласие"
"Your express consent","Твоето изрично съгласие"
"Consented at:","Съгласие дадено на:"
"Your acknowledgment of loss of withdrawal right","Твоето потвърждение за загуба на правото на отказ"
"Acknowledged at:","Потвърдено на:"
"Waiver reference:","Референция на съгласието:"
"Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU.","Правно основание: чл. 16, буква „м“ от Директива 2011/83/ЕС за правата на потребителите."
"Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id","Потвърждение за отказ от право при цифрово съдържание — Поръчка %increment_id"
"Hyvä %name,","Уважаеми/а %name,"
"Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16).","Това е потвърждение на траен носител на вашето изрично съгласие за започване на доставката на следните цифрови съдържания, както и на потвърждението ви, че губите правото си на отказ (чл. 6:16 от Закона за защита на потребителите на Финландия)."
"Luopumisen kattamat digitaaliset sisällöt","Цифрови съдържания, обхванати от съгласието"
"Nimenomainen suostumuksesi","Вашето изрично съгласие"
"Suostuttu:","Съгласие дадено на:"
"Vahvistuksesi peruuttamisoikeuden menettämisestä","Вашето потвърждение за загуба на правото на отказ"
"Vahvistettu:","Потвърдено на:"
"Luopumisen viite:","Референция на съгласието:"
"Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU.","Правно основание: чл. 6:16 от Закона за защита на потребителите на Финландия / чл. 16(м) от Директивата за правата на потребителите 2011/83/ЕС."
"Confirmation de renonciation au contenu numérique — Commande %increment_id","Потвърждение за отказ от право при цифрово съдържание — Поръчка %increment_id"
"Cher/Chère %name,","Уважаеми/а %name,"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","Това е потвърждение на траен носител на вашето изрично съгласие за започване на изпълнението на следните цифрови съдържания, както и на потвърждението ви, че по този начин губите правото си на отказ (чл. L. 221-28 от Кодекса за защита на потребителите на Франция)."
"Contenus numériques couverts par la présente renonciation","Цифрови съдържания, обхванати от настоящото съгласие"
"Votre consentement exprès","Вашето изрично съгласие"
"Consenti le :","Съгласие дадено на:"
"Votre reconnaissance de la perte du droit de rétractation","Вашето потвърждение за загуба на правото на отказ"
"Reconnu le :","Потвърдено на:"
"Référence de renonciation :","Референция на съгласието:"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Правно основание: чл. L. 221-28 от Кодекса за защита на потребителите на Франция / чл. 16(м) от Директива 2011/83/ЕС."
"Bevestiging afstand digitale inhoud — Bestelling %increment_id","Потвърждение за отказ от право при цифрово съдържание — Поръчка %increment_id"
"Beste %name,","Уважаеми/а %name,"
