"View Credit Memo","Zobraziť dobropis"
"locale_inheritance.xml unreadable at %1","locale_inheritance.xml sa nedá prečítať v %1"
"locale_inheritance.xml failed XSD validation: %1","locale_inheritance.xml zlyhal pri XSD validácii: %1"
"Original payment method","Pôvodná metóda platby"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","Toto je vaše potvrdenie o odstúpení na trvanlivom nosiči (čl. 11a ods. 4 smernice 2011/83/EÚ)."
"This email is a notification about your withdrawal request.","Tento e-mail je upozornením na vašu žiadosť o odstúpenie."
"5–7 business days","5–7 pracovných dní"
"This is a confirmation that your withdrawal request has been recorded.","Toto je potvrdenie, že vaša žiadosť o odstúpenie bola zaznamenaná."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","MageMe EU Withdrawal je nainštalované, ale nie je povolené. Pred povolením skontrolujte zoznam súladu a nakonfigurujte modul: <a href=""%1"">Obchody → Konfigurácia → Rozšírenia MageMe → EÚ odstúpenie od zmluvy</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","Stav potvrdenia doručenia nie je nakonfigurovaný. Nastavte Obchody → Konfigurácia → Rozšírenia MageMe → EÚ odstúpenie od zmluvy → Lehota na odstúpenie → Stavy potvrdenia doručenia."
"No Annex I source found for locale %1 along chain %2","Pre jazyk %1 sa v reťazi %2 nenašiel zdroj Prílohy I"
"Annex I source for locale %1 is malformed","Zdroj Prílohy I pre jazyk %1 je poškodený"
"Missing merchant variables for Annex I rendering: %1","Chýbajú premenné obchodníka pre vykreslenie Prílohy I: %1"
"Receipt hash mismatch for request %1","Nezhoda hashu potvrdenia pre žiadosť %1"
"Request %1 not found.","Žiadosť %1 sa nenašla."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","Zamietnutie žiadosti o odstúpenie vyžaduje právny dôvod s minimálne 10 znakmi."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","Žiadosť o odstúpenie nemôže prejsť zo stavu „%1"" do stavu „%2""."
"Request %1 is not in pending_confirm state.","Žiadosť %1 nie je v stave pending_confirm."
"Withdrawal request #%1 does not exist.","Žiadosť o odstúpenie č. %1 neexistuje."
"No digital items on order %1","V objednávke %1 nie sú žiadne digitálne položky"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","Toto je vaša kópia súhlasu na trvanlivom nosiči, ktorý ste podpísali pri pokladni (čl. 11a ods. 4 smernice 2011/83/EÚ)."
"Waived","Vzdané"
"Waiver email render failed: %1","Vykreslenie e-mailu so súhlasom zlyhalo: %1"
"Digital content waiver text has changed — please reload checkout.","Text súhlasu s digitálnym obsahom sa zmenil — obnovte, prosím, pokladňu."
"Digital content waiver is incomplete for item %1.","Súhlas s digitálnym obsahom je neúplný pre položku %1."
"bad","zlé"
"smtp down","smtp down"
"smtp","smtp"
"down","nefunkčné"
"No shipment found for order 42.","Pre objednávku 42 sa nenašla žiadna zásielka."
"View","Zobraziť"
"Withdrawal & Customer Information","Informácie o odstúpení a zákazníkovi"
"Request # %1","Žiadosť č. %1"
"Request Status","Stav žiadosti"
"Submitted At","Odoslané dňa"
"Related Order","Súvisiaca objednávka"
"Jurisdiction","Jurisdikcia"
"Contract Type","Typ zmluvy"
"Receipt Status","Stav potvrdenia"
"%1 attempt(s)","%1 pokusov"
"Receipt Error","Chyba potvrdenia"
"Customer Information","Informácie o zákazníkovi"
"Customer Name","Meno zákazníka"
"Email","E-mail"
"Locale","Jazyk"
"Items Selected for Withdrawal","Položky vybrané na odstúpenie"
"Product","Produkt"
"Price","Cena"
"Qty","Množ."
"Subtotal","Medzisúčet"
"Refund","Refundácia"
"Reason","Dôvod"
"Eligibility","Spôsobilosť"
"No items associated with this request.","K tejto žiadosti nie sú priradené žiadne položky."
"SKU","SKU"
"Ordered","Objednané"
"Withdrawing","Odstupované"
"Refund Total","Celkom na vrátenie"
"Notes for this Request","Poznámky k tejto žiadosti"
"Internal notes — visible to admin staff only. Not sent to the customer.","Interné poznámky — viditeľné iba pre administrátorov. Zákazníkovi sa neodosielajú."
"Comment","Komentár"
"Add internal note (max 2000 chars)","Pridať internú poznámku (max. 2000 znakov)"
"Submit Comment","Odoslať komentár"
"No comments added yet.","Zatiaľ neboli pridané žiadne komentáre."
" by %1"," od %1"
"Refund Totals","Súhrn refundácie"
"Items Subtotal","Medzisúčet položiek"
"Shipping Refund","Refundácia dopravy"
"Total Refund","Celková refundácia"
"Changes have been made to this section that have not been saved.","V tejto sekcii boli vykonané zmeny, ktoré neboli uložené."
"This tab contains invalid data. Please resolve this before saving.","Táto karta obsahuje neplatné údaje. Pred uložením to, prosím, opravte."
"Contact us","Kontaktujte nás"
"Returns","Vrátenia"
"FAQs","Časté otázky"
"All rights reserved.","Všetky práva vyhradené."
"Returned items","Vrátené položky"
"No image","Bez obrázka"
"Item status","Stav položky"
"Withdrawal options for this order","Možnosti odstúpenia pre túto objednávku"
"You can return this order until %1.","Túto objednávku môžete vrátiť do %1."
"(Art. 11a Directive 2011/83/EU)","(čl. 11a smernice 2011/83/EÚ)"
"Submit a withdrawal request to start the refund process.","Podajte žiadosť o odstúpenie a začnite proces refundácie."
"(Art. 9(2)(b) Directive 2011/83/EU)","(čl. 9 ods. 2 písm. b) smernice 2011/83/EÚ)"
"Start withdrawal","Začať odstúpenie"
"Your withdrawal requests","Vaše žiadosti o odstúpenie"
"Submitted %1","Odoslané %1"
"Show items","Zobraziť položky"
"Cancel withdrawal","Zrušiť odstúpenie"
"Qty %1","Množstvo %1"
"Receipt details","Detaily potvrdenia"
"Receipt number","Číslo potvrdenia"
"Order number","Číslo objednávky"
"Consumer","Spotrebiteľ"
"Refund total","Celková suma refundácie"
"Merchant","Predajca"
"Legal basis","Právny základ"
"SKU %1","SKU %1"
"Shipping refund","Refundácia dopravy"
"Tax refund","Refundácia dane"
"Total refund","Celkové vrátenie peňazí"
"Digital content — Art. 16(m) notice","Digitálny obsah — oznámenie podľa čl. 16 písm. m)"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","Zadaním objednávky ste súhlasili so začatím plnenia digitálneho obsahu pred uplynutím lehoty na odstúpenie a potvrdili ste, že po začatí plnenia právo na odstúpenie zaniká. Toto oznámenie sa zobrazuje pre vaše záznamy."
"Existing withdrawals for this order","Existujúce odstúpenia pre túto objednávku"
"You can cancel a withdrawal here until it is approved.","Odstúpenie tu môžete zrušiť, kým nie je schválené."
"Request #%1","Žiadosť #%1"
"SKU: %1","SKU: %1"
"Estimated refund: %1 %2","Odhadovaná refundácia: %1 %2"
"Cancel this withdrawal","Zrušiť toto odstúpenie"
"Are you sure? This cannot be undone.","Ste si istí? Túto akciu nie je možné vrátiť."
"Yes, cancel","Áno, zrušiť"
"Keep it","Ponechať"
"Select items to return","Vyberte položky na vrátenie"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Vyberte všetky položky alebo len niektoré. Nastavte množstvo na vrátenie pre každú položku, od ktorej chcete odstúpiť."
"You have %1 days from the day you received your order to withdraw from the contract without giving a reason.","Od prevzatia objednávky máte %1 dní na odstúpenie od zmluvy bez uvedenia dôvodu."
"Back to order search","Späť na vyhľadávanie objednávok"
"Cancel","Zrušiť"
"Continue to review","Pokračovať na kontrolu"
"Review and confirm","Skontrolovať a potvrdiť"
"Order #%1","Objednávka #%1"
"Placed on %1","Vytvorené %1"
"Awaiting delivery","Čaká na doručenie"
"Delivered on %1","Doručené %1"
"Total","Spolu"
"Return shipping","Doprava vrátenia"
"View return policy","Zobraziť pravidlá vrátenia"
"Refund method","Spôsob refundácie"
"Refund will be issued to your original payment method.","Vrátenie peňazí bude vykonané na váš pôvodný spôsob platby."
"Return summary","Zhrnutie vrátenia"
"Shipping & Handling","Doprava a manipulácia"
"Tax","Daň"
"Back to items","Späť na položky"
"Submit return request","Odoslať žiadosť o vrátenie"
"Your return request has been submitted!","Vaša žiadosť o vrátenie bola odoslaná!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","Poslali sme vám e-mail s podrobnosťami o vrátení a predplateným prepravným štítkom (ak je k dispozícii). Od dátumu doručenia máte 14 dní na zaslanie položiek späť."
"Return request number","Číslo žiadosti o vrátenie"
"Copy request number","Kopírovať číslo žiadosti"
"Copied!","Skopírované!"
"Confirmation email sent","Potvrdzovací e-mail odoslaný"
"We've sent the details to","Podrobnosti sme zaslali na"
"What happens next?","Čo bude nasledovať?"
"Pack your items securely","Bezpečne zabaľte položky"
"Send them back using the provided instructions","Zašlite ich späť podľa poskytnutých pokynov"
"We'll inspect your return","Skontrolujeme vaše vrátenie"
"Your refund will be issued to your original payment method","Refundácia bude pripísaná na váš pôvodný spôsob platby"
"Need more help?","Potrebujete ďalšiu pomoc?"
"View my returns","Zobraziť moje vrátenia"
"Contact support","Kontaktovať podporu"
"Purchased","Zakúpené"
"Returned","Vrátené"
"Decrease quantity","Znížiť množstvo"
"Increase quantity","Zvýšiť množstvo"
"Is the hygiene seal still intact?","Je hygienická pečať stále neporušená?"
"Is the original software / media seal still intact?","Je pôvodná pečať softvéru / nosiča stále neporušená?"
"Yes — it's still sealed","Áno — stále je zapečatené"
"Refund possible — return the unopened package.","Refundácia je možná — vráťte neotvorené balenie."
"No — I've opened it","Nie — otvoril som ho"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Túto položku nie je možné vrátiť (čl. 16 písm. e) smernice 2011/83/EÚ)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Túto položku nie je možné vrátiť (čl. 16 písm. i) smernice 2011/83/EÚ)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Po potvrdení, že pečať je porušená, bude táto položka vylúčená zo žiadosti o odstúpenie a množstvo bude vynulované."
"Reason for return (optional)","Dôvod vrátenia (voliteľné)"
"Tell us more (optional, max 500 chars)","Povedzte nám viac (voliteľné, max. 500 znakov)"
"Already returned.","Už vrátené."
"awaiting admin review","čaká na kontrolu administrátorom"
"awaiting confirmation","čaká na potvrdenie"
"Request %1 %2 (%3 item%4).","Žiadosť %1 %2 (%3 položka%4)."
"Return request awaiting review.","Žiadosť o vrátenie čaká na kontrolu."
"Cancel request","Zrušiť žiadosť"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","Podľa spotrebiteľského práva EÚ môžete od väčšiny zmlúv odstúpiť do 14 dní bez uvedenia dôvodu."
"Read your full pre-contract rights (Art. 6)","Prečítajte si svoje úplné predzmluvné práva (čl. 6)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","Podľa čl. 6 smernice 2011/83/EÚ (v znení smernice (EÚ) 2023/2673) vás predávajúci pred zadaním tejto objednávky informoval — alebo sprístupnil — nasledujúce informácie:"
"The main characteristics of the goods or services.","Hlavné vlastnosti tovaru alebo služieb."
"The identity and contact details of the trader.","Totožnosť a kontaktné údaje obchodníka."
"The total price including all taxes and any delivery costs.","Celková cena vrátane všetkých daní a prípadných nákladov na doručenie."
"The arrangements for payment, delivery and performance, and complaint-handling.","Spôsoby platby, doručenia a plnenia a postup vybavovania reklamácií."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Vaše právo na odstúpenie: podľa čl. 9 máte 14 dní na odstúpenie od tejto zmluvy uzavretej na diaľku bez uvedenia dôvodu. Pri fyzickom tovare začína 14-dňová lehota plynúť dňom, keď ste vy (alebo vami určená tretia osoba) prevzali tovar do fyzickej držby. Pri službách a digitálnom obsahu platia iné začiatočné dátumy (čl. 9 ods. 2 písm. a)/c))."
"Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right).","Výnimky: právo sa nevzťahuje na určitý tovar a služby uvedené v čl. 16 (napr. tovar vyrobený na mieru, zapečatený hygienický tovar po porušení pečate, digitálny obsah, ktorého plnenie začalo s vaším predchádzajúcim výslovným súhlasom a potvrdením o strate práva na odstúpenie)."
"The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal.","Okrem práva na odstúpenie sa na tovar vzťahuje aj zákonná záruka súladu podľa čl. 5 smernice 2019/771."
"Delivery: %1","Doručenie: %1"
"Total paid","Zaplatené spolu"
"Pick an order to withdraw from","Vyberte objednávku, od ktorej chcete odstúpiť"
"Select a recent order to start your withdrawal.","Vyberte nedávnu objednávku a začnite odstúpenie."
"Select","Vybrať"
"Withdrawal progress","Postup odstúpenia"
"title","názov"
"subtitle","podnadpis"
"Items to return","Položky na vrátenie"
"0 items","0 položiek"
"Refund summary","Zhrnutie refundácie"
"No items in this order are currently eligible for withdrawal.","Žiadne položky v tejto objednávke v súčasnosti nespĺňajú podmienky na odstúpenie."
"Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel.","Každá položka je buď už spracovávaná, čaká na potvrdenie alebo bola úplne odstúpená. Stav alebo zrušenie nájdete v sekcii existujúcich žiadostí vyššie."
"No items selected yet. Use the + button next to an item to add it to your return.","Zatiaľ nie sú vybrané žiadne položky. Použite tlačidlo + vedľa položky na jej pridanie do vrátenia."
"Find your order","Nájsť objednávku"
"Enter the details you used during checkout to start a return or withdrawal.","Zadajte údaje, ktoré ste použili pri platbe, na začatie vrátenia alebo odstúpenia od zmluvy."
"We could not find an order matching that email. Double-check your order number and email address.","Nenašli sme objednávku zodpovedajúcu tomuto e-mailu. Skontrolujte si číslo objednávky a e-mailovú adresu."
"e.g. 12345","napr. 12345"
"You can find this in your order confirmation email.","Nájdete to v potvrdzovacom e-maile objednávky."
"Email address","E-mailová adresa"
"you@example.com","you@example.com"
"Must match the email used for the order.","Musí sa zhodovať s e-mailom použitým pri objednávke."
"Find my order","Nájsť moju objednávku"
"You have the right to withdraw from your purchase within %1 days of receiving your order, without giving any reason.","Máte právo odstúpiť od nákupu do %1 dní od prevzatia objednávky bez uvedenia dôvodu."
"Need help finding your order?","Potrebujete pomoc s nájdením objednávky?"
"Select an order","Vyberte objednávku"
"Choose an order from your history to start a return or withdrawal.","Vyberte objednávku z histórie a začnite vrátenie alebo odstúpenie od zmluvy."
"You don't have any orders eligible for withdrawal. The %1-day withdrawal window runs from the day you received your order.","Nemáte žiadne objednávky spĺňajúce podmienky na odstúpenie. %1-dňová lehota na odstúpenie plynie odo dňa prevzatia objednávky."
"View all my orders","Zobraziť všetky moje objednávky"
"items","položiek"
"Select order","Vybrať objednávku"
"No recent withdrawal","Žiadne nedávne odstúpenie"
"We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email.","V tejto relácii sme nenašli žiadne nedávne odstúpenie. Ak ste práve nejaké podali, skontrolujte si, prosím, doručenú poštu pre potvrdzovací e-mail."
"Start a new withdrawal","Začať nové odstúpenie"
"Withdrawal #%1 submitted","Odstúpenie #%1 odoslané"
"Related order:","Súvisiaca objednávka:"
"Items","Položky"
"Items included in this withdrawal","Položky zahrnuté v tomto odstúpení"
"Line Total","Spolu za položku"
"What happens next","Čo nasleduje"
"You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes.","Do niekoľkých minút dostanete e-mail s potvrdením, ktorý bude obsahovať úplné vyhlásenie o odstúpení a kontrolný hash."
"The %1-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","%1-dňová lehota podľa čl. 9 smernice CRD je viazaná na okamih, kedy ste potvrdili odstúpenie — na zachovanie tohto práva sa od vás nevyžaduje nič ďalšie."
"The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt.","Konečná suma refundácie sa určuje po prijatí vrátených položiek (čl. 14 ods. 2) a vypláca sa na pôvodný spôsob platby. Prostriedky očakávajte do 14 dní od prijatia."
"Back to Withdrawals","Späť na odstúpenia"
"Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id","Potvrdenie súhlasu s digitálnym obsahom — Objednávka %increment_id"
"Sehr geehrte/r %name,","Vážený/á %name,"
"Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL).","Toto je potvrdenie na trvanlivom nosiči o vašom výslovnom súhlase so začatím plnenia nasledujúceho digitálneho obsahu, ako aj o vašom potvrdení, že tým strácate právo na odstúpenie od zmluvy (čl. 16 písm. m) smernice o právach spotrebiteľov)."
"Durch den Verzicht abgedeckte digitale Inhalte","Digitálny obsah, na ktorý sa vzťahuje tento súhlas"
"Ihre ausdrückliche Einwilligung","Váš výslovný súhlas"
"Eingewilligt am:","Súhlas udelený dňa:"
"Ihre Bestätigung zum Verlust des Widerrufsrechts","Vaše potvrdenie o strate práva na odstúpenie"
"Bestätigt am:","Potvrdené dňa:"
"Verzichtsreferenz:","Referencia súhlasu:"
"Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU.","Právny základ: čl. 16 písm. m) smernice 2011/83/EÚ o právach spotrebiteľov."
"Digital content waiver confirmation — Order %1","Potvrdenie súhlasu s digitálnym obsahom — Objednávka %1"
"Dear %name,","Vážený/á %name,"
"This is the durable-medium confirmation of your express consent to begin performance of the following digital items, and your acknowledgment that by doing so you lose your right of withdrawal (Art. 16(m) CRD).","Toto je potvrdenie na trvanlivom nosiči o vašom výslovnom súhlase so začatím plnenia nasledujúcich digitálnych položiek a o vašom potvrdení, že tým strácate právo na odstúpenie od zmluvy (čl. 16 písm. m) smernice CRD)."
"Digital items covered by this waiver","Digitálne položky, na ktoré sa vzťahuje tento súhlas"
"Your express consent","Tvoj výslovný súhlas"
"Consented at:","Súhlas udelený dňa:"
"Your acknowledgment of loss of withdrawal right","Tvoje potvrdenie o strate práva na odstúpenie"
"Acknowledged at:","Potvrdené dňa:"
"Waiver reference:","Referencia súhlasu:"
"Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU.","Právny základ: čl. 16 písm. m) smernice 2011/83/EÚ o právach spotrebiteľov."
"Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id","Potvrdenie súhlasu s digitálnym obsahom — Objednávka %increment_id"
"Hyvä %name,","Vážený/á %name,"
"Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16).","Toto je potvrdenie na trvanlivom nosiči o vašom výslovnom súhlase so začatím plnenia nasledujúceho digitálneho obsahu a o vašom potvrdení, že tým strácate právo na odstúpenie od zmluvy (čl. 16 písm. m) smernice 2011/83/EÚ)."
