"View Credit Memo","Ver abono"
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","No hay artículos registrados en esta solicitud de desistimiento — el abono se abrirá con las cantidades de factura predeterminadas; ajústelas manualmente."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Abono precargado para el desistimiento n.º %1 — revise las cantidades y el reembolso de envío a continuación y, después, haga clic en Reembolsar en línea o Reembolsar fuera de línea."
"Some items are no longer eligible. Please reload and try again.","Algunos artículos ya no son elegibles. Recargue la página e inténtelo de nuevo."
"We could not process your request. Please try again.","No hemos podido procesar su solicitud. Inténtelo de nuevo."
"Item","Artículo"
"We could not find a matching order for that email.","No hemos encontrado un pedido que coincida con ese correo electrónico."
"Withdraw from a contract","Desistir del contrato"
"Withdrawal not found.","Desistimiento no encontrado."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","Este desistimiento ya no puede cancelarse en línea. Contáctenos si necesita ayuda."
"Withdrawal #%1 cancelled.","Desistimiento #%1 cancelado."
"Please fill in all required fields.","Rellena todos los campos obligatorios."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","%1 artículo(s) se excluyeron del desistimiento porque el precinto está roto (art. 16, letras e/i, Directiva 2011/83/UE)."
"Please select at least one item to withdraw.","Seleccione al menos un artículo para desistir."
"One or more items are no longer available for withdrawal. Please refresh and try again.","Uno o más artículos ya no están disponibles para desistimiento. Actualice la página e inténtelo de nuevo."
"None of the selected items are eligible for withdrawal.","Ninguno de los artículos seleccionados es elegible para desistimiento."
"Hash mismatch for quote item %1","Hash no coincidente para el artículo del presupuesto %1"
"Requested qty %1 exceeds remaining %2 for order item %3","La cantidad solicitada %1 excede la cantidad restante %2 para el artículo del pedido %3"
"No delivery confirmation recorded for this order yet.","Aún no se ha registrado confirmación de entrega para este pedido."
"No eligible items selected for withdrawal","No se han seleccionado artículos elegibles para desistimiento"
"Physical goods","Bienes físicos"
"Digital content (non-tangible)","Contenido digital (no tangible)"
"Digital service (SaaS / subscription)","Servicio digital (SaaS / suscripción)"
"Financial services (not supported)","Servicios financieros (no admitido)"
"Downloadable products","Productos descargables"
"Virtual products","Productos virtuales"
"Bundles containing digital children","Paquetes que contienen elementos digitales"
"Custom attribute flag","Indicador de atributo personalizado"
"locale_inheritance.xml missing at %1","Falta locale_inheritance.xml en %1"
"locale_inheritance.xml unreadable at %1","locale_inheritance.xml ilegible en %1"
"locale_inheritance.xml failed XSD validation: %1","locale_inheritance.xml no superó la validación XSD: %1"
"Original payment method","Método de pago original"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","Este es su recibo en soporte duradero del desistimiento (art. 11 bis, apdo. 4, Directiva 2011/83/UE)."
"This email is a notification about your withdrawal request.","Este correo es una notificación sobre su solicitud de desistimiento."
"5–7 business days","5–7 días hábiles"
"This is a confirmation that your withdrawal request has been recorded.","Esta es una confirmación de que su solicitud de desistimiento ha quedado registrada."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","MageMe EU Withdrawal está instalado pero no activado. Revise la lista de comprobación de cumplimiento y configure el módulo antes de activarlo: <a href=""%1"">Tiendas → Configuración → Extensiones MageMe → Desistimiento UE</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","El estado de confirmación de entrega no está configurado. Defina Tiendas → Configuración → Extensiones MageMe → Desistimiento UE → Plazo de desistimiento → Estados de confirmación de entrega."
"No Annex I source found for locale %1 along chain %2","No se ha encontrado fuente del Anexo I para el idioma %1 en la cadena %2"
"Annex I source for locale %1 is malformed","La fuente del Anexo I para el idioma %1 está mal formada"
"Missing merchant variables for Annex I rendering: %1","Faltan variables del comerciante para la renderización del Anexo I: %1"
"Receipt hash mismatch for request %1","Hash del recibo no coincidente para la solicitud %1"
"Request %1 not found.","Solicitud %1 no encontrada."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","Denegar una solicitud de desistimiento requiere una base legal de al menos 10 caracteres."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","La solicitud de desistimiento no puede transicionar de «%1» a «%2»."
"Request %1 is not in pending_confirm state.","La solicitud %1 no está en estado pending_confirm."
"Withdrawal request #%1 does not exist.","La solicitud de desistimiento n.º %1 no existe."
"No digital items on order %1","No hay artículos digitales en el pedido %1"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","Esta es su copia en soporte duradero de la renuncia que firmó en el momento del pago (art. 11 bis, apdo. 4, Directiva 2011/83/UE)."
"Waived","Renunciado"
"Waiver email render failed: %1","Fallo al renderizar el correo de renuncia: %1"
"Digital content waiver text has changed — please reload checkout.","El texto de la renuncia al contenido digital ha cambiado — recarga el checkout."
"Digital content waiver is incomplete for item %1.","La renuncia al contenido digital está incompleta para el artículo %1."
"bad","incorrecto"
"smtp down","smtp down"
"smtp","smtp"
"down","caído"
"No shipment found for order 42.","No se ha encontrado envío para el pedido 42."
"View","Ver"
"Withdrawal & Customer Information","Información del desistimiento y del cliente"
"Request # %1","Solicitud n.º %1"
"Request Status","Estado de la solicitud"
"Submitted At","Enviada el"
"Confirmed At","Confirmada el"
"Related Order","Pedido relacionado"
"Jurisdiction","Jurisdicción"
"Contract Type","Tipo de contrato"
"Receipt Status","Estado del recibo"
"%1 attempt(s)","%1 intento(s)"
"Receipt Error","Error del recibo"
"Customer Information","Información del cliente"
"Customer Name","Nombre del cliente"
"Email","Correo electrónico"
"Locale","Idioma"
"Items Selected for Withdrawal","Artículos seleccionados para desistimiento"
"Product","Producto"
"Price","Precio"
"Qty","Cant."
"Subtotal","Subtotal"
"Refund","Reembolso"
"Reason","Motivo"
"Eligibility","Elegibilidad"
"No items associated with this request.","No hay artículos asociados a esta solicitud."
"SKU","SKU"
"Ordered","Pedidos"
"Withdrawing","Desistiendo"
"Refund Total","Total a reembolsar"
"Notes for this Request","Notas de esta solicitud"
"Internal notes — visible to admin staff only. Not sent to the customer.","Notas internas — visibles solo para el personal administrativo. No se envían al cliente."
"Comment","Comentario"
"Add internal note (max 2000 chars)","Añadir nota interna (máx. 2000 caracteres)"
"Submit Comment","Enviar comentario"
"No comments added yet.","Aún no se han añadido comentarios."
" by %1"," por %1"
"Refund Totals","Totales de reembolso"
"Items Subtotal","Subtotal de artículos"
"Shipping Refund","Reembolso de envío"
"Total Refund","Reembolso total"
"Changes have been made to this section that have not been saved.","Se han realizado cambios en esta sección que no se han guardado."
"This tab contains invalid data. Please resolve this before saving.","Esta pestaña contiene datos no válidos. Resuélvalo antes de guardar."
"Contact us","Contacto"
"Returns","Devoluciones"
"FAQs","Preguntas frecuentes"
"All rights reserved.","Todos los derechos reservados."
"Returned items","Artículos devueltos"
"No image","Sin imagen"
"Item status","Estado del artículo"
"Withdrawal options for this order","Opciones de desistimiento para este pedido"
"You can return this order until %1.","Puede devolver este pedido hasta el %1."
"(Art. 11a Directive 2011/83/EU)","(art. 11 bis, Directiva 2011/83/UE)"
"Submit a withdrawal request to start the refund process.","Envíe una solicitud de desistimiento para iniciar el reembolso."
"(Art. 9(2)(b) Directive 2011/83/EU)","(art. 9, apdo. 2, letra b, Directiva 2011/83/UE)"
"Start withdrawal","Iniciar desistimiento"
"Your withdrawal requests","Sus solicitudes de desistimiento"
"Submitted %1","Enviada %1"
"Show items","Mostrar artículos"
"Cancel withdrawal","Cancelar desistimiento"
"Qty %1","Cant. %1"
"Receipt details","Detalles del recibo"
"Receipt number","Número de recibo"
"Order number","Número de pedido"
"Confirmed","Confirmada"
"Consumer","Consumidor"
"Refund total","Reembolso total"
"Merchant","Comerciante"
"Legal basis","Base legal"
"SKU %1","SKU %1"
"Shipping refund","Reembolso de envío"
"Tax refund","Reembolso de impuestos"
"Total refund","Reembolso total"
"Digital content — Art. 16(m) notice","Contenido digital — Aviso art. 16(m)"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","Al realizar el pedido aceptaste el inicio de la ejecución del contenido digital antes del fin del plazo de desistimiento y reconociste que, una vez iniciada la ejecución, el derecho de desistimiento deja de aplicarse. Este aviso se muestra a efectos de registro."
"Existing withdrawals for this order","Desistimientos existentes para este pedido"
"You can cancel a withdrawal here until it is approved.","Puede cancelar un desistimiento aquí hasta que sea aprobado."
"Request #%1","Solicitud #%1"
"SKU: %1","SKU: %1"
"Estimated refund: %1 %2","Reembolso estimado: %1 %2"
"Cancel this withdrawal","Cancelar este desistimiento"
"Are you sure? This cannot be undone.","¿Está seguro? Esta acción no se puede deshacer."
"Yes, cancel","Sí, cancelar"
"Keep it","Mantener"
"Select items to return","Seleccionar artículos para devolver"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Elija todos los artículos o solo algunos. Establezca la cantidad de devolución para cada artículo que desee desistir."
"You have 14 days from the day you received your order to withdraw from the contract without giving a reason.","Dispone de 14 días desde el día en que recibió su pedido para desistir del contrato sin necesidad de justificación."
"Back to order search","Volver a la búsqueda de pedidos"
"Cancel","Cancelar"
"Continue to review","Continuar a la revisión"
"Review and confirm","Revisar y confirmar"
"Order #%1","Pedido #%1"
"Placed on %1","Realizado el %1"
"Awaiting delivery","Pendiente de entrega"
"Delivered on %1","Entregado el %1"
"Total","Total"
"Return shipping","Envío de devolución"
"View return policy","Ver política de devoluciones"
"Refund method","Método de reembolso"
"Refund will be issued to your original payment method.","El reembolso se realizará a su método de pago original."
"Return summary","Resumen de devolución"
"Shipping & Handling","Envío y manipulación"
"Tax","Impuestos"
"Back to items","Volver a los artículos"
"Submit return request","Enviar solicitud de devolución"
"Your return request has been submitted!","¡Su solicitud de devolución ha sido enviada!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","Le hemos enviado un correo con los detalles de su devolución y una etiqueta de devolución prepagada (si procede). Dispone de 14 días desde la fecha de entrega para devolvernos sus artículos."
"Return request number","Número de solicitud de devolución"
"Copy request number","Copiar número de solicitud"
"Copied!","¡Copiado!"
"Confirmation email sent","Correo de confirmación enviado"
"We've sent the details to","Hemos enviado los detalles a"
"What happens next?","¿Qué sucede ahora?"
"Pack your items securely","Empaquete sus artículos con cuidado"
"Send them back using the provided instructions","Envíelos según las instrucciones proporcionadas"
"We'll inspect your return","Inspeccionaremos su devolución"
"Your refund will be issued to your original payment method","Su reembolso se efectuará a su método de pago original"
"Need more help?","¿Necesita más ayuda?"
"View my returns","Ver mis devoluciones"
"Contact support","Contactar con soporte"
"Purchased","Comprados"
"Returned","Devueltos"
"Decrease quantity","Reducir cantidad"
"Increase quantity","Aumentar cantidad"
"Is the hygiene seal still intact?","¿El precinto de higiene sigue intacto?"
"Is the original software / media seal still intact?","¿El precinto original de software/medios sigue intacto?"
"Yes — it's still sealed","Sí — sigue precintado"
"Refund possible — return the unopened package.","Reembolso posible — devuelva el paquete sin abrir."
"No — I've opened it","No — lo he abierto"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Este artículo no puede devolverse (art. 16, letra e, Directiva 2011/83/UE)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Este artículo no puede devolverse (art. 16, letra i, Directiva 2011/83/UE)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Una vez que confirme que el precinto está roto, este artículo se excluye de la solicitud de desistimiento y la cantidad se restablecerá a cero."
"Reason for return (optional)","Motivo de la devolución (opcional)"
"Tell us more (optional, max 500 chars)","Cuéntenos más (opcional, máx. 500 caracteres)"
"Already returned.","Ya devuelto."
"awaiting admin review","pendiente de revisión administrativa"
"awaiting confirmation","pendiente de confirmación"
"Request %1 %2 (%3 item%4).","Solicitud %1 %2 (%3 artículo%4)."
"Return request awaiting review.","Solicitud de devolución pendiente de revisión."
"Cancel request","Cancelar solicitud"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","Conforme a la legislación de consumo de la UE, puede desistir de la mayoría de los contratos en un plazo de 14 días sin necesidad de justificación."
"Read your full pre-contract rights (Art. 6)","Lea sus derechos precontractuales completos (Art. 6)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","Conforme al art. 6 de la Directiva 2011/83/UE (modificada por la Directiva (UE) 2023/2673), antes de realizar este pedido el vendedor le informó — o puso a su disposición — la siguiente información:"
"The main characteristics of the goods or services.","Las características principales de los bienes o servicios."
"The identity and contact details of the trader.","La identidad y los datos de contacto del comerciante."
"The total price including all taxes and any delivery costs.","El precio total, incluidos todos los impuestos y los gastos de envío."
"The arrangements for payment, delivery and performance, and complaint-handling.","Las modalidades de pago, entrega y ejecución, así como la gestión de reclamaciones."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Su derecho de desistimiento: conforme al art. 9, dispone de 14 días para desistir de este contrato a distancia sin necesidad de justificación. Para los bienes físicos, el plazo de 14 días empieza el día en que usted (o un tercero designado por usted) toma posesión física de los bienes. Para los servicios y el contenido digital se aplican fechas de inicio distintas (art. 9, apdo. 2, letras a/c)."
"Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right).","Excepciones: el derecho no se aplica a determinados bienes y servicios enumerados en el art. 16 (por ejemplo, bienes confeccionados a medida, artículos de higiene precintados una vez abiertos, contenido digital cuya ejecución haya comenzado con su consentimiento expreso previo y reconocimiento de la pérdida del derecho de desistimiento)."
"The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal.","La garantía legal de conformidad de los bienes se aplica conforme al art. 5 de la Directiva 2019/771, además del derecho de desistimiento."
"Delivery: %1","Entrega: %1"
"Total paid","Total pagado"
"Pick an order to withdraw from","Elija un pedido del que desistir"
"Select a recent order to start your withdrawal.","Seleccione un pedido reciente para iniciar su desistimiento."
"Select","Seleccionar"
"Withdrawal progress","Progreso de desistimiento"
"title","título"
"subtitle","subtítulo"
"Items to return","Artículos a devolver"
"0 items","0 artículos"
"Refund summary","Resumen del reembolso"
"No items in this order are currently eligible for withdrawal.","Ningún artículo de este pedido es actualmente elegible para desistimiento."
"Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel.","Cada línea está ya en proceso, pendiente de confirmación o ha sido objeto de un desistimiento completo. Consulte la sección de solicitudes existentes anterior para ver el estado o cancelar."
"No items selected yet. Use the + button next to an item to add it to your return.","Aún no se han seleccionado artículos. Use el botón + junto a un artículo para añadirlo a su devolución."
"Find your order","Encuentra tu pedido"
"Enter the details you used during checkout to start a return or withdrawal.","Introduzca los datos utilizados durante el pago para iniciar una devolución o desistimiento."
"We could not find an order matching that email. Double-check your order number and email address.","No hemos encontrado un pedido que coincida con ese correo. Verifique su número de pedido y dirección de correo."
"e.g. 12345","p. ej. 12345"
"You can find this in your order confirmation email.","Puede encontrar esto en el correo de confirmación del pedido."
"Email address","Dirección de correo electrónico"
"you@example.com","you@example.com"
"Must match the email used for the order.","Debe coincidir con el correo utilizado para el pedido."
"Find my order","Encontrar mi pedido"
"You have the right to withdraw from your purchase within 14 days of receiving your order, without giving any reason.","Tiene derecho a desistir de su compra en un plazo de 14 días desde la recepción del pedido, sin necesidad de justificar la decisión."
"Need help finding your order?","¿Necesita ayuda para encontrar su pedido?"
"Select an order","Seleccionar un pedido"
"Choose an order from your history to start a return or withdrawal.","Seleccione un pedido de su historial para iniciar una devolución o desistimiento."
"You don't have any orders eligible for withdrawal. The 14-day withdrawal window runs from the day you received your order.","No tiene pedidos elegibles para desistimiento. El plazo de desistimiento de 14 días empieza el día en que recibió su pedido."
"View all my orders","Ver todos mis pedidos"
"items","artículos"
"Select order","Seleccionar pedido"
"No recent withdrawal","No hay desistimientos recientes"
"We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email.","No hemos encontrado un desistimiento reciente en esta sesión. Si acaba de enviar uno, revise su bandeja de entrada para encontrar el correo de confirmación."
"Start a new withdrawal","Iniciar un nuevo desistimiento"
"Withdrawal #%1 submitted","Desistimiento #%1 enviado"
"Related order:","Pedido relacionado:"
"Items","Artículos"
"Items included in this withdrawal","Artículos incluidos en este desistimiento"
"Line Total","Total de línea"
"What happens next","Pasos siguientes"
"You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes.","Recibirá un correo de recibo con la declaración completa de desistimiento y el hash de integridad en unos minutos."
"The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","El plazo de 14 días conforme al art. 9 DDC queda fijado en el momento en que usted confirmó el desistimiento — no se requiere nada más por su parte para preservar el derecho."
"The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt.","El reembolso definitivo se determina tras la recepción de los artículos devueltos (art. 14, apdo. 2) y se emite al método de pago original. Recibirá los fondos en un plazo de 14 días desde la recepción."
"Back to Withdrawals","Volver a desistimientos"
"Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id","Confirmación de renuncia al contenido digital — Pedido %increment_id"
"Sehr geehrte/r %name,","Estimado/a %name,"
"Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL).","Esta es la confirmación en soporte duradero de su consentimiento expreso para el inicio de la ejecución del siguiente contenido digital, así como de su reconocimiento de que, por ello, pierde su derecho de desistimiento (art. 16, letra m, Directiva sobre los derechos de los consumidores)."
"Durch den Verzicht abgedeckte digitale Inhalte","Contenido digital incluido en la renuncia"
"Ihre ausdrückliche Einwilligung","Su consentimiento expreso"
"Eingewilligt am:","Consentido el:"
"Ihre Bestätigung zum Verlust des Widerrufsrechts","Su reconocimiento de la pérdida del derecho de desistimiento"
"Bestätigt am:","Confirmado el:"
"Verzichtsreferenz:","Referencia de la renuncia:"
"Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU.","Base legal: art. 16, letra m, de la Directiva sobre los derechos de los consumidores 2011/83/UE."
"Digital content waiver confirmation — Order %1","Confirmación de renuncia al contenido digital — Pedido %1"
"Dear %name,","Estimado/a %name,"
"This is the durable-medium confirmation of your express consent to begin performance of the following digital items, and your acknowledgment that by doing so you lose your right of withdrawal (Art. 16(m) CRD).","Esta es la confirmación en soporte duradero de su consentimiento expreso para el inicio de la ejecución de los siguientes artículos digitales, así como de su reconocimiento de que, al hacerlo, pierde su derecho de desistimiento (art. 16, letra m, DDC)."
"Digital items covered by this waiver","Artículos digitales incluidos en esta renuncia"
"Your express consent","Su consentimiento expreso"
"Consented at:","Consentido el:"
"Your acknowledgment of loss of withdrawal right","Su reconocimiento de la pérdida del derecho de desistimiento"
"Acknowledged at:","Reconocido el:"
"Waiver reference:","Referencia de la renuncia:"
"Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU.","Base legal: art. 16(m) de la Directiva 2011/83/UE sobre los derechos de los consumidores."
"Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id","Confirmación de renuncia al contenido digital — Pedido %increment_id"
"Hyvä %name,","Estimado/a %name,"
"Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16).","Esta es la confirmación en soporte duradero de su consentimiento expreso para el inicio de la entrega del siguiente contenido digital, así como de su reconocimiento de que pierde su derecho de desistimiento (Ley finlandesa de protección del consumidor, cap. 6, art. 16)."
"Luopumisen kattamat digitaaliset sisällöt","Contenido digital incluido en la renuncia"
"Nimenomainen suostumuksesi","Su consentimiento expreso"
"Suostuttu:","Consentido el:"
"Vahvistuksesi peruuttamisoikeuden menettämisestä","Su reconocimiento de la pérdida del derecho de desistimiento"
"Vahvistettu:","Confirmado el:"
"Luopumisen viite:","Referencia de la renuncia:"
"Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU.","Base legal: Ley finlandesa de protección del consumidor, cap. 6, art. 16 / art. 16, letra m, de la Directiva sobre los derechos de los consumidores 2011/83/UE."
"Confirmation de renonciation au contenu numérique — Commande %increment_id","Confirmación de renuncia al contenido digital — Pedido %increment_id"
"Cher/Chère %name,","Estimado/a %name,"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","Esta es la confirmación en soporte duradero de su consentimiento expreso para el inicio de la ejecución del siguiente contenido digital, así como de su reconocimiento de que, por ello, pierde su derecho de desistimiento (art. L. 221-28 del Código de Consumo francés)."
"Contenus numériques couverts par la présente renonciation","Contenido digital incluido en la presente renuncia"
"Votre consentement exprès","Su consentimiento expreso"
"Consenti le :","Consentido el:"
"Votre reconnaissance de la perte du droit de rétractation","Su reconocimiento de la pérdida del derecho de desistimiento"
"Reconnu le :","Reconocido el:"
"Référence de renonciation :","Referencia de la renuncia:"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Base legal: art. L. 221-28 del Código de Consumo francés / art. 16, letra m, Directiva 2011/83/UE."
"Bevestiging afstand digitale inhoud — Bestelling %increment_id","Confirmación de renuncia al contenido digital — Pedido %increment_id"
"Beste %name,","Estimado/a %name,"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","Esta es la confirmación en soporte duradero de su consentimiento expreso para el inicio de la entrega del siguiente contenido digital, así como de su reconocimiento de que, por ello, pierde su derecho de desistimiento (art. 6:230s del Código Civil neerlandés)."
"Onder deze afstand vallende digitale items","Artículos digitales incluidos en esta renuncia"
