"View Credit Memo","Vezi nota de credit"
"Product","Produs"
"Price","Preț"
"Qty","Cant."
"Subtotal","Subtotal"
"Refund","Rambursare"
"Reason","Motiv"
"Eligibility","Eligibilitate"
"No items associated with this request.","Niciun articol asociat acestei cereri."
"SKU","SKU"
"Ordered","Comandate"
"Withdrawing","Se retrag"
"Refund Total","Total rambursare"
"Notes for this Request","Note pentru această cerere"
"Internal notes — visible to admin staff only. Not sent to the customer.","Note interne — vizibile doar pentru personalul administrativ. Nu sunt trimise clientului."
"Comment","Comentariu"
"Add internal note (max 2000 chars)","Adaugă notă internă (maximum 2000 de caractere)"
"Submit Comment","Trimite comentariul"
"No comments added yet.","Nu au fost adăugate încă comentarii."
" by %1"," de %1"
"Refund Totals","Totaluri rambursare"
"Items Subtotal","Subtotal articole"
"Shipping Refund","Rambursare transport"
"Total Refund","Rambursare totală"
"Changes have been made to this section that have not been saved.","În această secțiune au fost efectuate modificări care nu au fost salvate."
"This tab contains invalid data. Please resolve this before saving.","Această filă conține date invalide. Vă rugăm să remediați acest lucru înainte de salvare."
"Contact us","Contactați-ne"
"Returns","Returnări"
"FAQs","Întrebări frecvente"
"All rights reserved.","Toate drepturile rezervate."
"Returned items","Articole returnate"
"No image","Fără imagine"
"Item status","Stare articol"
"Withdrawal options for this order","Opțiuni de retragere pentru această comandă"
"You can return this order until %1.","Puteți returna această comandă până la %1."
"(Art. 11a Directive 2011/83/EU)","(art. 11a Directiva 2011/83/UE)"
"Submit a withdrawal request to start the refund process.","Trimiteți o cerere de retragere pentru a începe procesul de rambursare."
"(Art. 9(2)(b) Directive 2011/83/EU)","(art. 9 alin. (2) lit. b) Directiva 2011/83/UE)"
"Start withdrawal","Începe retragerea"
"Your withdrawal requests","Cererile dvs. de retragere"
"Submitted %1","Trimis %1"
"Show items","Afișează articolele"
"Cancel withdrawal","Anulează retragerea"
"Qty %1","Cant. %1"
"Receipt details","Detaliile confirmării"
"Receipt number","Număr chitanță"
"Order number","Număr comandă"
"Confirmed","Confirmat"
"Consumer","Consumator"
"Refund total","Total rambursare"
"Merchant","Comerciant"
"Legal basis","Temei juridic"
"SKU %1","SKU %1"
"Shipping refund","Rambursare transport"
"Tax refund","Rambursare taxă"
"Total refund","Total rambursare"
"Digital content — Art. 16(m) notice","Conținut digital — notificare art. 16 lit. m)"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","Prin plasarea comenzii ați fost de acord să se înceapă executarea conținutului digital înainte de sfârșitul perioadei de retragere și ați luat la cunoștință că, odată ce executarea a început, dreptul de retragere nu se mai aplică. Această notificare este afișată pentru evidența dvs."
"Existing withdrawals for this order","Retrageri existente pentru această comandă"
"You can cancel a withdrawal here until it is approved.","Puteți anula o retragere aici până când este aprobată."
"Request #%1","Cerere #%1"
"SKU: %1","SKU: %1"
"Estimated refund: %1 %2","Rambursare estimată: %1 %2"
"Cancel this withdrawal","Anulează această retragere"
"Are you sure? This cannot be undone.","Sunteți sigur? Această acțiune nu poate fi anulată."
"Yes, cancel","Da, anulează"
"Keep it","Păstrează"
"Select items to return","Selectați articolele de returnat"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Alegeți toate articolele sau doar unele dintre ele. Setați cantitatea de retur pentru fiecare articol pentru care doriți să vă retrageți."
"You have 14 days from the day you received your order to withdraw from the contract without giving a reason.","Aveți la dispoziție 14 zile de la primirea comenzii pentru a vă retrage din contract fără a fi nevoie să motivați decizia."
"Back to order search","Înapoi la căutarea comenzii"
"Cancel","Anulează"
"Continue to review","Continuă la verificare"
"Review and confirm","Verifică și confirmă"
"Order #%1","Comandă #%1"
"Placed on %1","Plasată la %1"
"Awaiting delivery","În așteptarea livrării"
"Delivered on %1","Livrată la %1"
"Total","Total"
"Return shipping","Expediere retur"
"View return policy","Vizualizare politică de retur"
"Refund method","Metodă de rambursare"
"Refund will be issued to your original payment method.","Rambursarea va fi efectuată pe metoda dvs. inițială de plată."
"Return summary","Sumar al returului"
"Shipping & Handling","Transport și manipulare"
"Tax","Taxă"
"Back to items","Înapoi la articole"
"Submit return request","Trimite cererea de retur"
"Your return request has been submitted!","Cererea dvs. de returnare a fost trimisă!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","V-am trimis prin e-mail o notificare cu detaliile returului și o etichetă de retur preplătită (dacă este cazul). Aveți la dispoziție 14 zile de la data livrării pentru a vă trimite articolele înapoi."
"Return request number","Număr cerere de returnare"
"Copy request number","Copiază numărul cererii"
"Copied!","Copiat!"
"Confirmation email sent","E-mail de confirmare trimis"
"We've sent the details to","Am trimis detaliile la"
"What happens next?","Ce urmează?"
"Pack your items securely","Ambalați-vă articolele în siguranță"
"Send them back using the provided instructions","Trimiteți-le înapoi folosind instrucțiunile furnizate"
"We'll inspect your return","Vom verifica returul dvs."
"Your refund will be issued to your original payment method","Rambursarea va fi efectuată către metoda dvs. inițială de plată"
"Need more help?","Aveți nevoie de mai mult ajutor?"
"View my returns","Vezi returnările mele"
"Contact support","Contactează asistența"
"Purchased","Cumpărate"
"Returned","Returnate"
"Decrease quantity","Scădere cantitate"
"Increase quantity","Creștere cantitate"
"Is the hygiene seal still intact?","Sigiliul de igienă este încă intact?"
"Is the original software / media seal still intact?","Sigiliul original al software-ului / mediului de stocare este încă intact?"
"Yes — it's still sealed","Da — este încă sigilat"
"Refund possible — return the unopened package.","Rambursare posibilă — returnați coletul nedeschis."
"No — I've opened it","Nu — l-am deschis"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Acest articol nu poate fi returnat (art. 16 lit. e) Directiva 2011/83/UE)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Acest articol nu poate fi returnat (art. 16 lit. i) Directiva 2011/83/UE)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Odată ce confirmați că sigiliul este rupt, acest articol este exclus din cererea de retragere și cantitatea va fi resetată la zero."
"Reason for return (optional)","Motiv returnare (opțional)"
"Tell us more (optional, max 500 chars)","Spuneți-ne mai multe (opțional, maximum 500 de caractere)"
"Already returned.","Deja returnat."
"awaiting admin review","în așteptarea verificării de către administrator"
"awaiting confirmation","în așteptarea confirmării"
"Request %1 %2 (%3 item%4).","Cererea %1 %2 (%3 articol%4)."
"Return request awaiting review.","Cerere de retur în așteptarea verificării."
"Cancel request","Anulează cererea"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","În conformitate cu legislația UE privind protecția consumatorilor, vă puteți retrage din majoritatea contractelor în termen de 14 zile fără a fi nevoie să motivați."
"Read your full pre-contract rights (Art. 6)","Citiți toate drepturile dvs. precontractuale (art. 6)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","În conformitate cu art. 6 din Directiva 2011/83/UE (astfel cum a fost modificată prin Directiva (UE) 2023/2673), înainte de plasarea acestei comenzi, vânzătorul v-a informat sau v-a pus la dispoziție următoarele informații:"
"The main characteristics of the goods or services.","Principalele caracteristici ale bunurilor sau serviciilor."
"The identity and contact details of the trader.","Identitatea și datele de contact ale comerciantului."
"The total price including all taxes and any delivery costs.","Prețul total, incluzând toate taxele și eventualele costuri de livrare."
"The arrangements for payment, delivery and performance, and complaint-handling.","Modalitățile de plată, livrare și executare, precum și de soluționare a reclamațiilor."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Dreptul dvs. de retragere: în conformitate cu art. 9, aveți la dispoziție 14 zile pentru a vă retrage din acest contract la distanță, fără a fi nevoie să motivați. Pentru bunurile fizice, termenul de 14 zile începe să curgă din ziua în care dvs. (sau un terț desemnat de dvs.) intrați în posesia fizică a bunurilor. Pentru servicii și conținut digital, se aplică alte date de începere (art. 9 alin. (2) lit. a)/c))."
"Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right).","Excepții: dreptul nu se aplică anumitor bunuri și servicii enumerate la art. 16 (de exemplu, bunuri realizate la comandă, articole de igienă sigilate odată desigilate, conținut digital a cărui executare a început cu consimțământul dvs. expres prealabil și recunoașterea pierderii dreptului de retragere)."
"The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal.","Garanția legală de conformitate pentru bunuri se aplică în conformitate cu art. 5 din Directiva 2019/771, în plus față de dreptul de retragere."
"Delivery: %1","Livrare: %1"
"Total paid","Total plătit"
"Pick an order to withdraw from","Alegeți o comandă din care să vă retrageți"
"Select a recent order to start your withdrawal.","Selectați o comandă recentă pentru a începe retragerea."
"Select","Selectează"
"Withdrawal progress","Progres retragere"
"title","titlu"
"subtitle","subtitlu"
"Items to return","Articole de returnat"
"0 items","0 articole"
"Refund summary","Sumar al rambursării"
"No items in this order are currently eligible for withdrawal.","Niciun articol din această comandă nu este în prezent eligibil pentru retragere."
"Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel.","Fiecare linie este fie deja în curs de procesare, fie în așteptarea confirmării, fie a fost retrasă integral. Verificați secțiunea de cereri existente de mai sus pentru stare sau pentru anulare."
"No items selected yet. Use the + button next to an item to add it to your return.","Niciun articol selectat încă. Folosiți butonul + de lângă un articol pentru a-l adăuga la retur."
"Find your order","Găsiți comanda"
"Enter the details you used during checkout to start a return or withdrawal.","Introduceți datele folosite la finalizarea comenzii pentru a începe un retur sau o retragere."
"We could not find an order matching that email. Double-check your order number and email address.","Nu am găsit nicio comandă care să corespundă acelui e-mail. Verificați din nou numărul comenzii și adresa de e-mail."
"e.g. 12345","ex.: 12345"
"You can find this in your order confirmation email.","Puteți găsi acest lucru în e-mailul de confirmare a comenzii."
"Email address","Adresă de e-mail"
"you@example.com","you@example.com"
"Must match the email used for the order.","Trebuie să se potrivească cu e-mailul folosit pentru comandă."
"Find my order","Găsește comanda mea"
"You have the right to withdraw from your purchase within 14 days of receiving your order, without giving any reason.","Aveți dreptul să vă retrageți din achiziție în termen de 14 zile de la primirea comenzii, fără a fi nevoie să motivați decizia."
"Need help finding your order?","Aveți nevoie de ajutor pentru a găsi comanda?"
"Select an order","Selectați o comandă"
"Choose an order from your history to start a return or withdrawal.","Alegeți o comandă din istoric pentru a începe returul sau retragerea."
"You don't have any orders eligible for withdrawal. The 14-day withdrawal window runs from the day you received your order.","Nu aveți nicio comandă eligibilă pentru retragere. Termenul de retragere de 14 zile începe din ziua în care ați primit comanda."
"View all my orders","Vezi toate comenzile mele"
"items","articole"
"Select order","Selectează comanda"
"No recent withdrawal","Nicio retragere recentă"
"We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email.","Nu am găsit nicio retragere recentă în această sesiune. Dacă tocmai ați trimis una, vă rugăm să verificați căsuța dvs. de e-mail pentru e-mailul de confirmare."
"Start a new withdrawal","Începe o nouă retragere"
"Withdrawal #%1 submitted","Retragere #%1 trimisă"
"Related order:","Comandă asociată:"
"Items","Articole"
"Items included in this withdrawal","Articole incluse în această retragere"
"Line Total","Total linie"
"What happens next","Ce urmează"
"You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes.","Veți primi un e-mail de confirmare cu declarația completă de retragere și hash-ul de integritate în câteva minute."
"The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","Termenul de 14 zile prevăzut la art. 9 din Directiva 2011/83/UE este blocat la momentul în care ați confirmat retragerea — nu vi se mai cere nimic pentru a vă păstra acest drept."
"The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt.","Rambursarea finală se stabilește după primirea articolelor returnate (art. 14 alin. (2)) și se efectuează către metoda inițială de plată. Așteptați ca fondurile să sosească în termen de 14 zile de la primire."
"Back to Withdrawals","Înapoi la retrageri"
"Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id","Confirmare a renunțării la conținut digital — Comanda %increment_id"
"Sehr geehrte/r %name,","Stimate/Stimată %name,"
"Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL).","Aceasta este confirmarea pe suport durabil a consimțământului dvs. expres pentru începerea executării următoarelor conținuturi digitale, precum și a confirmării dvs. că, prin aceasta, vă pierdeți dreptul de retragere (art. 16 lit. m) Directiva 2011/83/UE)."
"Durch den Verzicht abgedeckte digitale Inhalte","Conținuturi digitale acoperite de această renunțare"
"Ihre ausdrückliche Einwilligung","Consimțământul dvs. expres"
"Eingewilligt am:","Consimțit la:"
"Ihre Bestätigung zum Verlust des Widerrufsrechts","Confirmarea dvs. privind pierderea dreptului de retragere"
"Bestätigt am:","Confirmat la:"
"Verzichtsreferenz:","Referință renunțare:"
"Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU.","Temei juridic: art. 16 lit. m) Directiva 2011/83/UE privind drepturile consumatorilor."
"Digital content waiver confirmation — Order %1","Confirmare a consimțământului pentru conținut digital — Comanda %1"
"Dear %name,","Stimate/Stimată %name,"
"This is the durable-medium confirmation of your express consent to begin performance of the following digital items, and your acknowledgment that by doing so you lose your right of withdrawal (Art. 16(m) CRD).","Aceasta este confirmarea pe suport durabil a consimțământului dvs. expres pentru începerea executării următoarelor articole digitale, precum și a recunoașterii dvs. că, prin aceasta, vă pierdeți dreptul de retragere (art. 16 lit. m) Directiva 2011/83/UE)."
"Digital items covered by this waiver","Articole digitale acoperite de acest consimțământ"
"Your express consent","Consimțământul tău expres"
"Consented at:","Consimțit la:"
"Your acknowledgment of loss of withdrawal right","Confirmarea ta privind pierderea dreptului de retragere"
"Acknowledged at:","Confirmat la:"
"Waiver reference:","Referință consimțământ:"
"Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU.","Temei juridic: art. 16 lit. (m) din Directiva 2011/83/UE privind drepturile consumatorilor."
"Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id","Confirmare a renunțării la conținut digital — Comanda %increment_id"
"Hyvä %name,","Stimate/Stimată %name,"
"Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16).","Aceasta este confirmarea pe suport durabil a consimțământului dvs. expres pentru începerea livrării următoarelor conținuturi digitale, precum și a confirmării dvs. că vă pierdeți dreptul de retragere (Cap. 6 § 16 din Codul finlandez al consumatorilor)."
"Luopumisen kattamat digitaaliset sisällöt","Conținuturi digitale acoperite de renunțare"
"Nimenomainen suostumuksesi","Consimțământul dvs. expres"
"Suostuttu:","Consimțit:"
"Vahvistuksesi peruuttamisoikeuden menettämisestä","Confirmarea dvs. privind pierderea dreptului de retragere"
"Vahvistettu:","Confirmat:"
"Luopumisen viite:","Referință renunțare:"
"Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU.","Temei juridic: Cap. 6 § 16 din Codul finlandez al consumatorilor / art. 16 lit. m) Directiva 2011/83/UE privind drepturile consumatorilor."
"Confirmation de renonciation au contenu numérique — Commande %increment_id","Confirmare a renunțării la conținut digital — Comanda %increment_id"
"Cher/Chère %name,","Stimate/Stimată %name,"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","Aceasta este confirmarea pe suport durabil a consimțământului dvs. expres pentru începerea executării următoarelor conținuturi digitale, precum și a recunoașterii dvs. că, prin aceasta, vă pierdeți dreptul de retragere (art. L. 221-28 Codul consumatorului francez)."
"Contenus numériques couverts par la présente renonciation","Conținuturi digitale acoperite de prezenta renunțare"
"Votre consentement exprès","Consimțământul dvs. expres"
"Consenti le :","Consimțit la:"
"Votre reconnaissance de la perte du droit de rétractation","Recunoașterea dvs. privind pierderea dreptului de retragere"
"Reconnu le :","Recunoscut la:"
