"View Credit Memo","Jóváírási értesítő megtekintése"
"Requested qty %1 exceeds remaining %2 for order item %3","A kért %1 mennyiség meghaladja a fennmaradó %2 mennyiséget a(z) %3 rendelési tételnél"
"No delivery confirmation recorded for this order yet.","Ehhez a rendeléshez még nincs rögzített kézbesítési visszaigazolás."
"No eligible items selected for withdrawal","Nincs kiválasztva elállásra jogosult tétel"
"Physical goods","Fizikai termékek"
"Digital content (non-tangible)","Digitális tartalom (nem tárgyiasult)"
"Digital service (SaaS / subscription)","Digitális szolgáltatás (SaaS / előfizetés)"
"Financial services (not supported)","Pénzügyi szolgáltatások (nem támogatott)"
"Downloadable products","Letölthető termékek"
"Virtual products","Virtuális termékek"
"Bundles containing digital children","Digitális altételeket tartalmazó csomagok"
"Custom attribute flag","Egyéni attribútum jelző"
"locale_inheritance.xml missing at %1","locale_inheritance.xml hiányzik itt: %1"
"locale_inheritance.xml unreadable at %1","locale_inheritance.xml nem olvasható itt: %1"
"locale_inheritance.xml failed XSD validation: %1","locale_inheritance.xml XSD validáció sikertelen: %1"
"Original payment method","Eredeti fizetési mód"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","Ez az Ön tartós adathordozón rögzített nyugtája az elállásról (11a(4) cikk 2011/83/EU irányelv)."
"This email is a notification about your withdrawal request.","Ez az e-mail értesítés az elállási kérelméről."
"5–7 business days","5–7 munkanap"
"This is a confirmation that your withdrawal request has been recorded.","Ez egy visszaigazolás arról, hogy az elállási kérelmét rögzítettük."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","A MageMe EU Withdrawal telepítve van, de nincs engedélyezve. Tekintse át a megfelelőségi ellenőrző listát, és konfigurálja a modult az engedélyezés előtt: <a href=""%1"">Áruházak → Konfiguráció → MageMe bővítmények → EU elállás</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","A kézbesítés-visszaigazolási státusz nincs konfigurálva. Állítsa be: Áruházak → Konfiguráció → MageMe bővítmények → EU elállás → Elállási időszak → Kézbesítés-visszaigazolási státuszok."
"No Annex I source found for locale %1 along chain %2","Nem található I. melléklet forrás a(z) %1 területi beállításhoz a(z) %2 láncon"
"Annex I source for locale %1 is malformed","A(z) %1 területi beállítás I. melléklet forrása hibás formátumú"
"Missing merchant variables for Annex I rendering: %1","Hiányzó kereskedői változók az I. melléklet megjelenítéséhez: %1"
"Receipt hash mismatch for request %1","Nyugta hash-eltérés a(z) %1 kérelemnél"
"Request %1 not found.","A(z) %1 kérelem nem található."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","Az elállási kérelem elutasításához legalább 10 karakter hosszú jogalap szükséges."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","Az elállási kérelem nem mehet át a következő állapotból „%1” a következőbe „%2”."
"Request %1 is not in pending_confirm state.","A(z) %1 kérelem nincs pending_confirm állapotban."
"Withdrawal request #%1 does not exist.","A(z) #%1 elállási kérelem nem létezik."
"No digital items on order %1","Nincsenek digitális tételek a(z) %1 rendelésen"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","Ez a pénztárnál aláírt hozzájárulásának tartós adathordozón rögzített példánya (11a(4) cikk 2011/83/EU irányelv)."
"Waived","Lemondva"
"Waiver email render failed: %1","Hozzájárulási e-mail megjelenítése sikertelen: %1"
"Digital content waiver text has changed — please reload checkout.","A digitális tartalomra vonatkozó hozzájárulási szöveg megváltozott — kérjük, töltse újra a pénztárt."
"Digital content waiver is incomplete for item %1.","A digitális tartalomra vonatkozó hozzájárulás hiányos a(z) %1 tételnél."
"bad","hibás"
"smtp down","smtp down"
"smtp","smtp"
"down","leállt"
"No shipment found for order 42.","Nem található szállítmány a 42-es rendeléshez."
"View","Megtekintés"
"Withdrawal & Customer Information","Elállási és vásárlói adatok"
"Request # %1","Kérelem # %1"
"Request Status","Kérelem állapota"
"Submitted At","Beküldve"
"Confirmed At","Megerősítve"
"Related Order","Kapcsolódó rendelés"
"Jurisdiction","Joghatóság"
"Contract Type","Szerződés típusa"
"Receipt Status","Nyugta állapota"
"%1 attempt(s)","%1 próbálkozás"
"Receipt Error","Nyugta hiba"
"Customer Information","Vevő adatai"
"Customer Name","Vevő neve"
"Email","E-mail"
"Locale","Nyelv"
"Items Selected for Withdrawal","Elállásra kiválasztott tételek"
"Product","Termék"
"Price","Ár"
"Qty","Menny."
"Subtotal","Részösszeg"
"Refund","Visszatérítés"
"Reason","Indok"
"Eligibility","Jogosultság"
"No items associated with this request.","Nincsenek tételek ehhez a kérelemhez társítva."
"SKU","Cikkszám"
"Ordered","Megrendelve"
"Withdrawing","Visszavonás alatt"
"Refund Total","Visszatérítés összesen"
"Notes for this Request","Jegyzetek ehhez a kérelemhez"
"Internal notes — visible to admin staff only. Not sent to the customer.","Belső jegyzetek — csak az adminisztrátori munkatársak számára láthatók. Nem kerülnek elküldésre a vásárlónak."
"Comment","Megjegyzés"
"Add internal note (max 2000 chars)","Belső jegyzet hozzáadása (max. 2000 karakter)"
"Submit Comment","Megjegyzés beküldése"
"No comments added yet.","Még nincsenek hozzáadott megjegyzések."
" by %1"," %1 által"
"Refund Totals","Visszatérítés összegei"
"Items Subtotal","Tételek részösszege"
"Shipping Refund","Szállítási díj visszatérítése"
"Total Refund","Visszatérítés összesen"
"Changes have been made to this section that have not been saved.","Ezen a szakaszon mentetlen módosítások történtek."
"This tab contains invalid data. Please resolve this before saving.","Ez a fül érvénytelen adatokat tartalmaz. Mentés előtt oldja meg ezt."
"Contact us","Kapcsolat"
"Returns","Visszaküldések"
"FAQs","Gyakran ismételt kérdések"
"All rights reserved.","Minden jog fenntartva."
"Returned items","Visszaküldött tételek"
"No image","Nincs kép"
"Item status","Tétel állapota"
"Withdrawal options for this order","Elállási lehetőségek ehhez a rendeléshez"
"You can return this order until %1.","Ezt a rendelést %1 időpontig küldheti vissza."
"(Art. 11a Directive 2011/83/EU)","(11a. cikk 2011/83/EU irányelv)"
"Submit a withdrawal request to start the refund process.","Nyújtson be elállási kérelmet a visszatérítési folyamat elindításához."
"(Art. 9(2)(b) Directive 2011/83/EU)","(9(2)(b) cikk 2011/83/EU irányelv)"
"Start withdrawal","Elállás megkezdése"
"Your withdrawal requests","Az Ön elállási kérelmei"
"Submitted %1","Beküldve: %1"
"Show items","Tételek megjelenítése"
"Cancel withdrawal","Elállás visszavonása"
"Qty %1","Mennyiség %1"
"Receipt details","Nyugta részletei"
"Receipt number","Nyugta száma"
"Order number","Rendelésszám"
"Confirmed","Megerősítve"
"Consumer","Fogyasztó"
"Refund total","Visszatérítés végösszege"
"Merchant","Kereskedő"
"Legal basis","Jogalap"
"SKU %1","Cikkszám %1"
"Shipping refund","Szállítási díj visszatérítés"
"Tax refund","Adó visszatérítés"
"Total refund","Teljes visszatérítés"
"Digital content — Art. 16(m) notice","Digitális tartalom — 16(m) cikk tájékoztató"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","A megrendelés leadásával hozzájárult a digitális tartalom teljesítésének az elállási időszak vége előtti megkezdéséhez, és tudomásul vette, hogy a teljesítés megkezdését követően az elállási jog már nem érvényesül. Ezt a tájékoztatást saját nyilvántartásához mutatjuk."
"Existing withdrawals for this order","Meglévő elállások ehhez a rendeléshez"
"You can cancel a withdrawal here until it is approved.","Az elállást itt visszavonhatja, amíg nem hagyják jóvá."
"Request #%1","Kérelem #%1"
"SKU: %1","Cikkszám: %1"
"Estimated refund: %1 %2","Becsült visszatérítés: %1 %2"
"Cancel this withdrawal","Az elállás visszavonása"
"Are you sure? This cannot be undone.","Biztos benne? A művelet nem visszavonható."
"Yes, cancel","Igen, vissza"
"Keep it","Megtartás"
"Select items to return","Válassza ki a visszaküldendő tételeket"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Válassza ki az összes vagy csak néhány tételt. Állítsa be a visszaküldési mennyiséget minden tételhez, amelytől el szeretne állni."
"You have 14 days from the day you received your order to withdraw from the contract without giving a reason.","A megrendelés átvételétől számított 14 napon belül indoklás nélkül elállhat a szerződéstől."
"Back to order search","Vissza a rendelés kereséshez"
"Cancel","Mégse"
"Continue to review","Tovább az áttekintéshez"
"Review and confirm","Áttekintés és megerősítés"
"Order #%1","Rendelés #%1"
"Placed on %1","Leadva: %1"
"Awaiting delivery","Kézbesítésre vár"
"Delivered on %1","Kézbesítve: %1"
"Total","Összesen"
"Return shipping","Visszaküldési szállítás"
"View return policy","Visszaküldési feltételek"
"Refund method","Visszatérítés módja"
"Refund will be issued to your original payment method.","A visszatérítés az eredeti fizetési módra történik."
"Return summary","Visszaküldés összefoglalója"
"Shipping & Handling","Szállítás és kezelés"
"Tax","Adó"
"Back to items","Vissza a tételekhez"
"Submit return request","Visszaküldési kérelem elküldése"
"Your return request has been submitted!","Visszaküldési kérelmét beküldtük!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","E-mailben elküldtük Önnek a visszaküldési részleteket és (ha alkalmazandó) az előre kifizetett visszaküldési címkét. A kézbesítés napjától számítva 14 napja van a tételek visszaküldésére."
"Return request number","Visszaküldési kérelem száma"
"Copy request number","Kérelem számának másolása"
"Copied!","Másolva!"
"Confirmation email sent","Megerősítő e-mail elküldve"
"We've sent the details to","A részleteket elküldtük ide:"
"What happens next?","Mi történik ezután?"
"Pack your items securely","Csomagolja be a tételeit biztonságosan"
"Send them back using the provided instructions","Küldje vissza őket a megadott utasítások szerint"
"We'll inspect your return","Ellenőrizzük a visszaküldését"
"Your refund will be issued to your original payment method","A visszatérítés az eredeti fizetési módjára kerül kiállításra"
"Need more help?","További segítségre van szüksége?"
"View my returns","Visszaküldéseim megtekintése"
"Contact support","Ügyfélszolgálat elérése"
"Purchased","Vásárolt"
"Returned","Visszaküldött"
"Decrease quantity","Mennyiség csökkentése"
"Increase quantity","Mennyiség növelése"
"Is the hygiene seal still intact?","Még sértetlen a higiéniai pecsét?"
"Is the original software / media seal still intact?","Még sértetlen az eredeti szoftver / média pecsét?"
"Yes — it's still sealed","Igen — még le van zárva"
"Refund possible — return the unopened package.","Visszatérítés lehetséges — küldje vissza a felbontatlan csomagot."
"No — I've opened it","Nem — már felbontottam"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Ez a tétel nem küldhető vissza (16(e) cikk 2011/83/EU irányelv)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Ez a tétel nem küldhető vissza (16(i) cikk 2011/83/EU irányelv)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Amint megerősíti, hogy a pecsét sérült, ez a tétel kizárásra kerül az elállási kérelemből, és a mennyiség nullára áll vissza."
"Reason for return (optional)","Visszaküldés oka (opcionális)"
"Tell us more (optional, max 500 chars)","Mondjon el többet (opcionális, max. 500 karakter)"
"Already returned.","Már visszaküldve."
"awaiting admin review","adminisztrátori felülvizsgálatra vár"
"awaiting confirmation","megerősítésre vár"
"Request %1 %2 (%3 item%4).","Kérelem %1 %2 (%3 tétel%4)."
"Return request awaiting review.","Visszaküldési kérelem felülvizsgálatra vár."
"Cancel request","Kérelem visszavonása"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","Az EU fogyasztóvédelmi joga alapján a legtöbb szerződéstől 14 napon belül indoklás nélkül elállhat."
"Read your full pre-contract rights (Art. 6)","Olvassa el a teljes szerződéskötés előtti jogait (6. cikk)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","A 2011/83/EU irányelv 6. cikke (az (EU) 2023/2673 irányelvvel módosítva) alapján a rendelés leadása előtt az eladó tájékoztatta Önt — vagy hozzáférhetővé tette — az alábbi információkat:"
"The main characteristics of the goods or services.","A termékek vagy szolgáltatások fő jellemzői."
"The identity and contact details of the trader.","A kereskedő azonosító adatai és elérhetőségei."
"The total price including all taxes and any delivery costs.","A teljes ár az összes adóval és bármilyen kézbesítési költséggel együtt."
"The arrangements for payment, delivery and performance, and complaint-handling.","A fizetés, kézbesítés és teljesítés, valamint a panaszkezelés feltételei."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Elállási joga: a 9. cikk alapján 14 napja van indoklás nélkül elállni ettől a távollévők közötti szerződéstől. Fizikai termékek esetén a 14 napos időszak azon a napon kezdődik, amikor Ön (vagy az Ön által megnevezett harmadik fél) a termékeket fizikailag birtokba veszi. Szolgáltatások és digitális tartalom esetén eltérő kezdődátumok alkalmazandók (9(2)(a)/(c) cikk)."
"Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right).","Kivételek: a jog nem alkalmazandó a 16. cikkben felsorolt egyes termékekre és szolgáltatásokra (pl. egyedi gyártású termékek, lezárt higiéniai termékek a felbontást követően, digitális tartalom, amelynek teljesítése az Ön előzetes kifejezett hozzájárulásával és az elállási jog elvesztésének tudomásulvételével megkezdődött)."
"The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal.","A termékek megfelelőségére vonatkozó jótállás a 2019/771 irányelv 5. cikke alapján alkalmazandó, az elállási jogon felül."
"Delivery: %1","Kézbesítés: %1"
"Total paid","Összesen fizetett"
"Pick an order to withdraw from","Válasszon rendelést, amelytől elállna"
"Select a recent order to start your withdrawal.","Válasszon egy közelmúltbeli rendelést az elállás megkezdéséhez."
"Select","Kiválasztás"
"Withdrawal progress","Elállás előrehaladása"
"title","cím"
"subtitle","alcím"
"Items to return","Visszaküldendő tételek"
"0 items","0 tétel"
"Refund summary","Visszatérítés összefoglalója"
"No items in this order are currently eligible for withdrawal.","Ennek a rendelésnek egyetlen tétele sem jogosult jelenleg elállásra."
"Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel.","Minden tétel vagy már feldolgozás alatt áll, megerősítésre vár, vagy teljesen visszavonásra került. Az állapot megtekintéséhez vagy visszavonáshoz tekintse meg a fenti meglévő kérelmek szakaszt."
"No items selected yet. Use the + button next to an item to add it to your return.","Még nincs kiválasztva tétel. Használja a tétel melletti + gombot a visszaküldéshez való hozzáadáshoz."
"Find your order","Keresse meg rendelését"
"Enter the details you used during checkout to start a return or withdrawal.","Adja meg a fizetéskor használt adatokat a visszaküldés vagy elállás megkezdéséhez."
"We could not find an order matching that email. Double-check your order number and email address.","Nem találtunk az e-mail címhez tartozó rendelést. Ellenőrizze újra a rendelésszámot és az e-mail címet."
"e.g. 12345","pl. 12345"
"You can find this in your order confirmation email.","Ezt a megrendelés-visszaigazoló e-mailben találja."
"Email address","E-mail cím"
"you@example.com","you@example.com"
"Must match the email used for the order.","Egyeznie kell a rendeléskor használt e-mail címmel."
"Find my order","Rendelésem keresése"
"You have the right to withdraw from your purchase within 14 days of receiving your order, without giving any reason.","A megrendelés átvételétől számított 14 napon belül indoklás nélkül elállhat vásárlásától."
"Need help finding your order?","Segítségre van szüksége a rendelés megtalálásához?"
"Select an order","Válasszon rendelést"
"Choose an order from your history to start a return or withdrawal.","Válasszon egy rendelést az előzményeiből visszaküldés vagy elállás megkezdéséhez."
"You don't have any orders eligible for withdrawal. The 14-day withdrawal window runs from the day you received your order.","Nincs olyan rendelése, amely jogosult lenne elállásra. A 14 napos elállási határidő a rendelés átvételének napjától számítódik."
"View all my orders","Minden rendelésem megtekintése"
"items","tétel"
"Select order","Rendelés kiválasztása"
"No recent withdrawal","Nincs közelmúltbeli elállás"
"We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email.","Nem találtunk közelmúltbeli elállást ebben a munkamenetben. Ha most küldött be egyet, kérjük, ellenőrizze a beérkező leveleket a megerősítő e-mailért."
"Start a new withdrawal","Új elállás indítása"
"Withdrawal #%1 submitted","Elállás #%1 beküldve"
"Related order:","Kapcsolódó rendelés:"
"Items","Tételek"
"Items included in this withdrawal","Az elállásban szereplő tételek"
"Line Total","Tétel összesen"
"What happens next","Mi a következő lépés"
"You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes.","Néhány percen belül kap egy nyugta e-mailt a teljes elállási nyilatkozattal és integritási hash-sel."
"The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","A 2011/83/EU irányelv 9. cikke szerinti 14 napos határidő rögzítésre kerül az elállás megerősítésének pillanatához — a jog megőrzéséhez semmilyen további lépésre nincs szüksége."
"The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt.","A végleges visszatérítés a visszaküldött tételek kézhezvétele után kerül meghatározásra (14(2) cikk), és az eredeti fizetési módra történik. Az összeget a kézhezvételtől számított 14 napon belül kapja meg."
"Back to Withdrawals","Vissza az elállásokhoz"
"Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id","Digitális tartalomra vonatkozó hozzájárulás megerősítése — %increment_id rendelés"
"Sehr geehrte/r %name,","Tisztelt %name,"
"Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL).","Ez a tartós adathordozón rögzített megerősítése az Ön kifejezett hozzájárulásának a következő digitális tartalmak teljesítésének megkezdéséhez, valamint annak tudomásulvételéhez, hogy ezáltal elveszíti az elállási jogát (16(m) cikk 2011/83/EU irányelv)."
"Durch den Verzicht abgedeckte digitale Inhalte","A hozzájárulás által érintett digitális tartalmak"
"Ihre ausdrückliche Einwilligung","Az Ön kifejezett hozzájárulása"
"Eingewilligt am:","Hozzájárulás dátuma:"
"Ihre Bestätigung zum Verlust des Widerrufsrechts","Az Ön megerősítése az elállási jog elvesztéséről"
"Bestätigt am:","Megerősítve:"
"Verzichtsreferenz:","Hozzájárulás hivatkozási száma:"
"Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU.","Jogalap: a 2011/83/EU fogyasztói jogi irányelv 16(m) cikke."
"Digital content waiver confirmation — Order %1","Digitális tartalom hozzájárulás megerősítése — Rendelés %1"
"Dear %name,","Tisztelt %name,"
"This is the durable-medium confirmation of your express consent to begin performance of the following digital items, and your acknowledgment that by doing so you lose your right of withdrawal (Art. 16(m) CRD).","Ez a tartós adathordozón rögzített megerősítése az Ön kifejezett hozzájárulásának a következő digitális tételek teljesítésének megkezdéséhez, valamint annak tudomásulvételéhez, hogy ezáltal elveszíti az elállási jogát (16(m) cikk 2011/83/EU irányelv)."
"Digital items covered by this waiver","A hozzájárulás által érintett digitális tételek"
"Your express consent","Kifejezett hozzájárulásod"
"Consented at:","Hozzájárulás időpontja:"
"Your acknowledgment of loss of withdrawal right","Az elállási jog elvesztésének tudomásulvétele"
"Acknowledged at:","Tudomásul véve:"
"Waiver reference:","Hozzájárulás hivatkozási száma:"
"Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU.","Jogalap: a fogyasztók jogairól szóló 2011/83/EU irányelv 16. cikk m) pontja."
"Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id","Digitális tartalomra vonatkozó hozzájárulás megerősítése — %increment_id rendelés"
"Hyvä %name,","Tisztelt %name,"
