"View Credit Memo","Peržiūrėti kreditinį dokumentą"
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","Šiame užsakyme yra greitai gendanti prekė, kurios grąžinti negalima (trumpo galiojimo maistas, šviežios gėlės ir pan.)."
"This order contains a custom-made or personalised item that cannot be returned.","Šiame užsakyme yra pagal užsakymą pagaminta arba suasmeninta prekė, kurios grąžinti negalima."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Šiame užsakyme yra užplombuotas higienos gaminys. Atsisakymo teisę išsaugote tik kol plomba nepažeista — atplombavus po pristatymo ši teisė prarandama."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Šiame užsakyme yra užplombuotas garso / vaizdo / programinės įrangos gaminys. Atsisakymo teisę išsaugote tik kol plomba nepažeista — atplombavus po pristatymo ši teisė prarandama."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","Šiame užsakyme yra skaitmeninio turinio. Pradėjus turinį naudoti ar atsisiųsti, atsisakymo teisė prarandama (su tuo sutikote apmokėjimo metu)."
"%1 item(s) · Refund %2","%1 prekės · Grąžinama %2"
"Awaiting confirmation","Laukiama patvirtinimo"
"Cancel withdrawal %1? Your refund will not be processed.","Atšaukti atsisakymą %1? Pinigai nebus grąžinti."
"Submitted","Pateikta"
"Approved","Patvirtinta"
"Fully returned","Visiškai grąžinta"
"Return requested","Prašoma grąžinti"
"Not eligible","Netinka"
"Partially requested","Iš dalies prašoma"
"— Select a reason —","— Pasirinkite priežastį —"
"Other","Kita"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","Pinigai bus grąžinti pradiniu mokėjimo būdu per 5-7 darbo dienas po grąžintos prekės gavimo."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Atsisakymo teisė prarasta (Direktyvos 2011/83/ES 16 str. m punktas) — skaitmeninio turinio teikimas pradėtas %1."
"Request #%1 not found.","Prašymas #%1 nerastas."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","Prašymo #%1 kvito el. laiškas vėl įdėtas į eilę. Pristatymas bus pakartotas asinchroniškai."
"Failed to queue receipt resend: %1","Nepavyko įdėti kvito persiuntimo į eilę: %1"
"Note text is empty.","Pastabos tekstas tuščias."
"Note added to request #%1.","Pastaba pridėta prie prašymo #%1."
"Request #%1 approved.","Prašymas #%1 patvirtintas."
"Request #%1 cancelled.","Prašymas #%1 atšauktas."
"Request #%1 denied.","Prašymas #%1 atmestas."
"Invalid request id.","Neteisingas prašymo ID."
"Unable to open temporary file for CSV export.","Nepavyko atidaryti laikino failo CSV eksportui."
"Withdrawal Requests","Atsisakymo prašymai"
"%1 requests queued for acceptance.","%1 prašymai įdėti į eilę patvirtinimui."
"%1 request(s) approved.","%1 prašymas (-ų) patvirtinta (-i)."
"%1 request(s) failed. First errors: %2","%1 prašymas (-ų) nepavyko. Pirmos klaidos: %2"
"Note added to %1 request(s).","Pastaba pridėta prie %1 prašymo (-ų)."
"Underlying order #%1 not found.","Susijęs užsakymas #%1 nerastas."
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","Užsakymas #%1 dar neturi sąskaitos faktūros — Magento reikalauja sąskaitos faktūros prieš išrašant kreditinį dokumentą. Pirmiausia išrašykite sąskaitą faktūrą (Pardavimai → Užsakymai → #%1 → mygtukas „Invoice“), o tada grįžkite čia grąžinti pinigų."
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","Šiame atsisakymo prašyme nepažymėta jokių prekių — kreditinis dokumentas bus atvertas su numatytaisiais sąskaitos faktūros kiekiais; pakoreguokite rankiniu būdu."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Iš anksto užpildytas kreditinis dokumentas atsisakymui #%1 — peržiūrėkite kiekius ir pristatymo grąžinimą žemiau, tada paspauskite „Refund Online“ arba „Refund Offline“."
"Some items are no longer eligible. Please reload and try again.","Kai kurios prekės nebėra tinkamos. Iš naujo įkelkite puslapį ir bandykite dar kartą."
"We could not process your request. Please try again.","Nepavyko apdoroti jūsų prašymo. Bandykite dar kartą."
"Item","Prekė"
"We could not find a matching order for that email.","Nepavyko rasti šį el. paštą atitinkančio užsakymo."
"Withdraw from a contract","Atsisakyti sutarties"
"Withdrawal not found.","Atsisakymas nerastas."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","Šio atsisakymo internetu atšaukti nebegalima. Susisiekite su mumis, jei reikia pagalbos."
"Withdrawal #%1 cancelled.","Atsisakymas #%1 atšauktas."
"Please fill in all required fields.","Užpildykite visus privalomus laukus."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","%1 prekė (-ės) pašalinta (-os) iš atsisakymo, nes plomba pažeista (Direktyvos 2011/83/ES 16 str. e/i punktai)."
"Please select at least one item to withdraw.","Pasirinkite bent vieną prekę, kurios norite atsisakyti."
"One or more items are no longer available for withdrawal. Please refresh and try again.","Vienos ar daugiau prekių atsisakyti nebegalima. Atnaujinkite puslapį ir bandykite dar kartą."
"None of the selected items are eligible for withdrawal.","Nė viena iš pasirinktų prekių netinka atsisakymui."
"Hash mismatch for quote item %1","Krepšelio prekės %1 maišos kodų neatitikimas"
"Requested qty %1 exceeds remaining %2 for order item %3","Prašomas kiekis %1 viršija likusį %2 užsakymo prekei %3"
"No delivery confirmation recorded for this order yet.","Šiam užsakymui dar neužfiksuotas pristatymo patvirtinimas."
"No eligible items selected for withdrawal","Nepasirinkta tinkamų prekių atsisakymui"
"Physical goods","Fizinės prekės"
"Digital content (non-tangible)","Skaitmeninis turinys (neapčiuopiamas)"
"Digital service (SaaS / subscription)","Skaitmeninė paslauga (SaaS / prenumerata)"
"Financial services (not supported)","Finansinės paslaugos (nepalaikoma)"
"Downloadable products","Atsisiunčiamos prekės"
"Virtual products","Virtualios prekės"
"Bundles containing digital children","Komplektai, kuriuose yra skaitmeninių sudėtinių dalių"
"Custom attribute flag","Pasirinktinio atributo žyma"
"locale_inheritance.xml missing at %1","locale_inheritance.xml nėra vietoje %1"
"locale_inheritance.xml unreadable at %1","locale_inheritance.xml negalima nuskaityti vietoje %1"
"locale_inheritance.xml failed XSD validation: %1","locale_inheritance.xml nepraėjo XSD patvirtinimo: %1"
"Original payment method","Pradinis mokėjimo būdas"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","Tai jūsų atsisakymo kvitas patvariojoje laikmenoje (Direktyvos 2011/83/ES 11a straipsnio 4 dalis)."
"This email is a notification about your withdrawal request.","Šis el. laiškas yra pranešimas apie jūsų atsisakymo prašymą."
"5–7 business days","5–7 darbo dienos"
"This is a confirmation that your withdrawal request has been recorded.","Tai patvirtinimas, kad jūsų atsisakymo prašymas užregistruotas."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","MageMe EU Withdrawal įdiegtas, bet neįjungtas. Prieš įjungdami peržiūrėkite atitikties kontrolinį sąrašą ir sukonfigūruokite modulį: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","Pristatymo patvirtinimo būsena nesukonfigūruota. Nustatykite: Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses."
"No Annex I source found for locale %1 along chain %2","I priedo šaltinis lokalei %1 grandinėje %2 nerastas"
"Annex I source for locale %1 is malformed","I priedo šaltinis lokalei %1 yra netaisyklingas"
"Missing merchant variables for Annex I rendering: %1","Trūksta prekybininko kintamųjų I priedo atvaizdavimui: %1"
"Receipt hash mismatch for request %1","Prašymo %1 kvito maišos kodų neatitikimas"
"Request %1 not found.","Prašymas %1 nerastas."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","Atmesti atsisakymo prašymą galima tik nurodžius bent 10 simbolių ilgio teisinį pagrindą."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","Atsisakymo prašymas negali pereiti iš būsenos „%1“ į „%2“."
"Request %1 is not in pending_confirm state.","Prašymas %1 nėra pending_confirm būsenoje."
"Withdrawal request #%1 does not exist.","Atsisakymo prašymas #%1 neegzistuoja."
"No digital items on order %1","Užsakyme %1 nėra skaitmeninių prekių"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","Tai jūsų atsisakymo, kurį pasirašėte apmokėjimo metu, kopija patvariojoje laikmenoje (Direktyvos 2011/83/ES 11a straipsnio 4 dalis)."
"Waived","Atsisakyta"
"Waiver email render failed: %1","Atsisakymo el. laiško atvaizdavimas nepavyko: %1"
"Digital content waiver text has changed — please reload checkout.","Skaitmeninio turinio atsisakymo tekstas pasikeitė — iš naujo įkelkite apmokėjimo puslapį."
"Digital content waiver is incomplete for item %1.","Skaitmeninio turinio atsisakymas prekei %1 yra neišsamus."
"bad","blogai"
"smtp down","smtp down"
"smtp","smtp"
"down","neveikia"
"No shipment found for order 42.","Užsakymui 42 siunta nerasta."
"View","Peržiūrėti"
"Withdrawal & Customer Information","Atsisakymo ir kliento informacija"
"Request # %1","Prašymas # %1"
"Request Status","Prašymo būsena"
"Submitted At","Pateikimo laikas"
"Confirmed At","Patvirtinimo laikas"
"Related Order","Susijęs užsakymas"
"Jurisdiction","Jurisdikcija"
"Contract Type","Sutarties tipas"
"Receipt Status","Kvito būsena"
"%1 attempt(s)","%1 bandymas (-ų)"
"Receipt Error","Kvito klaida"
"Customer Information","Kliento informacija"
"Customer Name","Kliento vardas"
"Email","El. paštas"
"Locale","Kalba"
"Items Selected for Withdrawal","Atsisakymui pasirinktos prekės"
"Product","Produktas"
"Price","Kaina"
"Qty","Kiekis"
"Subtotal","Tarpinė suma"
"Refund","Grąžinimas"
"Reason","Priežastis"
"Eligibility","Tinkamumas"
"No items associated with this request.","Su šiuo prašymu nesusietos jokios prekės."
"SKU","SKU"
"Ordered","Užsakyta"
"Withdrawing","Atsisakoma"
"Refund Total","Grąžinama suma"
"Notes for this Request","Šio prašymo pastabos"
"Internal notes — visible to admin staff only. Not sent to the customer.","Vidinės pastabos — matomos tik administracijos darbuotojams. Klientui nesiunčiamos."
"Comment","Komentaras"
"Add internal note (max 2000 chars)","Pridėti vidinę pastabą (iki 2000 simbolių)"
"Submit Comment","Pateikti komentarą"
"No comments added yet.","Komentarų dar nepridėta."
" by %1"," — %1"
"Refund Totals","Grąžinimo sumos"
"Items Subtotal","Prekių tarpinė suma"
"Shipping Refund","Pristatymo grąžinimas"
"Total Refund","Bendra grąžinama suma"
"Changes have been made to this section that have not been saved.","Šiame skyriuje atlikti pakeitimai, kurie dar neišsaugoti."
"This tab contains invalid data. Please resolve this before saving.","Šiame skirtuke yra neteisingų duomenų. Išspręskite tai prieš išsaugodami."
"Contact us","Susisiekite"
"Returns","Grąžinimai"
"FAQs","DUK"
"All rights reserved.","Visos teisės saugomos."
"Returned items","Grąžintos prekės"
"No image","Nuotraukos nėra"
"Item status","Prekės būsena"
"Withdrawal options for this order","Šio užsakymo atsisakymo galimybės"
"You can return this order until %1.","Šį užsakymą galite grąžinti iki %1."
"(Art. 11a Directive 2011/83/EU)","(Direktyvos 2011/83/ES 11a straipsnis)"
"Submit a withdrawal request to start the refund process.","Pateikite atsisakymo prašymą, kad pradėtumėte pinigų grąžinimo procesą."
"(Art. 9(2)(b) Directive 2011/83/EU)","(Direktyvos 2011/83/ES 9 straipsnio 2 dalies b punktas)"
"Start withdrawal","Pradėti atsisakymą"
"Your withdrawal requests","Jūsų atsisakymo prašymai"
"Submitted %1","Pateikta %1"
"Show items","Rodyti prekes"
"Cancel withdrawal","Atšaukti atsisakymą"
"Qty %1","Kiekis %1"
"Receipt details","Patvirtinimo informacija"
"Receipt number","Kvito numeris"
"Order number","Užsakymo numeris"
"Confirmed","Patvirtinta"
"Consumer","Vartotojas"
"Refund total","Bendra grąžinimo suma"
"Merchant","Pardavėjas"
"Legal basis","Teisinis pagrindas"
"SKU %1","SKU %1"
"Shipping refund","Pristatymo grąžinimas"
"Tax refund","Mokesčio grąžinimas"
"Total refund","Bendras grąžinimas"
"Digital content — Art. 16(m) notice","Skaitmeninis turinys — pranešimas pagal 16 str. m punktą"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","Pateikdami užsakymą sutikote, kad skaitmeninio turinio teikimas būtų pradėtas dar nepasibaigus atsisakymo terminui, ir patvirtinote, kad pradėjus teikimą atsisakymo teisė nebetaikoma. Šis pranešimas rodomas jūsų įrašams."
"Existing withdrawals for this order","Esami šio užsakymo atsisakymai"
"You can cancel a withdrawal here until it is approved.","Atsisakymą čia galite atšaukti, kol jis nepatvirtintas."
"Request #%1","Prašymas #%1"
"SKU: %1","SKU: %1"
"Estimated refund: %1 %2","Numatoma grąžinama suma: %1 %2"
"Cancel this withdrawal","Atšaukti šį atsisakymą"
"Are you sure? This cannot be undone.","Ar tikrai? Šio veiksmo atšaukti nebus galima."
"Yes, cancel","Taip, atšaukti"
"Keep it","Palikti"
"Select items to return","Pasirinkite grąžintinas prekes"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Pasirinkite visas prekes arba tik kai kurias. Nustatykite grąžinimo kiekį kiekvienai prekei, nuo kurios norite atsisakyti."
"You have 14 days from the day you received your order to withdraw from the contract without giving a reason.","Per 14 dienų nuo užsakymo gavimo galite atsisakyti sutarties nenurodydami priežasties."
"Back to order search","Atgal į užsakymų paiešką"
"Cancel","Atšaukti"
"Continue to review","Tęsti į peržiūrą"
"Review and confirm","Peržiūrėti ir patvirtinti"
"Order #%1","Užsakymas #%1"
"Placed on %1","Pateikta %1"
"Awaiting delivery","Laukiama pristatymo"
"Delivered on %1","Pristatyta %1"
"Total","Iš viso"
"Return shipping","Grąžinimo siuntimas"
"View return policy","Peržiūrėti grąžinimo politiką"
"Refund method","Grąžinimo būdas"
"Refund will be issued to your original payment method.","Pinigai bus grąžinti pradiniu mokėjimo būdu."
"Return summary","Grąžinimo santrauka"
"Shipping & Handling","Pristatymas ir tvarkymas"
"Tax","Mokestis"
"Back to items","Atgal į prekes"
"Submit return request","Pateikti grąžinimo prašymą"
"Your return request has been submitted!","Jūsų grąžinimo prašymas pateiktas!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","El. paštu išsiuntėme pranešimą su grąžinimo informacija ir iš anksto apmokėta grąžinimo etikete (jei taikoma). Per 14 dienų nuo pristatymo datos turite išsiųsti prekes atgal."
"Return request number","Grąžinimo prašymo numeris"
"Copy request number","Kopijuoti prašymo numerį"
"Copied!","Nukopijuota!"
"Confirmation email sent","Patvirtinimo laiškas išsiųstas"
"We've sent the details to","Informaciją išsiuntėme adresu"
"What happens next?","Kas toliau?"
"Pack your items securely","Saugiai supakuokite prekes"
"Send them back using the provided instructions","Išsiųskite jas atgal pagal pateiktas instrukcijas"
"We'll inspect your return","Patikrinsime jūsų grąžinimą"
"Your refund will be issued to your original payment method","Pinigai bus grąžinti į jūsų pradinį mokėjimo būdą"
"Need more help?","Reikia daugiau pagalbos?"
"View my returns","Peržiūrėti mano grąžinimus"
"Contact support","Kreiptis į pagalbos tarnybą"
"Purchased","Pirkta"
"Returned","Grąžinta"
"Decrease quantity","Sumažinti kiekį"
"Increase quantity","Padidinti kiekį"
"Is the hygiene seal still intact?","Ar higienos plomba vis dar nepažeista?"
"Is the original software / media seal still intact?","Ar originali programinės įrangos / laikmenos plomba vis dar nepažeista?"
"Yes — it's still sealed","Taip — plomba vis dar nepažeista"
"Refund possible — return the unopened package.","Pinigus galima grąžinti — grąžinkite neatidarytą pakuotę."
"No — I've opened it","Ne — aš ją atidariau"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Šios prekės grąžinti negalima (Direktyvos 2011/83/ES 16 str. e punktas)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Šios prekės grąžinti negalima (Direktyvos 2011/83/ES 16 str. i punktas)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Kai patvirtinsite, kad plomba pažeista, ši prekė bus pašalinta iš atsisakymo prašymo, o kiekis nustatytas į nulį."
"Reason for return (optional)","Grąžinimo priežastis (neprivaloma)"
"Tell us more (optional, max 500 chars)","Papasakokite plačiau (neprivaloma, iki 500 simbolių)"
"Already returned.","Jau grąžinta."
"awaiting admin review","laukia administratoriaus peržiūros"
"awaiting confirmation","laukia patvirtinimo"
"Request %1 %2 (%3 item%4).","Prašymas %1 %2 (%3 prekė%4)."
"Return request awaiting review.","Grąžinimo prašymas laukia peržiūros."
"Cancel request","Atšaukti prašymą"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","Pagal ES vartotojų teisės aktus daugumos sutarčių galite atsisakyti per 14 dienų nenurodydami priežasties."
"Read your full pre-contract rights (Art. 6)","Skaityti visą ikisutartinę informaciją apie savo teises (6 straipsnis)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","Pagal Direktyvos 2011/83/ES 6 straipsnį (su pakeitimais, padarytais Direktyva (ES) 2023/2673) prieš pateikdami šį užsakymą pardavėjas jus informavo — arba pateikė — šią informaciją:"
"The main characteristics of the goods or services.","Pagrindinės prekių ar paslaugų savybės."
"The identity and contact details of the trader.","Prekybininko tapatybė ir kontaktiniai duomenys."
"The total price including all taxes and any delivery costs.","Bendra kaina, įskaitant visus mokesčius ir pristatymo išlaidas."
"The arrangements for payment, delivery and performance, and complaint-handling.","Mokėjimo, pristatymo ir vykdymo tvarka bei skundų nagrinėjimas."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Jūsų atsisakymo teisė: pagal 9 straipsnį turite 14 dienų atsisakyti šios nuotolinės sutarties nenurodydami priežasties. Fizinių prekių atveju 14 dienų laikotarpis pradedamas skaičiuoti nuo tos dienos, kai jūs (arba jūsų nurodytas trečiasis asmuo) fiziškai gavote prekes. Paslaugoms ir skaitmeniniam turiniui taikomos kitos pradžios datos (9 straipsnio 2 dalies a/c punktai)."
"Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right).","Išimtys: ši teisė netaikoma tam tikroms prekėms ir paslaugoms, išvardytoms 16 straipsnyje (pvz., pagal užsakymą pagamintoms prekėms, užplombuotoms higienos prekėms, jei plomba pažeista, skaitmeniniam turiniui, kurio teikimas pradėtas gavus jūsų išankstinį aiškų sutikimą ir patvirtinimą, kad prarandate atsisakymo teisę)."
"The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal.","Be atsisakymo teisės, prekėms taikoma teisinė atitikties garantija pagal Direktyvos 2019/771 5 straipsnį."
"Delivery: %1","Pristatymas: %1"
"Total paid","Iš viso sumokėta"
"Pick an order to withdraw from","Pasirinkite užsakymą, kurio norite atsisakyti"
"Select a recent order to start your withdrawal.","Pasirinkite naujausią užsakymą, kad pradėtumėte atsisakymą."
"Select","Pasirinkti"
"Withdrawal progress","Atsisakymo eiga"
"title","pavadinimas"
"subtitle","paantraštė"
"Items to return","Grąžinamos prekės"
"0 items","0 prekių"
"Refund summary","Grąžinimo santrauka"
"No items in this order are currently eligible for withdrawal.","Šiuo metu nė viena šio užsakymo prekė neatitinka atsisakymo sąlygų."
"Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel.","Kiekviena eilutė arba jau apdorojama, arba laukia patvirtinimo, arba jau visiškai atsisakyta. Būsenai pamatyti ar atšaukti peržiūrėkite esamų prašymų skyrių aukščiau."
"No items selected yet. Use the + button next to an item to add it to your return.","Dar nepasirinkta jokia prekė. Naudokite mygtuką + šalia prekės, kad pridėtumėte ją į grąžinimą."
"Find your order","Raskite savo užsakymą"
"Enter the details you used during checkout to start a return or withdrawal.","Įveskite duomenis, kuriuos naudojote atsiskaitydami, kad pradėtumėte grąžinimą ar atsisakymą."
"We could not find an order matching that email. Double-check your order number and email address.","Nepavyko rasti užsakymo, atitinkančio šį el. paštą. Dar kartą patikrinkite užsakymo numerį ir el. pašto adresą."
"e.g. 12345","pvz. 12345"
"You can find this in your order confirmation email.","Tai rasite užsakymo patvirtinimo el. laiške."
"Email address","El. pašto adresas"
"you@example.com","you@example.com"
"Must match the email used for the order.","Turi sutapti su užsakymui naudotu el. paštu."
"Find my order","Rasti mano užsakymą"
"You have the right to withdraw from your purchase within 14 days of receiving your order, without giving any reason.","Turite teisę atsisakyti pirkimo per 14 dienų nuo užsakymo gavimo, nenurodydami priežasties."
"Need help finding your order?","Reikia pagalbos surandant užsakymą?"
"Select an order","Pasirinkite užsakymą"
"Choose an order from your history to start a return or withdrawal.","Pasirinkite užsakymą iš istorijos, kad pradėtumėte grąžinimą ar atsisakymą."
"You don't have any orders eligible for withdrawal. The 14-day withdrawal window runs from the day you received your order.","Jūs neturite užsakymų, kurių galima atsisakyti. 14 dienų atsisakymo laikotarpis skaičiuojamas nuo užsakymo gavimo dienos."
"View all my orders","Peržiūrėti visus mano užsakymus"
"items","prekės"
"Select order","Pasirinkti užsakymą"
"No recent withdrawal","Naujausių atsisakymų nėra"
"We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email.","Šioje sesijoje nepavyko rasti neseno atsisakymo. Jei ką tik jį pateikėte, patikrinkite gautųjų aplanką dėl patvirtinimo el. laiško."
"Start a new withdrawal","Pradėti naują atsisakymą"
"Withdrawal #%1 submitted","Atsisakymas #%1 pateiktas"
"Related order:","Susijęs užsakymas:"
"Items","Prekės"
"Items included in this withdrawal","Į šį atsisakymą įtrauktos prekės"
"Line Total","Eilutės iš viso"
"What happens next","Kas vyksta toliau"
"You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes.","Per kelias minutes gausite kvito el. laišką su visu atsisakymo dokumentu ir vientisumo maišos kodu."
"The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","14 dienų laikotarpis pagal Direktyvos 2011/83/ES 9 straipsnį užfiksuotas atsisakymo patvirtinimo momentu — daugiau nieko daryti nereikia, kad išsaugotumėte šią teisę."
"The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt.","Galutinė grąžinama suma nustatoma gavus grąžintas prekes (14 straipsnio 2 dalis) ir grąžinama į pradinį mokėjimo būdą. Lėšų tikėtis per 14 dienų nuo gavimo."
"Back to Withdrawals","Atgal į atsisakymus"
"Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id","Skaitmeninio turinio atsisakymo patvirtinimas — Užsakymas %increment_id"
"Sehr geehrte/r %name,","Gerb. %name,"
"Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL).","Tai yra patvirtinimas patvariojoje laikmenoje apie jūsų aiškų sutikimą pradėti toliau nurodyto skaitmeninio turinio teikimą ir jūsų patvirtinimą, kad dėl to prarandate atsisakymo teisę (Direktyvos 2011/83/ES 16 str. m punktas)."
"Durch den Verzicht abgedeckte digitale Inhalte","Atsisakymu apimtas skaitmeninis turinys"
"Ihre ausdrückliche Einwilligung","Jūsų aiškus sutikimas"
"Eingewilligt am:","Sutikimo data:"
"Ihre Bestätigung zum Verlust des Widerrufsrechts","Jūsų patvirtinimas dėl atsisakymo teisės praradimo"
"Bestätigt am:","Patvirtinimo data:"
"Verzichtsreferenz:","Atsisakymo nuoroda:"
"Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU.","Teisinis pagrindas: Vartotojų teisių direktyvos 2011/83/ES 16 straipsnio m punktas."
"Digital content waiver confirmation — Order %1","Skaitmeninio turinio atsisakymo patvirtinimas — Užsakymas %1"
"Dear %name,","Gerb. %name,"
"This is the durable-medium confirmation of your express consent to begin performance of the following digital items, and your acknowledgment that by doing so you lose your right of withdrawal (Art. 16(m) CRD).","Tai yra patvarus jūsų aiškaus sutikimo pradėti toliau nurodytų skaitmeninių prekių teikimą patvirtinimas ir jūsų patvirtinimas, kad tokiu būdu prarandate atsisakymo teisę (Direktyvos 2011/83/ES 16 str. m punktas)."
"Digital items covered by this waiver","Šiuo atsisakymu apimtos skaitmeninės prekės"
"Your express consent","Tavo aiškus sutikimas"
"Consented at:","Sutikimo data:"
"Your acknowledgment of loss of withdrawal right","Tavo patvirtinimas dėl atsisakymo teisės praradimo"
"Acknowledged at:","Patvirtinimo data:"
"Waiver reference:","Atsisakymo nuoroda:"
