"View Credit Memo","Ver nota de crédito"
"Custom attribute flag","Indicador de atributo personalizado"
"locale_inheritance.xml missing at %1","locale_inheritance.xml em falta em %1"
"locale_inheritance.xml unreadable at %1","locale_inheritance.xml ilegível em %1"
"locale_inheritance.xml failed XSD validation: %1","locale_inheritance.xml falhou na validação XSD: %1"
"Original payment method","Método de pagamento original"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","Este é o seu comprovativo em suporte duradouro da livre resolução (art. 11.º-A, n.º 4, da Diretiva 2011/83/UE)."
"This email is a notification about your withdrawal request.","Este e-mail é uma notificação sobre o seu pedido de livre resolução."
"5–7 business days","5–7 dias úteis"
"This is a confirmation that your withdrawal request has been recorded.","Esta é uma confirmação de que o seu pedido de livre resolução foi registado."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","O MageMe EU Withdrawal está instalado mas não está ativado. Reveja a lista de verificação de conformidade e configure o módulo antes de o ativar: <a href=""%1"">Lojas → Configuração → Extensões MageMe → Livre resolução UE</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","O estado de confirmação de entrega não está configurado. Defina em Lojas → Configuração → Extensões MageMe → Livre resolução UE → Prazo de livre resolução → Estados de confirmação de entrega."
"No Annex I source found for locale %1 along chain %2","Não foi encontrada fonte do anexo I para o idioma %1 ao longo da cadeia %2"
"Annex I source for locale %1 is malformed","A fonte do anexo I para o idioma %1 está mal formada"
"Missing merchant variables for Annex I rendering: %1","Variáveis do comerciante em falta para a renderização do anexo I: %1"
"Receipt hash mismatch for request %1","O hash do comprovativo não corresponde para o pedido %1"
"Request %1 not found.","Pedido %1 não encontrado."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","A recusa de um pedido de livre resolução exige uma base legal com, no mínimo, 10 caracteres."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","O pedido de livre resolução não pode transitar de ""%1"" para ""%2""."
"Request %1 is not in pending_confirm state.","O pedido %1 não se encontra no estado pending_confirm."
"Withdrawal request #%1 does not exist.","O pedido de livre resolução #%1 não existe."
"No digital items on order %1","Sem itens digitais na encomenda %1"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","Esta é a sua cópia em suporte duradouro do consentimento que assinou na finalização da compra (art. 11.º-A, n.º 4, da Diretiva 2011/83/UE)."
"Waived","Renunciado"
"Waiver email render failed: %1","Falha ao renderizar o e-mail de consentimento: %1"
"Digital content waiver text has changed — please reload checkout.","O texto do consentimento para conteúdo digital foi alterado — recarregue o checkout."
"Digital content waiver is incomplete for item %1.","O consentimento para conteúdo digital está incompleto para o item %1."
"bad","mau"
"smtp down","smtp down"
"smtp","smtp"
"down","em baixo"
"No shipment found for order 42.","Não foi encontrada qualquer expedição para a encomenda 42."
"View","Ver"
"Withdrawal & Customer Information","Informações da livre resolução e do cliente"
"Request # %1","Pedido n.º %1"
"Request Status","Estado do pedido"
"Submitted At","Submetido em"
"Confirmed At","Confirmado em"
"Related Order","Encomenda relacionada"
"Jurisdiction","Jurisdição"
"Contract Type","Tipo de contrato"
"Receipt Status","Estado do comprovativo"
"%1 attempt(s)","%1 tentativa(s)"
"Receipt Error","Erro do comprovativo"
"Customer Information","Dados do cliente"
"Customer Name","Nome do cliente"
"Email","E-mail"
"Locale","Idioma"
"Items Selected for Withdrawal","Artigos selecionados para livre resolução"
"Product","Produto"
"Price","Preço"
"Qty","Qtd"
"Subtotal","Subtotal"
"Refund","Reembolso"
"Reason","Motivo"
"Eligibility","Elegibilidade"
"No items associated with this request.","Nenhum artigo associado a este pedido."
"SKU","SKU"
"Ordered","Encomendado"
"Withdrawing","A resolver"
"Refund Total","Total a reembolsar"
"Notes for this Request","Notas para este pedido"
"Internal notes — visible to admin staff only. Not sent to the customer.","Notas internas — visíveis apenas para a equipa de administração. Não são enviadas ao cliente."
"Comment","Comentário"
"Add internal note (max 2000 chars)","Adicionar nota interna (máx. 2000 caracteres)"
"Submit Comment","Enviar comentário"
"No comments added yet.","Ainda não foram adicionados comentários."
" by %1"," por %1"
"Refund Totals","Totais do reembolso"
"Items Subtotal","Subtotal dos artigos"
"Shipping Refund","Reembolso de envio"
"Total Refund","Reembolso total"
"Changes have been made to this section that have not been saved.","Foram feitas alterações nesta secção que ainda não foram guardadas."
"This tab contains invalid data. Please resolve this before saving.","Este separador contém dados inválidos. Corrija antes de guardar."
"Contact us","Contacto"
"Returns","Devoluções"
"FAQs","Perguntas frequentes"
"All rights reserved.","Todos os direitos reservados."
"Returned items","Artigos devolvidos"
"No image","Sem imagem"
"Item status","Estado do artigo"
"Withdrawal options for this order","Opções de livre resolução para esta encomenda"
"You can return this order until %1.","Pode devolver esta encomenda até %1."
"(Art. 11a Directive 2011/83/EU)","(art. 11.º-A da Diretiva 2011/83/UE)"
"Submit a withdrawal request to start the refund process.","Submeta um pedido de livre resolução para iniciar o processo de reembolso."
"(Art. 9(2)(b) Directive 2011/83/EU)","(art. 9.º, n.º 2, alínea b), da Diretiva 2011/83/UE)"
"Start withdrawal","Iniciar livre resolução"
"Your withdrawal requests","Os seus pedidos de livre resolução"
"Submitted %1","Submetido %1"
"Show items","Mostrar artigos"
"Cancel withdrawal","Cancelar livre resolução"
"Qty %1","Qtd. %1"
"Receipt details","Detalhes do comprovativo"
"Receipt number","Número do comprovativo"
"Order number","Número da encomenda"
"Confirmed","Confirmado"
"Consumer","Consumidor"
"Refund total","Reembolso total"
"Merchant","Comerciante"
"Legal basis","Base legal"
"SKU %1","SKU %1"
"Shipping refund","Reembolso de envio"
"Tax refund","Reembolso de impostos"
"Total refund","Reembolso total"
"Digital content — Art. 16(m) notice","Conteúdo digital — Aviso art. 16(m)"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","Ao efetuar a encomenda concordou com o início da execução do conteúdo digital antes do fim do prazo de resolução e reconheceu que, uma vez iniciada a execução, o direito de resolução deixa de se aplicar. Este aviso é apresentado para os seus registos."
"Existing withdrawals for this order","Livres resoluções existentes para esta encomenda"
"You can cancel a withdrawal here until it is approved.","Pode cancelar uma livre resolução aqui até esta ser aprovada."
"Request #%1","Pedido #%1"
"SKU: %1","SKU: %1"
"Estimated refund: %1 %2","Reembolso estimado: %1 %2"
"Cancel this withdrawal","Cancelar esta livre resolução"
"Are you sure? This cannot be undone.","Tem a certeza? Esta ação não pode ser revertida."
"Yes, cancel","Sim, cancelar"
"Keep it","Manter"
"That order does not belong to your account. Please select one of your own orders.","Essa encomenda não pertence à sua conta. Selecione uma das suas próprias encomendas."
"Select items to return","Selecionar artigos a devolver"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Escolha todos os artigos ou apenas alguns. Defina a quantidade de devolução para cada artigo que pretende resolver."
"You have 14 days from the day you received your order to withdraw from the contract without giving a reason.","Tem 14 dias a contar do dia em que recebeu a encomenda para resolver o contrato sem necessidade de justificação."
"Back to order search","Voltar à pesquisa de encomendas"
"Cancel","Cancelar"
"Continue to review","Continuar para revisão"
"Review and confirm","Rever e confirmar"
"Order #%1","Encomenda #%1"
"Placed on %1","Efetuada em %1"
"Awaiting delivery","A aguardar entrega"
"Delivered on %1","Entregue em %1"
"Total","Total"
"Return shipping","Envio de devolução"
"View return policy","Ver política de devoluções"
"Refund method","Método de reembolso"
"Refund will be issued to your original payment method.","O reembolso será efetuado para o seu método de pagamento original."
"Return summary","Resumo da devolução"
"Shipping & Handling","Envio e manuseamento"
"Tax","Impostos"
"Back to items","Voltar aos artigos"
"Submit return request","Enviar pedido de devolução"
"Your return request has been submitted!","O seu pedido de devolução foi submetido!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","Enviámos-lhe por e-mail uma notificação com os detalhes da devolução e uma etiqueta de devolução pré-paga (se aplicável). Tem 14 dias a contar da data de entrega para devolver os seus artigos."
"Return request number","Número do pedido de devolução"
"Copy request number","Copiar número do pedido"
"Copied!","Copiado!"
"Confirmation email sent","E-mail de confirmação enviado"
"We've sent the details to","Enviámos os detalhes para"
"What happens next?","O que acontece a seguir?"
"Pack your items securely","Embale os artigos com cuidado"
"Send them back using the provided instructions","Envie-os de volta seguindo as instruções fornecidas"
"We'll inspect your return","Vamos inspecionar a sua devolução"
"Your refund will be issued to your original payment method","O seu reembolso será efetuado para o seu método de pagamento original"
"Need more help?","Precisa de mais ajuda?"
"View my returns","Ver as minhas devoluções"
"Contact support","Contactar o suporte"
"Purchased","Comprados"
"Returned","Devolvidos"
"Decrease quantity","Reduzir quantidade"
"Increase quantity","Aumentar quantidade"
"Has the hygiene seal been broken after delivery?","O selo de higiene foi quebrado após a entrega?"
"Has the original software / media seal been broken after delivery?","O selo original do software / suporte foi quebrado após a entrega?"
"No, the seal is intact","Não, o selo está intacto"
"Refund possible — return the unopened package.","Reembolso possível — devolva a embalagem por abrir."
"Yes, the seal is broken","Sim, o selo está quebrado"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Este artigo não pode ser devolvido (art. 16.º, alínea e), da Diretiva 2011/83/UE)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Este artigo não pode ser devolvido (art. 16.º, alínea i), da Diretiva 2011/83/UE)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Após confirmar que o selo está quebrado, este artigo é excluído do pedido de livre resolução e a quantidade será reposta a zero."
"Reason for return (optional)","Motivo da devolução (facultativo)"
"Tell us more (optional, max 500 chars)","Diga-nos mais (facultativo, máx. 500 caracteres)"
"Already returned.","Já devolvido."
"awaiting admin review","a aguardar revisão administrativa"
"awaiting confirmation","a aguardar confirmação"
"Request %1 %2 (%3 item%4).","Pedido %1 %2 (%3 artigo%4)."
"Return request awaiting review.","Pedido de devolução a aguardar revisão."
"Cancel request","Cancelar pedido"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","Nos termos do direito do consumidor da UE, pode resolver a maioria dos contratos no prazo de 14 dias sem necessidade de justificação."
"Read your full pre-contract rights (Art. 6)","Consulte os seus direitos pré-contratuais completos (art. 6.º)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","Nos termos do art. 6.º da Diretiva 2011/83/UE (alterada pela Diretiva (UE) 2023/2673), antes de efetuar esta encomenda, o vendedor informou-o — ou disponibilizou-lhe — as seguintes informações:"
"The main characteristics of the goods or services.","As principais características dos bens ou serviços."
"The identity and contact details of the trader.","A identidade e os dados de contacto do profissional."
"The total price including all taxes and any delivery costs.","O preço total, incluindo todos os impostos e quaisquer custos de entrega."
"The arrangements for payment, delivery and performance, and complaint-handling.","As modalidades de pagamento, entrega e execução, bem como o tratamento de reclamações."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","O seu direito de livre resolução: nos termos do art. 9.º, dispõe de 14 dias para resolver este contrato à distância sem necessidade de justificação. Para os bens físicos, o prazo de 14 dias começa a contar a partir do dia em que o consumidor (ou um terceiro por si indicado) adquire a posse física dos bens. Para os serviços e o conteúdo digital, aplicam-se datas de início diferentes (art. 9.º, n.º 2, alíneas a) e c))."
"Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right).","Exceções: o direito não se aplica a determinados bens e serviços enumerados no art. 16.º (por exemplo, bens feitos por medida, artigos de higiene selados depois de abertos, conteúdo digital cuja execução tenha sido iniciada com o seu consentimento expresso prévio e o reconhecimento de que perde o direito de livre resolução)."
"The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal.","A garantia legal de conformidade dos bens aplica-se nos termos do art. 5.º da Diretiva 2019/771, em complemento do direito de livre resolução."
"Delivery: %1","Entrega: %1"
"Total paid","Total pago"
"Pick an order to withdraw from","Escolha uma encomenda a resolver"
"Select a recent order to start your withdrawal.","Selecione uma encomenda recente para iniciar a sua livre resolução."
"Select","Selecionar"
"Withdrawal progress","Progresso da resolução"
"title","título"
"subtitle","subtítulo"
"Items to return","Artigos a devolver"
"0 items","0 artigos"
"Refund summary","Resumo do reembolso"
"No items in this order are currently eligible for withdrawal.","Nenhum artigo desta encomenda é atualmente elegível para livre resolução."
"Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel.","Cada linha está já a ser processada, a aguardar confirmação ou foi totalmente resolvida. Consulte a secção de pedidos existentes acima para ver o estado ou cancelar."
"No items selected yet. Use the + button next to an item to add it to your return.","Ainda não foram selecionados artigos. Use o botão + ao lado de um artigo para o adicionar à devolução."
"Find your order","Encontre a sua encomenda"
"Enter the details you used during checkout to start a return or withdrawal.","Introduza os dados que utilizou no checkout para iniciar uma devolução ou livre resolução."
"We could not find an order matching that email. Double-check your order number and email address.","Não foi possível encontrar uma encomenda correspondente a esse e-mail. Verifique novamente o número da encomenda e o endereço de e-mail."
"e.g. 12345","ex.: 12345"
"You can find this in your order confirmation email.","Pode encontrar isto no email de confirmação da encomenda."
"Email address","Endereço de email"
"you@example.com","you@example.com"
"Must match the email used for the order.","Tem de corresponder ao email utilizado na encomenda."
"Find my order","Encontrar a minha encomenda"
"You have the right to withdraw from your purchase within 14 days of receiving your order, without giving any reason.","Tem o direito de resolver a compra no prazo de 14 dias após a receção da encomenda, sem necessidade de justificação."
"Need help finding your order?","Precisa de ajuda para encontrar a sua encomenda?"
"Select an order","Selecionar uma encomenda"
"Choose an order from your history to start a return or withdrawal.","Escolha uma encomenda do seu histórico para iniciar uma devolução ou livre resolução."
"You don't have any orders eligible for withdrawal. The 14-day withdrawal window runs from the day you received your order.","Não tem encomendas elegíveis para livre resolução. O prazo de 14 dias começa a contar a partir do dia em que recebeu a encomenda."
"View all my orders","Ver todas as minhas encomendas"
"items","artigos"
"Select order","Selecionar encomenda"
"No recent withdrawal","Sem livre resolução recente"
"We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email.","Não foi possível encontrar uma livre resolução recente nesta sessão. Se acabou de submeter uma, verifique a sua caixa de entrada para o e-mail de confirmação."
"Start a new withdrawal","Iniciar uma nova livre resolução"
"Withdrawal #%1 submitted","Livre resolução #%1 submetida"
"Related order:","Encomenda relacionada:"
"Items","Artigos"
"Items included in this withdrawal","Artigos incluídos nesta livre resolução"
"Line Total","Total da linha"
"What happens next","O que acontece a seguir"
"You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes.","Receberá um e-mail de comprovativo com a declaração completa da livre resolução e o hash de integridade dentro de alguns minutos."
"The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","O prazo de 14 dias previsto no art. 9.º da Diretiva relativa aos direitos dos consumidores fica fixado no momento em que confirmou a livre resolução — não é necessária qualquer outra ação da sua parte para preservar o direito."
"The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt.","O reembolso final é determinado após a receção dos artigos devolvidos (art. 14.º, n.º 2) e é efetuado para o método de pagamento original. Os fundos deverão ser creditados no prazo de 14 dias após a receção."
"Back to Withdrawals","Voltar às livres resoluções"
"Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id","Confirmação de renúncia ao conteúdo digital — Encomenda %increment_id"
"Sehr geehrte/r %name,","Caro(a) %name,"
"Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL).","Esta é a confirmação em suporte duradouro do seu consentimento expresso para o início da execução dos seguintes conteúdos digitais, bem como do seu reconhecimento de que, por esse motivo, perde o seu direito de livre resolução (art. 16.º, alínea m), da Diretiva relativa aos direitos dos consumidores)."
"Durch den Verzicht abgedeckte digitale Inhalte","Conteúdos digitais abrangidos por esta renúncia"
"Ihre ausdrückliche Einwilligung","O seu consentimento expresso"
"Eingewilligt am:","Consentido em:"
"Ihre Bestätigung zum Verlust des Widerrufsrechts","O seu reconhecimento da perda do direito de livre resolução"
"Bestätigt am:","Confirmado em:"
"Verzichtsreferenz:","Referência da renúncia:"
"Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU.","Base legal: art. 16.º, alínea m), da Diretiva relativa aos direitos dos consumidores 2011/83/UE."
"Digital content waiver confirmation — Order %1","Confirmação de renúncia ao conteúdo digital — Encomenda %1"
"Dear %name,","Caro(a) %name,"
"This is the durable-medium confirmation of your express consent to begin performance of the following digital items, and your acknowledgment that by doing so you lose your right of withdrawal (Art. 16(m) CRD).","Esta é a confirmação em suporte duradouro do seu consentimento expresso para o início da execução dos seguintes artigos digitais e do seu reconhecimento de que, ao fazê-lo, perde o seu direito de livre resolução (art. 16.º, alínea m), da Diretiva relativa aos direitos dos consumidores)."
"Digital items covered by this waiver","Artigos digitais abrangidos por esta renúncia"
"Your express consent","O seu consentimento expresso"
"Consented at:","Consentido em:"
"Your acknowledgment of loss of withdrawal right","O seu reconhecimento da perda do direito de livre resolução"
"Acknowledged at:","Reconhecido em:"
"Waiver reference:","Referência da renúncia:"
"Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU.","Base legal: art. 16.º, alínea m) da Diretiva 2011/83/UE relativa aos direitos dos consumidores."
"Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id","Confirmação de renúncia ao conteúdo digital — Encomenda %increment_id"
"Hyvä %name,","Caro(a) %name,"
"Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16).","Esta é a confirmação em suporte duradouro do seu consentimento expresso para o início do fornecimento dos seguintes conteúdos digitais e do seu reconhecimento de que perde o seu direito de livre resolução (art. 16.º, alínea m), da Diretiva 2011/83/UE)."
"Luopumisen kattamat digitaaliset sisällöt","Conteúdos digitais abrangidos por esta renúncia"
"Nimenomainen suostumuksesi","O seu consentimento expresso"
"Suostuttu:","Consentido em:"
"Vahvistuksesi peruuttamisoikeuden menettämisestä","O seu reconhecimento da perda do direito de livre resolução"
"Vahvistettu:","Confirmado em:"
"Luopumisen viite:","Referência da renúncia:"
"Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU.","Base legal: art. 16.º, alínea m), da Diretiva relativa aos direitos dos consumidores 2011/83/UE."
"Confirmation de renonciation au contenu numérique — Commande %increment_id","Confirmação de renúncia ao conteúdo digital — Encomenda %increment_id"
"Cher/Chère %name,","Caro(a) %name,"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","Esta é a confirmação em suporte duradouro do seu consentimento expresso para o início da execução dos seguintes conteúdos digitais e do seu reconhecimento de que, ao fazê-lo, perde o seu direito de livre resolução (art. 16.º, alínea m), da Diretiva 2011/83/UE)."
"Contenus numériques couverts par la présente renonciation","Conteúdos digitais abrangidos pela presente renúncia"
"Votre consentement exprès","O seu consentimento expresso"
"Consenti le :","Consentido em:"
"Votre reconnaissance de la perte du droit de rétractation","O seu reconhecimento da perda do direito de livre resolução"
"Reconnu le :","Reconhecido em:"
"Référence de renonciation :","Referência da renúncia:"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Base legal: art. 16.º, alínea m), da Diretiva 2011/83/UE."
