"View Credit Memo","Zobrazit dobropis"
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","Objednávka č. %1 dosud nemá fakturu — Magento vyžaduje fakturu před vytvořením dobropisu. Nejprve vystavte fakturu (Tržby → Objednávky → č. %1 → tlačítko Faktura), poté se sem vraťte pro vrácení peněz."
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","K této žádosti o odstoupení nejsou evidovány žádné položky — dobropis se otevře s výchozím množstvím z faktury; upravte jej prosím ručně."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Předvyplněný dobropis pro odstoupení č. %1 — zkontrolujte níže množství a refundaci dopravy, poté klikněte na Vrátit online nebo Vrátit offline."
"Some items are no longer eligible. Please reload and try again.","Některé položky již nejsou způsobilé. Načtěte stránku znovu a zkuste to prosím znovu."
"We could not process your request. Please try again.","Vaši žádost se nepodařilo zpracovat. Zkuste to prosím znovu."
"Item","Položka"
"We could not find a matching order for that email.","Pro tento e-mail jsme nenalezli odpovídající objednávku."
"Withdraw from a contract","Odstoupit od smlouvy"
"Withdrawal not found.","Odstoupení nebylo nalezeno."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","Toto odstoupení již nelze zrušit online. V případě potřeby pomoci nás kontaktujte."
"Withdrawal #%1 cancelled.","Odstoupení č. %1 zrušeno."
"Please fill in all required fields.","Vyplňte prosím všechna povinná pole."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","%1 položek bylo z odstoupení vyloučeno, protože pečeť je porušena (čl. 16 písm. e)/i) směrnice 2011/83/EU)."
"Please select at least one item to withdraw.","Vyberte prosím alespoň jednu položku k odstoupení."
"One or more items are no longer available for withdrawal. Please refresh and try again.","Jedna nebo více položek již není k dispozici pro odstoupení. Aktualizujte stránku a zkuste to prosím znovu."
"None of the selected items are eligible for withdrawal.","Žádná z vybraných položek není způsobilá k odstoupení."
"Hash mismatch for quote item %1","Neshoda hashe pro položku nabídky %1"
"Requested qty %1 exceeds remaining %2 for order item %3","Požadované množství %1 přesahuje zbývajících %2 pro položku objednávky %3"
"No delivery confirmation recorded for this order yet.","Pro tuto objednávku zatím není evidováno žádné potvrzení doručení."
"No eligible items selected for withdrawal","Nebyly vybrány žádné položky způsobilé k odstoupení"
"Physical goods","Fyzické zboží"
"Digital content (non-tangible)","Digitální obsah (nehmotný)"
"Digital service (SaaS / subscription)","Digitální služba (SaaS / předplatné)"
"Financial services (not supported)","Finanční služby (nepodporováno)"
"Downloadable products","Stahovatelné produkty"
"Virtual products","Virtuální produkty"
"Bundles containing digital children","Balíčky obsahující digitální podpoložky"
"Custom attribute flag","Příznak vlastního atributu"
"locale_inheritance.xml missing at %1","Chybí soubor locale_inheritance.xml v %1"
"locale_inheritance.xml unreadable at %1","Soubor locale_inheritance.xml v %1 nelze číst"
"locale_inheritance.xml failed XSD validation: %1","Soubor locale_inheritance.xml neprošel validací XSD: %1"
"Original payment method","Původní platební metoda"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","Toto je vaše potvrzení o odstoupení na trvalém nosiči (čl. 11a odst. 4 směrnice 2011/83/EU)."
"This email is a notification about your withdrawal request.","Tento e-mail je oznámením o vaší žádosti o odstoupení."
"5–7 business days","5–7 pracovních dnů"
"This is a confirmation that your withdrawal request has been recorded.","Toto je potvrzení, že vaše žádost o odstoupení byla zaevidována."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","Modul MageMe EU Withdrawal je nainstalován, ale není povolen. Před jeho povolením si projděte kontrolní seznam shody a nastavte modul: <a href=""%1"">Obchody → Konfigurace → Rozšíření MageMe → EU odstoupení od smlouvy</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","Stav potvrzení doručení není nakonfigurován. Nastavte v Obchody → Konfigurace → Rozšíření MageMe → EU odstoupení od smlouvy → Lhůta pro odstoupení → Stavy potvrzení doručení."
"No Annex I source found for locale %1 along chain %2","Pro jazyk %1 nebyl v řetězci %2 nalezen zdroj přílohy I"
"Annex I source for locale %1 is malformed","Zdroj přílohy I pro jazyk %1 je poškozen"
"Missing merchant variables for Annex I rendering: %1","Chybí proměnné obchodníka pro vykreslení přílohy I: %1"
"Receipt hash mismatch for request %1","Neshoda hashe potvrzení pro žádost %1"
"Request %1 not found.","Žádost %1 nebyla nalezena."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","Zamítnutí žádosti o odstoupení vyžaduje právní zdůvodnění o délce alespoň 10 znaků."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","Žádost o odstoupení nelze převést z „%1“ na „%2“."
"Request %1 is not in pending_confirm state.","Žádost %1 není ve stavu pending_confirm."
"Withdrawal request #%1 does not exist.","Žádost o odstoupení č. %1 neexistuje."
"No digital items on order %1","Žádné digitální položky v objednávce %1"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","Toto je vaše kopie souhlasu na trvalém nosiči, který jste podepsal/a při placení (čl. 11a odst. 4 směrnice 2011/83/EU)."
"Waived","Vzdáno"
"Waiver email render failed: %1","Vykreslení e-mailu se souhlasem selhalo: %1"
"Digital content waiver text has changed — please reload checkout.","Text souhlasu s digitálním obsahem se změnil — načtěte prosím pokladnu znovu."
"Digital content waiver is incomplete for item %1.","Souhlas s digitálním obsahem je u položky %1 neúplný."
"bad","chybný"
"smtp down","smtp down"
"smtp","smtp"
"down","nedostupný"
"No shipment found for order 42.","Pro objednávku 42 nebyla nalezena žádná zásilka."
"View","Zobrazit"
"Withdrawal & Customer Information","Informace o odstoupení a zákazníkovi"
"Request # %1","Žádost č. %1"
"Request Status","Stav žádosti"
"Submitted At","Odesláno"
"Related Order","Související objednávka"
"Jurisdiction","Jurisdikce"
"Contract Type","Typ smlouvy"
"Receipt Status","Stav potvrzení"
"%1 attempt(s)","%1 pokusů"
"Receipt Error","Chyba potvrzení"
"Customer Information","Informace o zákazníkovi"
"Customer Name","Jméno zákazníka"
"Email","E-mail"
"Locale","Jazyk"
"Items Selected for Withdrawal","Položky vybrané k odstoupení"
"Product","Produkt"
"Price","Cena"
"Qty","Množ."
"Subtotal","Mezisoučet"
"Refund","Refundace"
"Reason","Důvod"
"Eligibility","Způsobilost"
"No items associated with this request.","K této žádosti nejsou přiřazeny žádné položky."
"SKU","SKU"
"Ordered","Objednáno"
"Withdrawing","Odstupuje se"
"Refund Total","Celkem k vrácení"
"Notes for this Request","Poznámky k této žádosti"
"Internal notes — visible to admin staff only. Not sent to the customer.","Interní poznámky — viditelné pouze pro pracovníky administrace. Zákazníkovi se neodesílají."
"Comment","Komentář"
"Add internal note (max 2000 chars)","Přidat interní poznámku (max. 2000 znaků)"
"Submit Comment","Odeslat komentář"
"No comments added yet.","Zatím nebyly přidány žádné komentáře."
" by %1"," od %1"
"Refund Totals","Souhrn refundace"
"Items Subtotal","Mezisoučet položek"
"Shipping Refund","Refundace dopravy"
"Total Refund","Celková refundace"
"Changes have been made to this section that have not been saved.","V této sekci byly provedeny neuložené změny."
"This tab contains invalid data. Please resolve this before saving.","Tato karta obsahuje neplatná data. Před uložením je prosím opravte."
"Contact us","Kontaktujte nás"
"Returns","Vrácení"
"FAQs","Časté dotazy"
"All rights reserved.","Všechna práva vyhrazena."
"Returned items","Vrácené položky"
"No image","Bez obrázku"
"Item status","Stav položky"
"Withdrawal options for this order","Možnosti odstoupení pro tuto objednávku"
"You can return this order until %1.","Tuto objednávku můžete vrátit do %1."
"(Art. 11a Directive 2011/83/EU)","(čl. 11a směrnice 2011/83/EU)"
"Submit a withdrawal request to start the refund process.","Pro zahájení procesu vrácení peněz odešlete žádost o odstoupení."
"(Art. 9(2)(b) Directive 2011/83/EU)","(čl. 9 odst. 2 písm. b) směrnice 2011/83/EU)"
"Start withdrawal","Zahájit odstoupení"
"Your withdrawal requests","Vaše žádosti o odstoupení"
"Submitted %1","Odesláno %1"
"Show items","Zobrazit položky"
"Cancel withdrawal","Zrušit odstoupení"
"Qty %1","Množství %1"
"Receipt details","Detaily potvrzení"
"Receipt number","Číslo potvrzení"
"Order number","Číslo objednávky"
"Consumer","Spotřebitel"
"Refund total","Celková částka k vrácení"
"Merchant","Prodejce"
"Legal basis","Právní základ"
"SKU %1","SKU %1"
"Shipping refund","Refundace dopravy"
"Tax refund","Refundace daně"
"Total refund","Celkové vrácení peněz"
"Digital content — Art. 16(m) notice","Digitální obsah — informace dle čl. 16 písm. m)"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","Zadáním objednávky jste souhlasil/a se zahájením plnění digitálního obsahu před uplynutím lhůty pro odstoupení a vzal/a jste na vědomí, že po zahájení plnění se právo na odstoupení již neuplatní. Tato informace se zobrazuje pro vaše záznamy."
"Existing withdrawals for this order","Stávající odstoupení pro tuto objednávku"
"You can cancel a withdrawal here until it is approved.","Odstoupení zde můžete zrušit do doby jeho schválení."
"Request #%1","Žádost #%1"
"SKU: %1","SKU: %1"
"Estimated refund: %1 %2","Odhadovaná refundace: %1 %2"
"Cancel this withdrawal","Zrušit toto odstoupení"
"Are you sure? This cannot be undone.","Jste si jisti? Tuto akci nelze vrátit zpět."
"Yes, cancel","Ano, zrušit"
"Keep it","Ponechat"
"Select items to return","Vyberte položky k vrácení"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Vyberte všechny položky nebo jen některé. Nastavte množství k vrácení u každé položky, od které chcete odstoupit."
"You have 14 days from the day you received your order to withdraw from the contract without giving a reason.","Od okamžiku obdržení objednávky máte 14 dní na odstoupení od smlouvy bez udání důvodu."
"Back to order search","Zpět na vyhledávání objednávek"
"Cancel","Zrušit"
"Continue to review","Pokračovat na kontrolu"
"Review and confirm","Zkontrolovat a potvrdit"
"Order #%1","Objednávka #%1"
"Placed on %1","Vytvořeno %1"
"Awaiting delivery","Čeká na doručení"
"Delivered on %1","Doručeno %1"
"Total","Celkem"
"Return shipping","Doprava vrácení"
"View return policy","Zobrazit zásady vracení"
"Refund method","Způsob vrácení"
"Refund will be issued to your original payment method.","Vrácení peněz proběhne na váš původní způsob platby."
"Return summary","Shrnutí vrácení"
"Shipping & Handling","Doprava a manipulace"
"Tax","Daň"
"Back to items","Zpět na položky"
"Submit return request","Odeslat žádost o vrácení"
"Your return request has been submitted!","Vaše žádost o vrácení byla odeslána!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","Zaslali jsme vám e-mailem oznámení s podrobnostmi vrácení a předplaceným zpětným štítkem (pokud je to relevantní). Od data doručení máte 14 dní na odeslání položek zpět."
"Return request number","Číslo žádosti o vrácení"
"Copy request number","Kopírovat číslo žádosti"
"Copied!","Zkopírováno!"
"Confirmation email sent","Potvrzovací e-mail odeslán"
"We've sent the details to","Podrobnosti jsme odeslali na"
"What happens next?","Co bude následovat?"
"Pack your items securely","Bezpečně zabalte své položky"
"Send them back using the provided instructions","Odešlete je zpět podle dodaných pokynů"
"We'll inspect your return","Vrácení zkontrolujeme"
"Your refund will be issued to your original payment method","Vrácení peněz proběhne na váš původní způsob platby"
"Need more help?","Potřebujete další pomoc?"
"View my returns","Zobrazit moje vrácení"
"Contact support","Kontaktovat podporu"
"Purchased","Zakoupeno"
"Returned","Vráceno"
"Decrease quantity","Snížit množství"
"Increase quantity","Zvýšit množství"
"Is the hygiene seal still intact?","Je hygienická pečeť stále neporušená?"
"Is the original software / media seal still intact?","Je originální pečeť softwaru / nosiče stále neporušená?"
"Yes — it's still sealed","Ano — stále je zapečetěná"
"Refund possible — return the unopened package.","Vrácení peněz je možné — vraťte neotevřený balíček."
"No — I've opened it","Ne — otevřel/a jsem ji"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Tuto položku nelze vrátit (čl. 16 písm. e) směrnice 2011/83/EU)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Tuto položku nelze vrátit (čl. 16 písm. i) směrnice 2011/83/EU)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Jakmile potvrdíte, že je pečeť porušena, je tato položka vyloučena z žádosti o odstoupení a její množství bude vynulováno."
"Reason for return (optional)","Důvod vrácení (volitelné)"
"Tell us more (optional, max 500 chars)","Sdělte nám více (volitelné, max. 500 znaků)"
"Already returned.","Již vráceno."
"awaiting admin review","čeká na posouzení administrátorem"
"awaiting confirmation","čeká na potvrzení"
"Request %1 %2 (%3 item%4).","Žádost %1 %2 (%3 položek%4)."
"Return request awaiting review.","Žádost o vrácení čeká na posouzení."
"Cancel request","Zrušit žádost"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","Podle spotřebitelského práva EU můžete od většiny smluv odstoupit do 14 dní bez udání důvodu."
"Read your full pre-contract rights (Art. 6)","Přečtěte si všechna svá předsmluvní práva (čl. 6)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","Podle čl. 6 směrnice 2011/83/EU (ve znění směrnice (EU) 2023/2673) vás prodávající před zadáním této objednávky informoval — nebo zpřístupnil — následující informace:"
"The main characteristics of the goods or services.","Hlavní vlastnosti zboží nebo služeb."
"The identity and contact details of the trader.","Totožnost a kontaktní údaje obchodníka."
"The total price including all taxes and any delivery costs.","Celková cena včetně všech daní a případných nákladů na dopravu."
"The arrangements for payment, delivery and performance, and complaint-handling.","Způsoby platby, dodání a plnění a vyřizování reklamací."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Vaše právo na odstoupení: podle čl. 9 máte 14 dní na odstoupení od této smlouvy uzavřené na dálku bez udání důvodu. U fyzického zboží začíná 14denní lhůta běžet dnem, kdy vy (nebo třetí osoba vámi určená) převezmete fyzicky zboží. Pro služby a digitální obsah platí jiné počáteční termíny (čl. 9 odst. 2 písm. a)/c))."
"Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right).","Výjimky: právo se nevztahuje na určité zboží a služby uvedené v čl. 16 (např. zboží vyrobené na míru, zapečetěné hygienické zboží po porušení pečeti, digitální obsah, jehož plnění bylo zahájeno s vaším předchozím výslovným souhlasem a potvrzením, že tím ztrácíte právo na odstoupení)."
"The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal.","Zákonná záruka shody zboží se uplatňuje podle čl. 5 směrnice 2019/771, a to vedle práva na odstoupení."
"Delivery: %1","Doručení: %1"
"Total paid","Zaplaceno celkem"
"Pick an order to withdraw from","Vyberte objednávku, od které chcete odstoupit"
"Select a recent order to start your withdrawal.","Pro zahájení odstoupení vyberte nedávnou objednávku."
"Select","Vybrat"
"Withdrawal progress","Průběh odstoupení"
"title","název"
"subtitle","podtitulek"
"Items to return","Položky k vrácení"
"0 items","0 položek"
"Refund summary","Shrnutí vrácení peněz"
"No items in this order are currently eligible for withdrawal.","Žádné položky v této objednávce nejsou aktuálně způsobilé k odstoupení."
"Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel.","Každá položka se buď již zpracovává, čeká na potvrzení, nebo byla plně vrácena. Stav nebo zrušení najdete v sekci stávajících žádostí výše."
"No items selected yet. Use the + button next to an item to add it to your return.","Zatím nejsou vybrány žádné položky. Použijte tlačítko + vedle položky pro její přidání do vrácení."
"Find your order","Najít objednávku"
"Enter the details you used during checkout to start a return or withdrawal.","Zadejte údaje, které jste použili při placení, pro zahájení vrácení nebo odstoupení od smlouvy."
"We could not find an order matching that email. Double-check your order number and email address.","Pro zadaný e-mail jsme nenalezli odpovídající objednávku. Zkontrolujte prosím číslo objednávky a e-mailovou adresu."
"e.g. 12345","např. 12345"
"You can find this in your order confirmation email.","Najdete to v potvrzovacím e-mailu objednávky."
"Email address","E-mailová adresa"
"you@example.com","you@example.com"
"Must match the email used for the order.","Musí odpovídat e-mailu použitému pro objednávku."
"Find my order","Najít mou objednávku"
"You have the right to withdraw from your purchase within 14 days of receiving your order, without giving any reason.","Máte právo odstoupit od nákupu do 14 dnů od obdržení objednávky bez udání důvodu."
"Need help finding your order?","Potřebujete pomoc s nalezením objednávky?"
"Select an order","Vybrat objednávku"
"Choose an order from your history to start a return or withdrawal.","Zvolte objednávku ze své historie a začněte vrácení nebo odstoupení od smlouvy."
"You don't have any orders eligible for withdrawal. The 14-day withdrawal window runs from the day you received your order.","Nemáte žádné objednávky způsobilé k odstoupení. 14denní lhůta pro odstoupení běží ode dne, kdy jste objednávku obdržel/a."
"View all my orders","Zobrazit všechny mé objednávky"
"items","položek"
"Select order","Vybrat objednávku"
"No recent withdrawal","Žádné nedávné odstoupení"
"We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email.","V této relaci jsme nenašli žádné nedávné odstoupení. Pokud jste jej právě odeslal/a, zkontrolujte prosím doručenou poštu, kde najdete potvrzovací e-mail."
"Start a new withdrawal","Zahájit nové odstoupení"
"Withdrawal #%1 submitted","Odstoupení #%1 odesláno"
"Related order:","Související objednávka:"
"Items","Položky"
"Items included in this withdrawal","Položky zahrnuté v tomto odstoupení"
"Line Total","Součet položky"
"What happens next","Co následuje"
"You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes.","Během několika minut obdržíte e-mail s potvrzením, který obsahuje úplné prohlášení o odstoupení a kontrolní hash."
"The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","14denní lhůta podle čl. 9 směrnice o spotřebitelských právech je vázána na okamžik, kdy jste odstoupení potvrdil/a — k zachování tohoto práva od vás již není nic dalšího vyžadováno."
"The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt.","Konečná výše vrácení peněz je stanovena po obdržení vrácených položek (čl. 14 odst. 2) a je vrácena na původní způsob platby. Prostředky obdržíte do 14 dnů od jejich přijetí."
"Back to Withdrawals","Zpět na odstoupení"
"Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id","Potvrzení vzdání se práva u digitálního obsahu — Objednávka %increment_id"
"Sehr geehrte/r %name,","Vážený/á %name,"
"Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL).","Toto je potvrzení na trvalém nosiči vašeho výslovného souhlasu se zahájením plnění následujícího digitálního obsahu a vašeho potvrzení, že tímto ztrácíte právo na odstoupení od smlouvy (čl. 16 písm. m) směrnice o spotřebitelských právech)."
"Durch den Verzicht abgedeckte digitale Inhalte","Digitální obsah, na který se vzdání práva vztahuje"
"Ihre ausdrückliche Einwilligung","Váš výslovný souhlas"
"Eingewilligt am:","Souhlas udělen dne:"
"Ihre Bestätigung zum Verlust des Widerrufsrechts","Vaše potvrzení o ztrátě práva na odstoupení"
"Bestätigt am:","Potvrzeno dne:"
"Verzichtsreferenz:","Reference vzdání se práva:"
"Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU.","Právní základ: čl. 16 písm. m) směrnice o spotřebitelských právech 2011/83/EU."
"Digital content waiver confirmation — Order %1","Potvrzení souhlasu s digitálním obsahem — Objednávka %1"
"Dear %name,","Vážený/á %name,"
"This is the durable-medium confirmation of your express consent to begin performance of the following digital items, and your acknowledgment that by doing so you lose your right of withdrawal (Art. 16(m) CRD).","Toto je potvrzení na trvalém nosiči vašeho výslovného souhlasu se zahájením plnění následujících digitálních položek a vašeho potvrzení, že tímto ztrácíte právo na odstoupení od smlouvy (čl. 16 písm. m) směrnice o spotřebitelských právech)."
"Digital items covered by this waiver","Digitální položky, kterých se tento souhlas týká"
"Your express consent","Tvůj výslovný souhlas"
"Consented at:","Souhlas udělen dne:"
"Your acknowledgment of loss of withdrawal right","Tvoje potvrzení o ztrátě práva na odstoupení"
"Acknowledged at:","Potvrzeno dne:"
"Waiver reference:","Reference souhlasu:"
"Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU.","Právní základ: čl. 16 písm. m) směrnice 2011/83/EU o právech spotřebitelů."
"Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id","Potvrzení vzdání se práva u digitálního obsahu — Objednávka %increment_id"
"Hyvä %name,","Vážený/á %name,"
"Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16).","Toto je potvrzení na trvalém nosiči vašeho výslovného souhlasu se zahájením dodání následujícího digitálního obsahu a vašeho potvrzení, že tímto ztrácíte právo na odstoupení od smlouvy (čl. 16 písm. m) směrnice o spotřebitelských právech)."
"Luopumisen kattamat digitaaliset sisällöt","Digitální obsah, na který se vzdání práva vztahuje"
"Nimenomainen suostumuksesi","Váš výslovný souhlas"
"Suostuttu:","Souhlas udělen dne:"
"Vahvistuksesi peruuttamisoikeuden menettämisestä","Vaše potvrzení o ztrátě práva na odstoupení"
"Vahvistettu:","Potvrzeno dne:"
"Luopumisen viite:","Reference vzdání se práva:"
"Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU.","Právní základ: čl. 16 písm. m) směrnice o spotřebitelských právech 2011/83/EU."
"Confirmation de renonciation au contenu numérique — Commande %increment_id","Potvrzení vzdání se práva u digitálního obsahu — Objednávka %increment_id"
"Cher/Chère %name,","Vážený/á %name,"
